都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
愛知県,国立,愛知教育大学附属高等学校,刈谷市,西三河,https://www.auehs.aichi-edu.ac.jp/,,,
愛知県,国立,名古屋大学教育学部附属中学校・高等学校,名古屋市千種区,名古屋,https://www.nu-hs.aichi-edu.ac.jp/,,,
愛知県,県立,旭丘高等学校,名古屋市東区,名古屋,https://aichi-asahigaoka.ed.jp/,,,
愛知県,県立,旭陵高等学校,名古屋市東区,名古屋,https://kyokuryo-h.aichi-c.ed.jp/cms/,,,通信制課程
愛知県,県立,明和高等学校,名古屋市東区,名古屋,https://meiwa-h.aichi-c.ed.jp/cms/,,,
愛知県,県立,菊里高等学校,名古屋市千種区,名古屋,https://kikuzato-h.aichi-c.ed.jp/,,,
愛知県,県立,千種高等学校,名古屋市千種区,名古屋,https://chigusa-h.aichi-c.ed.jp/,,,
愛知県,県立,向陽高等学校,名古屋市昭和区,名古屋,https://koyo-h.aichi-c.ed.jp/,,,
愛知県,県立,昭和高等学校,名古屋市昭和区,名古屋,https://showa-h.aichi-c.ed.jp/,,,
愛知県,県立,瑞陵高等学校,名古屋市瑞穂区,名古屋,https://zuiryo-h.aichi-c.ed.jp/cms/,,,
愛知県,県立,桜台高等学校,名古屋市瑞穂区,名古屋,https://sakuradai-h.aichi-c.ed.jp/,,,
愛知県,県立,天白高等学校,名古屋市天白区,名古屋,https://tenpaku-h.aichi-c.ed.jp/,,,
愛知県,県立,名東高等学校,名古屋市名東区,名古屋,https://meito-h.aichi-c.ed.jp/,,,
愛知県,県立,東郷高等学校,愛知郡東郷町,名古屋,https://togo-h.aichi-c.ed.jp/,,,
愛知県,県立,日進高等学校,日進市,名古屋,https://nisshin-h.aichi-c.ed.jp/,,,
愛知県,県立,日進西高等学校,日進市,名古屋,https://nissin-nishi-h.aichi-c.ed.jp/,,,
愛知県,県立,熱田高等学校,名古屋市熱田区,名古屋,https://atsuta-h.aichi-c.ed.jp/,,,
愛知県,県立,松蔭高等学校,名古屋市西区,名古屋,https://shoin-h.aichi-c.ed.jp/,,,
愛知県,県立,緑高等学校,名古屋市緑区,名古屋,https://midori-h.aichi-c.ed.jp/,,,
愛知県,県立,名古屋南高等学校,名古屋市南区,名古屋,https://nagoyaminami-h.aichi-c.ed.jp/,,,
愛知県,県立,名古屋西高等学校,名古屋市西区,名古屋,https://nagoyanishi-h.aichi-c.ed.jp/,,,
愛知県,県立,守山高等学校,名古屋市守山区,名古屋,https://moriyama-h.aichi-c.ed.jp/,,,
愛知県,県立,名古屋工業高等学校,名古屋市中村区,名古屋,https://nagoya-th.aichi-c.ed.jp/,,,
愛知県,県立,名南工業高等学校,名古屋市南区,名古屋,https://meishin-th.aichi-c.ed.jp/,,,
愛知県,県立,中村高等学校,名古屋市中村区,名古屋,https://nakamura-h.aichi-c.ed.jp/,,,
愛知県,県立,愛知商業高等学校,名古屋市中川区,名古屋,https://aichi-ch.aichi-c.ed.jp/,,,
愛知県,県立,愛知総合工科高等学校,名古屋市港区,名古屋,https://aichi-te.aichi-c.ed.jp/,,,
愛知県,県立,鳴海高等学校,名古屋市緑区,名古屋,https://narumi-h.aichi-c.ed.jp/,,,
愛知県,県立,長久手高等学校,長久手市,名古屋,https://nagakute-h.aichi-c.ed.jp/,,,
