都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
秋田県,県立,秋田県立鹿角高等学校,鹿角市,鹿角地区,http://www.kazuno-h.akita-pref.ed.jp/,kazuno-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立大館鳳鳴高等学校,大館市,大館地区,http://www.homei-h.akita-pref.ed.jp/,homei-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立大館桂桜高等学校,大館市,大館地区,https://keio.odate.school/,odatekeio-h@akita-pref.ed.jp,,2022年に大館高・大館鳳鳴（一部）・大館商業が統合
秋田県,県立,秋田県立大館国際情報学院中学校・高等学校,大館市,大館地区,https://kj.odate.school/,okj-h@akita-pref.ed.jp,,中高一貫
秋田県,県立,秋田県立秋田北鷹高等学校,北秋田市,北秋田地区,http://www.akitahokuyou-h.akita-pref.ed.jp/,akitahokuyou-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立能代高等学校,能代市,能代地区,http://www.noshiro-h.akita-pref.ed.jp/,noshiro-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立能代松陽高等学校,能代市,能代地区,https://noshiroshoyo-h.com/,noshiroshoyo-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立能代科学技術高等学校,能代市,能代地区,https://nst-h.school/,nst-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立秋田高等学校,秋田市,秋田地区,https://www.akita-h.akita-pref.ed.jp/,akita-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立秋田北高等学校,秋田市,秋田地区,https://akitakita-h.net/,akitakita-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立秋田南高等学校,秋田市,秋田地区,https://akitaminami-h.wixsite.com/akitaminami,akitaminami-h@akita-pref.ed.jp,https://akitaminami-h.wixsite.com/akitaminami/contactus,中等部併設
秋田県,県立,秋田県立秋田中央高等学校,秋田市,秋田地区,https://akitachuo-h.jp/,akitachuo-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立秋田西高等学校,秋田市,秋田地区,http://www.akitanishi-h.akita-pref.ed.jp/,akitanishi-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立新屋高等学校,秋田市,秋田地区,http://www.araya-h.akita-pref.ed.jp/,araya-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立秋田工業高等学校,秋田市,秋田地区,http://www.akiko-h.akita-pref.ed.jp/,akiko-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立金足農業高等学校,秋田市,秋田地区,https://kanano-h.ed.jp/,kanano-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立秋田明徳館高等学校,秋田市,秋田地区,http://www.meitoku-h.akita-pref.ed.jp/,meitoku-h@akita-pref.ed.jp,,単位制・定時制
秋田県,県立,秋田県立男鹿工業高等学校,男鹿市,男鹿地区,http://www.ogakogyou-h.akita-pref.ed.jp/,ogakogyou-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立男鹿海洋高等学校,男鹿市,男鹿地区,http://www.kaiyou-h.akita-pref.ed.jp/,kaiyou-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立本荘高等学校,由利本荘市,由利地区,http://www.honjo-h.akita-pref.ed.jp/,honjo-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立由利高等学校,由利本荘市,由利地区,http://www.yuri-h.akita-pref.ed.jp/,yuri-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立西目高等学校,由利本荘市,由利地区,http://www.nishime-h.akita-pref.ed.jp/,nishime-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立矢島高等学校,由利本荘市,由利地区,http://www.yashima-h.akita-pref.ed.jp/,yashima-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立由利工業高等学校,由利本荘市,由利地区,http://www.yuritech-h.akita-pref.ed.jp/,yuritech-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立横手高等学校,横手市,横手地区,https://yokote-h.info/,yokote-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立横手城南高等学校,横手市,横手地区,https://yokote-johnan.net/,johnan-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立横手清陵学院中学校・高等学校,横手市,横手地区,https://www.yokote-seiryou.net/,seiryou-h@akita-pref.ed.jp,,中高一貫
秋田県,県立,秋田県立増田高等学校,横手市,横手地区,https://www.masuda-h.net/,masuda-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立雄物川高等学校,横手市,横手地区,https://omonogawa-hs.net/,omonogawa-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立平成高等学校,横手市,横手地区,https://heisei-h.net/,heisei-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立湯沢高等学校,湯沢市,湯沢雄勝地区,https://yuzawa-hs.net/,yuzawa-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立湯沢翔北高等学校,湯沢市,湯沢雄勝地区,https://yuzawashouhoku.net/,shouhoku-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立湯沢翔北高等学校雄勝校,湯沢市,湯沢雄勝地区,http://www.shouhoku-h-ogachi.akita-pref.ed.jp/,shouhoku-h@akita-pref.ed.jp,,湯沢翔北高等学校の分校
秋田県,県立,秋田県立大曲高等学校,大仙市,大仙仙北地区,https://omagari-h.com/,omagari-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立大曲工業高等学校,大仙市,大仙仙北地区,http://www.daikou-h.akita-pref.ed.jp/,daikou-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立大曲農業高等学校,大仙市,大仙仙北地区,https://daino-hs.net/,daino-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立大曲農業高等学校太田分校,大仙市,大仙仙北地区,http://www.daino-h-ohta.akita-pref.ed.jp/,daino-h@akita-pref.ed.jp,,大曲農業の分校
秋田県,県立,秋田県立西仙北高等学校,大仙市,大仙仙北地区,http://www.nishisenboku-h.akita-pref.ed.jp/,nishisenboku-h@akita-pref.ed.jp,,
秋田県,県立,秋田県立角館高等学校,仙北市,大仙仙北地区,https://kakunodate-hs.jp/,kakunodate-h@akita-pref.ed.jp,,
秋田県,市立,秋田市立秋田商業高等学校,秋田市,秋田地区,https://akisho.ed.jp/,aksg@akisho.ed.jp,,
秋田県,私立,ノースアジア大学明桜高等学校,秋田市,秋田地区,https://www.meioh.ed.jp/,kokojimu@nau.ac.jp,https://www.meioh.ed.jp/contact,
秋田県,私立,聖霊学園高等学校,秋田市,秋田地区,https://www.akita-seirei.ac.jp/highschool/,,,女子高
秋田県,私立,国学館高等学校,秋田市,秋田地区,https://www.kokugakukan.ed.jp/,,,
秋田県,私立,秋田令和高等学校,秋田市,秋田地区,https://www.akitareiwa-h.ed.jp/,info@akitareiwa-h.ed.jp,,
秋田県,私立,秋田修英高等学校,大仙市,大仙仙北地区,http://www.akitashuei.net/,,,
