都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
青森県,県立,青森県立青森高等学校,青森市,青森,https://www.aomori-h.asn.ed.jp/,,,
青森県,県立,青森県立青森西高等学校,青森市,青森,https://www.aomorinishi-h.asn.ed.jp/,,,
青森県,県立,青森県立青森東高等学校,青森市,青森,https://www.aomorihigashi-h.asn.ed.jp/,,,
青森県,県立,青森県立青森南高等学校,青森市,青森,https://www.aomoriminami-h.asn.ed.jp/,,,
青森県,県立,青森県立青森北高等学校,青森市,青森,https://www.aomorikita-h.asn.ed.jp/,,,
青森県,県立,青森県立青森中央高等学校,青森市,青森,https://www.aomorichuo-h.asn.ed.jp/,,,
青森県,県立,青森県立青森商業高等学校,青森市,青森,https://www.aomori-ch.asn.ed.jp/,,,
青森県,県立,青森県立青森工業高等学校,青森市,青森,https://www.aomori-th.asn.ed.jp/,,,
青森県,県立,青森県立浪岡高等学校,青森市,青森,https://www.namioka-h.asn.ed.jp/,,,
青森県,県立,青森県立北斗高等学校,青森市,青森,https://www.hokuto-h.asn.ed.jp/,,,定時制・通信制
青森県,県立,青森県立弘前高等学校,弘前市,津軽,https://www.hirosaki-h.asn.ed.jp/,,,
青森県,県立,青森県立弘前中央高等学校,弘前市,津軽,https://www.hirosakichuo-h.asn.ed.jp/,,,
青森県,県立,青森県立弘前南高等学校,弘前市,津軽,https://www.hirosakiminami-h.asn.ed.jp/,,,
青森県,県立,青森県立弘前工業高等学校,弘前市,津軽,https://www.hirosaki-th.asn.ed.jp/,hirosaki-th@asn.ed.jp,,
青森県,県立,青森県立弘前実業高等学校,弘前市,津軽,https://www.hirosaki-bh.asn.ed.jp/,,,
青森県,県立,青森県立黒石高等学校,黒石市,津軽,https://www.kuroishi-h.asn.ed.jp/,,,
青森県,県立,青森県立五所川原高等学校,五所川原市,津軽,https://www.goshogawara-h.asn.ed.jp/,,,
青森県,県立,青森県立五所川原農林高等学校,五所川原市,津軽,https://www.goshogawara-ah.asn.ed.jp/,,,
青森県,県立,青森県立五所川原工科高等学校,五所川原市,津軽,https://www.goshogawara-it.asn.ed.jp/,,,
青森県,県立,青森県立尾上総合高等学校,平川市,津軽,https://www.onoe-ih.asn.ed.jp/,,,全日制・通信制
青森県,県立,青森県立八戸高等学校,八戸市,三八,https://www.hachinohe-h.asn.ed.jp/,,,
青森県,県立,青森県立八戸東高等学校,八戸市,三八,https://www.hachinohehigashi-h.asn.ed.jp/,,,
青森県,県立,青森県立八戸西高等学校,八戸市,三八,https://www.hachinohenishi-h.asn.ed.jp/,,,
青森県,県立,青森県立八戸北高等学校,八戸市,三八,https://www.hachinohekita-h.asn.ed.jp/,,,
青森県,県立,青森県立八戸工業高等学校,八戸市,三八,https://www.hachinohe-th.asn.ed.jp/,,,
青森県,県立,青森県立八戸商業高等学校,八戸市,三八,https://www.hachinohe-ch.asn.ed.jp/,,,
青森県,県立,青森県立八戸水産高等学校,八戸市,三八,https://www.hachinohe-fh.asn.ed.jp/,,,
青森県,県立,青森県立八戸中央高等学校,八戸市,三八,https://www.hachinohechuo-h.asn.ed.jp/,,,定時制・通信制
青森県,県立,青森県立三沢高等学校,三沢市,三八,https://www.misawa-h.asn.ed.jp/,,,
青森県,県立,青森県立三沢商業高等学校,三沢市,三八,https://www.misawa-ch.asn.ed.jp/,,,
青森県,県立,青森県立三本木高等学校,十和田市,上北,https://www.sanbongi-h.asn.ed.jp/,,,附属中学校併設
青森県,県立,青森県立三本木農業恵拓高等学校,十和田市,上北,https://www.sanbongi-ah.asn.ed.jp/,,,
青森県,県立,青森県立十和田工業高等学校,十和田市,上北,https://www.towada-th.asn.ed.jp/,,,
青森県,県立,青森県立野辺地高等学校,野辺地町,上北,https://www.noheji-h.asn.ed.jp/,,,
青森県,県立,青森県立百石高等学校,おいらせ町,上北,https://www.momoishi-h.asn.ed.jp/,,,
青森県,県立,青森県立六ヶ所高等学校,六ヶ所村,上北,https://www.rokkasho-h.asn.ed.jp/,,,
青森県,県立,青森県立田名部高等学校,むつ市,下北,https://www.tanabu-h.asn.ed.jp/,,,
青森県,県立,青森県立大湊高等学校,むつ市,下北,https://www.ohminato-h.asn.ed.jp/,,,
青森県,県立,青森県立むつ工業高等学校,むつ市,下北,https://www.mutsu-th.asn.ed.jp/,,,
青森県,私立,青森明の星高等学校,青森市,青森,https://www.aomoriakenohoshi.ed.jp/,aoakekou@aomoriakenohoshi.ed.jp,,
青森県,私立,青森山田高等学校,青森市,青森,https://www.aomoriyamada-hs.jp/,,https://www.aomoriyamada-hs.jp/%E8%B3%87%E6%96%99%E8%AB%8B%E6%B1%82%E3%83%BB%E3%81%8A%E5%95%8F%E5%90%88%E3%81%9B/,
青森県,私立,東奥学園高等学校,青森市,青森,https://www.toogakuen.ac.jp/,,https://www.toogakuen.ac.jp/contact/,通信制課程あり
青森県,私立,東奥義塾高等学校,弘前市,津軽,https://www.gijuku.ac.jp/,gijuku@gijuku.ac.jp,https://www.gijuku.ac.jp/hs/etc/02.php,
青森県,私立,弘前学院聖愛高等学校,弘前市,津軽,https://seiai.hirogaku.ac.jp/,jimu@seiai.ed.jp,https://seiai.hirogaku.ac.jp/contact/,
青森県,私立,柴田学園大学附属柴田学園高等学校,弘前市,津軽,https://hs.shibata.ac.jp/,kyo_mu@shibagaku.ed.jp,,
青森県,私立,弘前東高等学校,弘前市,津軽,https://www.hirosakihigashi-th.ed.jp/,info@hirosakihigashi-th.ed.jp,,
青森県,私立,五所川原第一高等学校,五所川原市,津軽,https://goichiko.jp/,,,通信制課程あり
青森県,私立,八戸学院光星高等学校,八戸市,三八,https://kh.hachinohe-u.ac.jp/,ko-nyushi@kh.hachinohe-u.ac.jp,,入試窓口メール
青森県,私立,八戸聖ウルスラ学院高等学校,八戸市,三八,https://hs.ursula.ac.jp/,mail@ursula.ac.jp,,
青森県,私立,千葉学園高等学校,八戸市,三八,https://chibagakuen.ac.jp/,,,女子高校
青森県,私立,松風塾高等学校,平内町,青森,https://www.shofujuku-hs.ed.jp/,contact@shofujuku-hs.ed.jp,,全寮制
