都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
千葉県,千葉県立,千葉高等学校,千葉市中央区,千葉,https://cms1.chiba-c.ed.jp/chiba-h/,,https://cms1.chiba-c.ed.jp/chiba-h/home-1/schoolcontact/,
千葉県,千葉県立,千葉東高等学校,千葉市緑区,千葉,https://cms1.chiba-c.ed.jp/chibahigashi-h/,,,
千葉県,千葉県立,千葉北高等学校,千葉市花見川区,千葉,https://www.chiba-c.ed.jp/chibakita-h/,,,
千葉県,千葉県立,千葉西高等学校,千葉市美浜区,千葉,https://cms1.chiba-c.ed.jp/chibanishi-h/,,,
千葉県,千葉県立,千葉南高等学校,千葉市緑区,千葉,https://cms1.chiba-c.ed.jp/chibaminami-h/,,https://cms1.chiba-c.ed.jp/chibaminami-h/fff5edcba17a63556843818f314e7cad/schoolcontact,
千葉県,千葉県立,千葉女子高等学校,千葉市稲毛区,千葉,https://cms1.chiba-c.ed.jp/chibajosei-h/,,,
千葉県,千葉県立,千葉工業高等学校,千葉市中央区,千葉,https://cms1.chiba-c.ed.jp/chiba-th/,,,
千葉県,千葉県立,京葉工業高等学校,千葉市稲毛区,千葉,https://cms1.chiba-c.ed.jp/keiyo-th/,,,
千葉県,千葉県立,千葉商業高等学校,千葉市中央区,千葉,https://cms1.chiba-c.ed.jp/chibasho-h/,,,
千葉県,千葉県立,生浜高等学校,千葉市中央区,千葉,https://cms1.chiba-c.ed.jp/oihama-h/,,,
千葉県,千葉県立,幕張総合高等学校,千葉市花見川区,千葉,https://cms1.chiba-c.ed.jp/makuharisogo-h/,,,
千葉県,千葉県立,磯辺高等学校,千葉市美浜区,千葉,https://cms1.chiba-c.ed.jp/isobe-h/,,,
千葉県,千葉県立,検見川高等学校,千葉市花見川区,千葉,https://cms1.chiba-c.ed.jp/kemigawa-h/,,,
千葉県,千葉県立,千城台高等学校,千葉市若葉区,千葉,https://cms1.chiba-c.ed.jp/chishirodai-h/,,,
千葉県,千葉県立,千葉大宮高等学校,千葉市若葉区,千葉,https://cms1.chiba-c.ed.jp/omiya-h/,,,
千葉県,千葉県立,若松高等学校,千葉市若葉区,千葉,https://cms1.chiba-c.ed.jp/wakamatsu-h/,,,
千葉県,千葉県立,土気高等学校,千葉市緑区,千葉,https://cms1.chiba-c.ed.jp/toke-h/,,,
千葉県,千葉県立,柏井高等学校,千葉市花見川区,千葉,https://cms1.chiba-c.ed.jp/kashiwai-h/,,,
千葉県,千葉県立,犢橋高等学校,千葉市花見川区,千葉,https://cms1.chiba-c.ed.jp/kotehashi-h/,,,
千葉県,千葉県立,泉高等学校,千葉市緑区,千葉,https://cms1.chiba-c.ed.jp/izumi-h/,,,
千葉県,千葉市立,千葉高等学校,千葉市稲毛区,千葉,http://www.ich.ed.jp/,,http://www.ich.ed.jp/contact.html,
千葉県,千葉市立,稲毛高等学校,千葉市美浜区,千葉,https://www.city.chiba.jp/school/hs/001/index.html,,,千葉市立稲毛高等学校・稲毛国際中等教育学校
千葉県,私立,渋谷教育学園幕張高等学校,千葉市美浜区,千葉,https://www.shibumaku.jp/,,,
千葉県,私立,昭和学院秀英高等学校,千葉市美浜区,千葉,https://www.showa-shuei.ed.jp/,,,
千葉県,私立,敬愛学園高等学校,千葉市稲毛区,千葉,https://www.keiai.ed.jp/,,,
千葉県,私立,千葉経済大学附属高等学校,千葉市稲毛区,千葉,https://www.chibakeidai.ed.jp/highschool/,,,
千葉県,私立,千葉明徳高等学校,千葉市若葉区,千葉,https://www.chiba-meitoku.ed.jp/,,,
千葉県,私立,千葉聖心高等学校,千葉市稲毛区,千葉,https://www.seishin-h.ed.jp/,,,
千葉県,私立,昭和学院高等学校,市川市,千葉,https://www.showa-gakuin.ed.jp/,,,
千葉県,私立,桜林高等学校,千葉市若葉区,千葉,https://www.ohrin.ed.jp/,,,
千葉県,私立,植草学園大学附属高等学校,千葉市稲毛区,千葉,https://www.uekusa.ac.jp/attachedhs/,,,
千葉県,千葉県立,市川高等学校,市川市,葛南,https://cms1.chiba-c.ed.jp/ichikawa-h/,,,
千葉県,千葉県立,市川東高等学校,市川市,葛南,https://cms1.chiba-c.ed.jp/ichikawahigashi-h/,,,
千葉県,千葉県立,市川南高等学校,市川市,葛南,https://cms1.chiba-c.ed.jp/ichikawaminami-h/,,,
千葉県,千葉県立,市川工業高等学校,市川市,葛南,https://cms1.chiba-c.ed.jp/ichiko/,,https://cms1.chiba-c.ed.jp/ichiko/home-1/schoolcontact/,
千葉県,千葉県立,国府台高等学校,市川市,葛南,https://cms1.chiba-c.ed.jp/kounodai-h/,,,
千葉県,千葉県立,行徳高等学校,市川市,葛南,https://cms1.chiba-c.ed.jp/gyotoku-h/,,,
千葉県,私立,市川高等学校,市川市,葛南,https://www.ichigaku.ac.jp/,,,
千葉県,私立,国府台女子学院高等部,市川市,葛南,https://www.kf.ed.jp/,,,
千葉県,私立,和洋国府台女子高等学校,市川市,葛南,https://www.wayokonodai.ed.jp/,,,
千葉県,私立,日出学園高等学校,市川市,葛南,https://www.hinode.ed.jp/,,,
千葉県,私立,東京学館浦安高等学校,浦安市,葛南,https://urayasu.tokyogakkan.ac.jp/,,,
千葉県,千葉県立,船橋高等学校,船橋市,葛南,https://cms1.chiba-c.ed.jp/funako/,,,
千葉県,千葉県立,船橋東高等学校,船橋市,葛南,https://cms1.chiba-c.ed.jp/funabashhigashi-h/,,,
千葉県,千葉県立,船橋芝山高等学校,船橋市,葛南,https://cms1.chiba-c.ed.jp/funabashishibayama-h/,,,
千葉県,千葉県立,船橋北高等学校,船橋市,葛南,https://cms1.chiba-c.ed.jp/funabasshikita-h/,,,
千葉県,千葉県立,船橋豊富高等学校,船橋市,葛南,https://cms1.chiba-c.ed.jp/funabashitoyotomi-h/,,,
千葉県,千葉県立,船橋古和釜高等学校,船橋市,葛南,https://cms1.chiba-c.ed.jp/funabashikowagama-h/,,https://cms1.chiba-c.ed.jp/funabashikowagama-h/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,
千葉県,千葉県立,船橋法典高等学校,船橋市,葛南,https://cms1.chiba-c.ed.jp/funabashihoten-h/,,,
千葉県,千葉県立,二和高等学校,船橋市,葛南,https://cms1.chiba-c.ed.jp/futawa-h/,,,
千葉県,千葉県立,薬円台高等学校,船橋市,葛南,https://cms1.chiba-c.ed.jp/yakuendai-h/,,,
千葉県,千葉県立,実籾高等学校,習志野市,葛南,https://cms1.chiba-c.ed.jp/mimomihs/,,https://cms1.chiba-c.ed.jp/mimomihs/home-1/schoolcontact/,
千葉県,千葉県立,津田沼高等学校,習志野市,葛南,https://cms1.chiba-c.ed.jp/tsudanuma-h/,,,
千葉県,千葉県立,習志野高等学校,習志野市,葛南,https://cms1.chiba-c.ed.jp/narashino-h/,,,
千葉県,千葉県立,八千代高等学校,八千代市,葛南,https://cms1.chiba-c.ed.jp/yachiyo-h/,,,
千葉県,千葉県立,八千代東高等学校,八千代市,葛南,https://cms1.chiba-c.ed.jp/yachiyohigashi-h/,,,
千葉県,千葉県立,八千代西高等学校,八千代市,葛南,https://cms1.chiba-c.ed.jp/yachiyonishi-h/,,,
千葉県,千葉県立,浦安高等学校,浦安市,葛南,https://cms1.chiba-c.ed.jp/urayasu-h/,,,
千葉県,千葉県立,浦安南高等学校,浦安市,葛南,https://cms1.chiba-c.ed.jp/urayasuminami-h/,,,
千葉県,千葉県立,鎌ヶ谷高等学校,鎌ケ谷市,葛南,https://cms1.chiba-c.ed.jp/kamagaya-h/,,,
千葉県,千葉県立,鎌ヶ谷西高等学校,鎌ケ谷市,葛南,https://cms1.chiba-c.ed.jp/kamagayanishi-h/,,,
千葉県,千葉県立,白井高等学校,白井市,葛南,https://cms1.chiba-c.ed.jp/shiroi-h/,,,
千葉県,千葉市立,船橋高等学校,船橋市,葛南,https://cms2.chiba-c.ed.jp/funabashi-sh/,,,船橋市立
千葉県,千葉市立,習志野高等学校,習志野市,葛南,https://www.city.narashino.lg.jp/kosodate/narashino_highschool/,,,習志野市立
千葉県,私立,専修大学松戸高等学校,松戸市,東葛,https://www.senshu-u-matsudo.ed.jp/,,,
千葉県,私立,日本大学習志野高等学校,船橋市,葛南,https://www.nihon-u.ac.jp/nerima_hs/,,,
千葉県,私立,千葉日本大学第一高等学校,船橋市,葛南,https://www.chibadaiichi.ed.jp/,,,
千葉県,私立,東邦大学付属東邦高等学校,習志野市,葛南,https://www.tohohigashi.ed.jp/,,,
千葉県,私立,八千代松陰高等学校,八千代市,葛南,https://www.yachiyomatsuin.ed.jp/,,,
千葉県,私立,千葉英和高等学校,八千代市,葛南,https://www.ceh.ed.jp/,,,
千葉県,私立,芝浦工業大学柏高等学校,柏市,東葛,https://www.ka.shibaura-it.ac.jp/,,,
千葉県,千葉県立,松戸高等学校,松戸市,東葛,https://www.chiba-c.ed.jp/matsudo-h/,,,
千葉県,千葉県立,松戸南高等学校,松戸市,東葛,https://cms1.chiba-c.ed.jp/matsudominami-h/,,,
千葉県,千葉県立,松戸六実高等学校,松戸市,東葛,https://cms1.chiba-c.ed.jp/matsudomunemi-h/,,,
千葉県,千葉県立,松戸国際高等学校,松戸市,東葛,https://cms1.chiba-c.ed.jp/matsudokokusai-h/,,,
千葉県,千葉県立,松戸向陽高等学校,松戸市,東葛,https://www.chiba-c.ed.jp/m.koyo-h/,,,
千葉県,千葉県立,松戸馬橋高等学校,松戸市,東葛,https://cms1.chiba-c.ed.jp/mabashi-h/,,,
千葉県,千葉市立,松戸高等学校,松戸市,東葛,https://cms2.chiba-c.ed.jp/matsudo-sh/,,,松戸市立
