都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
愛媛県,国立,愛媛大学附属高等学校,松山市,中予,https://www.hi.ehime-u.ac.jp/,,,国立大学附属
愛媛県,県立,愛媛県立松山東高等学校,松山市,中予,https://matsuyamahigashi-h.esnet.ed.jp/,,,全日制・通信制設置
愛媛県,県立,愛媛県立松山東高等学校（通信制）,松山市,中予,https://matsuyamahigashi-h-c.esnet.ed.jp/,,,通信制課程
愛媛県,県立,愛媛県立松山南高等学校,松山市,中予,https://matsuyamaminami-h.esnet.ed.jp/,,,砥部分校あり
愛媛県,県立,愛媛県立松山南高等学校砥部分校,砥部町,中予,https://matsuyamaminami-h-b.esnet.ed.jp/,,,デザイン科
愛媛県,県立,愛媛県立松山北高等学校,松山市,中予,https://matsuyamakita-h.esnet.ed.jp/,,,
愛媛県,県立,愛媛県立松山中央高等学校,松山市,中予,https://matsuyamachuo-h.esnet.ed.jp/,,,
愛媛県,県立,愛媛県立松山工業高等学校,松山市,中予,https://matsuyama-th.esnet.ed.jp/,,,定時制あり
愛媛県,県立,愛媛県立松山商業高等学校,松山市,中予,https://matsuyama-ch.esnet.ed.jp/,,,
愛媛県,県立,愛媛県立松山西中等教育学校,松山市,中予,https://matsuyamanishi-s.esnet.ed.jp/,,,中等教育学校
愛媛県,県立,愛媛県立北条高等学校,松山市,中予,https://ehm-hojo-h.esnet.ed.jp/,,,2028年3月末廃校予定（全日制）
愛媛県,県立,愛媛県立北条清新高等学校,松山市,中予,https://hojoseishin-h.esnet.ed.jp/,,,2026年4月開校（昼間二部定時制・通信制）
愛媛県,県立,愛媛県立伊予高等学校,伊予市,中予,https://iyo-h.esnet.ed.jp/,,,
愛媛県,県立,愛媛県立伊予農業高等学校,伊予市,中予,https://iyo-ah.esnet.ed.jp/,,,
愛媛県,県立,愛媛県立東温高等学校,東温市,中予,https://tohon-h.esnet.ed.jp/,,,
愛媛県,県立,愛媛県立上浮穴高等学校,久万高原町,中予,https://kamiukena-h.esnet.ed.jp/,,,
愛媛県,県立,愛媛県立川之江高等学校,四国中央市,東予,https://kawanoe-h.esnet.ed.jp/,,,
愛媛県,県立,愛媛県立三島高等学校,四国中央市,東予,https://ehm-mishima-h.esnet.ed.jp/,,,
愛媛県,県立,愛媛県立土居高等学校,四国中央市,東予,https://doi-h.esnet.ed.jp/,,,
愛媛県,県立,愛媛県立新居浜東高等学校,新居浜市,東予,https://niihamahigashi-h.esnet.ed.jp/,,,
