都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
福岡県,県立,福岡県立修猷館高等学校,福岡市早良区,福岡,https://shuyu.fku.ed.jp/,,,普通科・理数科
福岡県,県立,福岡県立城南高等学校,福岡市城南区,福岡,https://jonan.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立筑紫丘高等学校,福岡市南区,福岡,https://chikushigaoka.fku.ed.jp/,,,普通科・理数科
福岡県,県立,福岡県立福岡高等学校,福岡市中央区,福岡,https://fukuoka.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立福岡中央高等学校,福岡市中央区,福岡,https://fchs.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立早良高等学校,福岡市早良区,福岡,https://sawara.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立筑前高等学校,福岡市西区,福岡,https://chikuzen.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立福岡講倫館高等学校,福岡市西区,福岡,https://kourin.fku.ed.jp/,,,総合学科（旧今宿高校）
福岡県,県立,福岡県立福岡工業高等学校,福岡市城南区,福岡,https://fths.fku.ed.jp/,,,工業科
福岡県,県立,福岡県立香椎高等学校,福岡市東区,福岡,https://kashii.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立香椎工業高等学校,福岡市東区,福岡,https://kashii-tech.fku.ed.jp/,,,工業科
福岡県,県立,福岡県立福岡農業高等学校,福岡市西区,福岡,https://fukuoka-agr.fku.ed.jp/,,,農業科
福岡県,県立,福岡県立玄洋高等学校,福岡市西区,福岡,https://genyo.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立魁誠高等学校,福岡市東区,福岡,https://kaisei.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立香住丘高等学校,福岡市東区,糟屋,https://kasumigaoka.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立新宮高等学校,糟屋郡新宮町,糟屋,https://shingu.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立春日高等学校,春日市,筑紫,https://kasuga.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立筑紫高等学校,太宰府市,筑紫,https://chikushi.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立筑紫中央高等学校,筑紫野市,筑紫,https://chikushichuo.fku.ed.jp/,,https://chikushichuo.fku.ed.jp/contact/,総合学科
福岡県,県立,福岡県立宗像高等学校,宗像市,宗像,https://munakata.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立宗像中学校・高等学校,宗像市,宗像,https://munakata-jh.fku.ed.jp/,,,中高一貫（中等教育学校）
福岡県,県立,福岡県立水産高等学校,糸島市,糸島,https://suisan.fku.ed.jp/,,,水産科
福岡県,県立,福岡県立糸島高等学校,糸島市,糸島,https://itoshima.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立糸島農業高等学校,糸島市,糸島,https://itoshima-ah.fku.ed.jp/,,,農業科
福岡県,県立,福岡県立朝倉高等学校,朝倉市,朝倉,https://asakura-highschool.ed.jp/,,,普通科
福岡県,県立,福岡県立朝倉東高等学校,朝倉市,朝倉,https://asakurahigashi.fku.ed.jp/,,,農業科
福岡県,県立,福岡県立朝倉光陽高等学校,朝倉市,朝倉,https://asakurakoyo.jp/,,,農業・福祉科（旧朝倉農業・三輪農業統合）
福岡県,県立,福岡県立浮羽究真館高等学校,うきは市,朝倉,https://kyushin.fku.ed.jp/,,,総合学科（旧浮羽・浮羽商業統合）
福岡県,県立,福岡県立明善高等学校,久留米市,筑後,https://meizen.fku.ed.jp/,,,普通科・理数科
福岡県,県立,福岡県立久留米高等学校,久留米市,筑後,https://kurume.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立久留米筑水高等学校,久留米市,筑後,https://kurumechikusui.fku.ed.jp/,,,農業・福祉科
福岡県,県立,福岡県立久留米工業高等学校,久留米市,筑後,https://kurume-tech.fku.ed.jp/,,,工業科
福岡県,県立,福岡県立浮羽工業高等学校,久留米市,筑後,https://ukiha-tech.jp/,,,工業科（田主丸町）
福岡県,県立,福岡県立三潴高等学校,久留米市,筑後,https://mizuma.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立小郡高等学校,小郡市,筑後,https://ogori.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立筑後高等学校,筑後市,筑後,https://chikugo.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立八女高等学校,八女市,筑後,https://yame.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立八女工業高等学校,八女市,筑後,https://yameth.fku.ed.jp/,,,工業科
福岡県,県立,福岡県立柳川高等学校,柳川市,筑後,https://www.yanagawa.ed.jp/,,,普通科
福岡県,県立,福岡県立伝習館高等学校,柳川市,筑後,https://denshukan.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立山門高等学校,柳川市,筑後,https://yamato.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立三池高等学校,大牟田市,筑後,https://miike.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立三池工業高等学校,大牟田市,筑後,https://miike-tech.fku.ed.jp/,,,工業科
福岡県,県立,福岡県立大牟田北高等学校,大牟田市,筑後,https://omutakita.fku.ed.jp/,,,総合学科（単位制）
福岡県,県立,ありあけ新世高等学校,大牟田市,筑後,https://ariakeshinsei.fku.ed.jp/,,,総合学科（旧大牟田高校等統合）
福岡県,県立,福岡県立大川樟風高等学校,大川市,筑後,https://shofu.fku.ed.jp/,,,普通科（旧大川高校・大川工業統合）
福岡県,県立,福岡県立嘉穂高等学校,飯塚市,嘉飯,https://kaho.ed.jp/,,,普通科・理数科
福岡県,県立,福岡県立嘉穂総合高等学校,飯塚市,嘉飯,https://kahosogo.fku.ed.jp/,,,総合学科
福岡県,県立,福岡県立嘉穂東高等学校,嘉麻市,嘉飯,https://kahohigashi.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立直方高等学校,直方市,嘉飯,https://nogata.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立筑豊高等学校,直方市,嘉飯,https://chikuho.fku.ed.jp/,,,商業科
福岡県,県立,福岡県立鞍手高等学校,鞍手郡鞍手町,嘉飯,https://kurate.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立鞍手竜徳高等学校,宮若市,嘉飯,https://kurateryutoku.fku.ed.jp/,,https://kurateryutoku.fku.ed.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,総合学科
福岡県,県立,福岡県立稲築志耕館高等学校,嘉麻市,嘉飯,https://shikoukan.fku.ed.jp/,,,総合学科
福岡県,県立,福岡県立田川高等学校,田川市,嘉飯,https://tagawa.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立田川科学技術高等学校,田川市,嘉飯,https://tagawakagaku.fku.ed.jp/,,,工業科
福岡県,県立,福岡県立中間高等学校,中間市,北九州,https://nakama.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立小倉高等学校,北九州市小倉北区,北九州,https://kokura.fku.ed.jp/,,,普通科・理数科
福岡県,県立,福岡県立東筑高等学校,北九州市八幡西区,北九州,https://tochiku.fku.ed.jp/,,,普通科・理数科
福岡県,県立,福岡県立小倉南高等学校,北九州市小倉南区,北九州,https://kokuraminami.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立小倉東高等学校,北九州市小倉南区,北九州,https://kokurahigashi.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立小倉西高等学校,北九州市小倉北区,北九州,https://kokuranishi.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立小倉工業高等学校,北九州市小倉北区,北九州,https://kokura-th.fku.ed.jp/,,,工業科
福岡県,県立,福岡県立小倉商業高等学校,北九州市小倉南区,北九州,https://kokura-ch.fku.ed.jp/,,,商業科
福岡県,県立,福岡県立高稜高等学校,北九州市若松区,北九州,https://koryo.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立曽根高等学校,北九州市小倉南区,北九州,https://sone.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立北九州高等学校,北九州市八幡西区,北九州,https://kitakyushu.fku.ed.jp/,,,普通科（定時制）
福岡県,県立,福岡県立北九州高等学園,北九州市八幡西区,北九州,https://hokugaku.fku.ed.jp/,,,知的障害特別支援
福岡県,県立,福岡県立戸畑高等学校,北九州市戸畑区,北九州,https://tobata.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立戸畑工業高等学校,北九州市戸畑区,北九州,https://tobata-tech.fku.ed.jp/,,,工業科
福岡県,県立,福岡県立八幡高等学校,北九州市八幡東区,北九州,https://yahata.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立八幡南高等学校,北九州市八幡西区,北九州,https://yahataminami.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立八幡工業高等学校,北九州市八幡東区,北九州,https://yahata-tech.fku.ed.jp/,,,工業科
福岡県,県立,福岡県立八幡中央高等学校,北九州市八幡西区,北九州,https://yahatachuo.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立若松高等学校,北九州市若松区,北九州,https://wakamatu.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立北筑高等学校,北九州市八幡西区,北九州,https://hokuchiku.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立門司学園中学校・高等学校,北九州市門司区,北九州,https://mojigakuen.fku.ed.jp/,,,中高一貫（中等教育学校）
福岡県,県立,福岡県立育徳館高等学校,豊前市,北九州,https://ikutoku-h.fku.ed.jp/,,,普通科（旧豊前高校）
福岡県,県立,福岡県立行橋高等学校,行橋市,北九州,https://yukuhashi.fku.ed.jp/,,,普通科
福岡県,県立,福岡県立京都高等学校,京都郡苅田町,北九州,https://miyako.fku.ed.jp/,,,普通科・工業科
福岡県,市立,北九州市立高等学校,北九州市戸畑区,北九州,https://ichiko-ed.jp/,,,普通科（北九州市立）
福岡県,市立,福岡市立福岡西陵高等学校,福岡市西区,福岡,https://sites.google.com/fuku-c.ed.jp/fukuokaseiryou/,,,普通科（福岡市立）
福岡県,市立,久留米市立久留米商業高等学校,久留米市,筑後,https://kyusho.kurume.ed.jp/,,,商業科（久留米市立）
福岡県,私立,筑紫女学園高等学校,福岡市中央区,福岡,https://chikujo.ed.jp/,,,女子校・仏教系
福岡県,私立,福岡女学院高等学校,福岡市南区,福岡,https://www.fukujo.ac.jp/high/,,,女子校・キリスト教系
福岡県,私立,福岡雙葉高等学校,福岡市中央区,福岡,https://www.fukuokafutaba.ed.jp/highschool/,,,女子校・カトリック系
福岡県,私立,精華女子高等学校,福岡市博多区,福岡,https://www.seika-ghs.ed.jp/,,,女子校
福岡県,私立,上智福岡高等学校,福岡市中央区,福岡,https://www.sophia-fukuoka.ed.jp/,,,共学・カトリック系
福岡県,私立,福岡大学附属大濠高等学校,福岡市中央区,福岡,https://www.ohori.ed.jp/,,,共学
福岡県,私立,福岡大学附属若葉高等学校,福岡市中央区,福岡,https://www.f-wakaba.ed.jp/,,,男子校
福岡県,私立,西南学院高等学校,福岡市早良区,福岡,https://hs.seinan.ed.jp/,,,男子校・キリスト教系
福岡県,私立,東福岡高等学校,福岡市博多区,福岡,https://www.higashifukuoka.ed.jp/,,,男子校
福岡県,私立,中村学園女子高等学校,福岡市城南区,福岡,https://www.nakamura-njh.ed.jp/,,,女子校（2026年共学化）
福岡県,私立,純真高等学校,福岡市南区,福岡,https://junshin-hs.ed.jp/,,,共学
福岡県,私立,福岡海星女子学院高等学校,福岡市南区,福岡,https://www.f-kaisei.ed.jp/senior/,,,女子校
福岡県,私立,福岡舞鶴高等学校,福岡市中央区,福岡,https://fmaizuru.ed.jp/,,,女子校
福岡県,私立,博多女子高等学校,福岡市博多区,福岡,https://www.ghakata.ac.jp/sh/,,,女子校
福岡県,私立,九州産業大学附属九州高等学校,福岡市東区,福岡,https://www.kyusanfhs.ed.jp/,,,共学
福岡県,私立,九州産業大学附属九州産業高等学校,福岡市東区,福岡,https://www.kyusan-hs.ed.jp/,,,共学（工業系）
福岡県,私立,福岡第一高等学校,福岡市東区,福岡,https://f.f-parama.ed.jp/,,,共学
福岡県,私立,福岡工業大学附属城東高等学校,福岡市東区,福岡,https://www.fjk.ed.jp/,,,共学
福岡県,私立,福岡常葉高等学校,福岡市南区,福岡,https://www.fukuoka-tokoha.ed.jp/,,,共学
福岡県,私立,西日本短期大学附属高等学校,福岡市城南区,福岡,https://www.nishitan-high.ed.jp/,,,共学
