都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
福島県,県立,福島高等学校,福島市,県北,https://fukushima-h.fcs.ed.jp/,fukushima-h@fcs.ed.jp,,
福島県,県立,橘高等学校,福島市,県北,https://tachibana-h.fcs.ed.jp/,tachibana-h@fcs.ed.jp,,
福島県,県立,福島東高等学校,福島市,県北,https://fukushimahigashi-h.fcs.ed.jp/,fukushimahigashi-h@fcs.ed.jp,,
福島県,県立,福島西高等学校,福島市,県北,https://fukushimanishi-h.fcs.ed.jp/,fukushimanishi-h@fcs.ed.jp,,
福島県,県立,福島北高等学校,福島市,県北,https://fukushimakita-h.fcs.ed.jp/,fukushimakita-h@fcs.ed.jp,,
福島県,県立,福島南高等学校,福島市,県北,https://fukushimaminami-h.fcs.ed.jp/,fukushimaminami-h@fcs.ed.jp,,
福島県,県立,福島商業高等学校,福島市,県北,https://fukushima-ch.fcs.ed.jp/,fukushima-ch@fcs.ed.jp,,
福島県,県立,福島工業高等学校,福島市,県北,https://fukushima-th.fcs.ed.jp/,fukushima-th@fcs.ed.jp,,
福島県,県立,福島明成高等学校,福島市,県北,https://fukushimameisei-h.fcs.ed.jp/,fukushimameisei-h@fcs.ed.jp,,農業・食品系専門高校
福島県,県立,ふくしま新世高等学校,福島市,県北,https://fukushimashinsei-h.fcs.ed.jp/,fukushimashinsei-h@fcs.ed.jp,,旧保原高・梁川高統合（2025年開校）
福島県,県立,川俣高等学校,伊達郡川俣町,県北,https://kawamata-h.fcs.ed.jp/,kawamata-h@fcs.ed.jp,,
福島県,県立,伊達高等学校,伊達市,県北,https://date-h.fcs.ed.jp/,date-h@fcs.ed.jp,,
福島県,県立,安達高等学校,二本松市,県北,https://adachi-h.fcs.ed.jp/,adachi-h@fcs.ed.jp,,
福島県,県立,二本松実業高等学校,二本松市,県北,https://nihonmatsu-bh.fcs.ed.jp/,nihonmatsu-bh@fcs.ed.jp,,旧二本松工業・安達東統合（2025年）
福島県,県立,本宮高等学校,本宮市,県北,https://motomiya-h.fcs.ed.jp/,motomiya-h@fcs.ed.jp,,
福島県,県立,安積高等学校,郡山市,県中,https://asaka-h.fcs.ed.jp/,asaka-h@fcs.ed.jp,,SSH指定校
福島県,県立,安積黎明高等学校,郡山市,県中,https://asakareimei-h.fcs.ed.jp/,asakareimei-h@fcs.ed.jp,,
福島県,県立,郡山高等学校,郡山市,県中,https://koriyama-h.fcs.ed.jp/,koriyama-h@fcs.ed.jp,,
福島県,県立,郡山東高等学校,郡山市,県中,https://koriyamahigashi-h.fcs.ed.jp/,koriyamahigashi-h@fcs.ed.jp,,
福島県,県立,郡山商業高等学校,郡山市,県中,https://koriyama-ch.fcs.ed.jp/,koriyama-ch@fcs.ed.jp,,
福島県,県立,郡山北工業高等学校,郡山市,県中,https://koriyamakita-th.fcs.ed.jp/,koriyamakita-th@fcs.ed.jp,,
