都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
岐阜県,県立,岐阜高等学校,岐阜市,岐阜,https://school.gifu-net.ed.jp/wordpress/gifu-hs/,c27301@pref.gifu.lg.jp,https://school.gifu-net.ed.jp/wordpress/gifu-hs/contact/,
岐阜県,県立,岐阜北高等学校,岐阜市,岐阜,https://school.gifu-net.ed.jp/wordpress/gifukita-hs/,,,
岐阜県,県立,長良高等学校,岐阜市,岐阜,https://school.gifu-net.ed.jp/nagara-hs/,,,
岐阜県,県立,岐山高等学校,岐阜市,岐阜,https://school.gifu-net.ed.jp/gisan-hs/,,,
岐阜県,県立,加納高等学校,岐阜市,岐阜,https://school.gifu-net.ed.jp/kano-hs/,,,
岐阜県,県立,岐阜商業高等学校,岐阜市,岐阜,https://school.gifu-net.ed.jp/gifu-chs/,,https://school.gifu-net.ed.jp/wordpress/gifu-chs/contact/,
岐阜県,県立,岐阜工業高等学校,羽島郡笠松町,岐阜,https://school.gifu-net.ed.jp/gifu-ths/,,,
岐阜県,県立,岐阜農林高等学校,本巣郡北方町,岐阜,https://school.gifu-net.ed.jp/gifu-ahs/,,,
岐阜県,県立,岐阜各務野高等学校,各務原市,岐阜,https://school.gifu-net.ed.jp/wordpress/gkakamino-hs/,,https://school.gifu-net.ed.jp/wordpress/gkakamino-hs/contactus/,
岐阜県,県立,各務原高等学校,各務原市,岐阜,https://school.gifu-net.ed.jp/wordpress/kaku-hs/,,,
岐阜県,県立,岐南工業高等学校,羽島郡岐南町,岐阜,https://school.gifu-net.ed.jp/wordpress/ginan-ths/,,https://school.gifu-net.ed.jp/wordpress/ginan-ths/introduction/contact/,
岐阜県,県立,岐阜総合学園高等学校,岐阜市,岐阜,https://school.gifu-net.ed.jp/wordpress/sogo-hs/,c27387@gifu-net.ed.jp,https://school.gifu-net.ed.jp/wordpress/sogo-hs/question/,
岐阜県,県立,岐阜城北高等学校,岐阜市,岐阜,https://school.gifu-net.ed.jp/wordpress/jyohoku-hs/,,,
岐阜県,県立,山県高等学校,山県市,岐阜,https://school.gifu-net.ed.jp/yamagata-hs/,c27351@gifu-net.ed.jp,,
岐阜県,県立,本巣松陽高等学校,本巣市,岐阜,https://school.gifu-net.ed.jp/wordpress/syoyo-hs/,,https://school.gifu-net.ed.jp/wordpress/syoyo-hs/contact/,
岐阜県,県立,華陽フロンティア高等学校,岐阜市,岐阜,https://school.gifu-net.ed.jp/kayofront-hs/,c27350@gifu-net.ed.jp,,通信制課程
岐阜県,県立,大垣北高等学校,大垣市,西濃,https://school.gifu-net.ed.jp/ogkkita-hs/,,,
岐阜県,県立,大垣工業高等学校,大垣市,西濃,https://school.gifu-net.ed.jp/wordpress/ogaki-ths/,,,
岐阜県,県立,大垣東高等学校,大垣市,西濃,https://school.gifu-net.ed.jp/ogkhigasi-hs/,,,
岐阜県,県立,大垣西高等学校,大垣市,西濃,https://school.gifu-net.ed.jp/ogknisi-hs/,,,
岐阜県,県立,大垣南高等学校,大垣市,西濃,https://school.gifu-net.ed.jp/ogkminami-hs/,,,
岐阜県,県立,大垣商業高等学校,大垣市,西濃,https://school.gifu-net.ed.jp/wordpress/ogaki-chs/,c27314@gifu-net.ed.jp,,
岐阜県,県立,大垣桜高等学校,大垣市,西濃,https://school.gifu-net.ed.jp/ogksakura-hs/,,,家庭・福祉専門高校
岐阜県,県立,海津明誠高等学校,海津市,西濃,https://school.gifu-net.ed.jp/kmeisei-hs/,c27393@gifu-net.ed.jp,,
岐阜県,県立,揖斐高等学校,揖斐郡揖斐川町,西濃,https://school.gifu-net.ed.jp/ibi-hs/,,,
岐阜県,県立,池田高等学校,揖斐郡池田町,西濃,https://school.gifu-net.ed.jp/ikeda-hs/,,https://school.gifu-net.ed.jp/wordpress/ikeda-hs/access/,
岐阜県,県立,不破高等学校,不破郡垂井町,西濃,https://school.gifu-net.ed.jp/wordpress/fuwa-hs/,,https://school.gifu-net.ed.jp/wordpress/fuwa-hs/contact/,
岐阜県,県立,関高等学校,関市,中濃,https://school.gifu-net.ed.jp/seki-hs/,,,
岐阜県,県立,関有知高等学校,関市,中濃,https://school.gifu-net.ed.jp/wordpress/sekiuchi-hs/,,,総合学科
岐阜県,県立,美濃高等学校,美濃市,中濃,https://school.gifu-net.ed.jp/mino-hs/,,,
岐阜県,県立,郡上高等学校,郡上市,中濃,https://school.gifu-net.ed.jp/gujyo-hs/,,,
岐阜県,県立,郡上北高等学校,郡上市,中濃,https://school.gifu-net.ed.jp/gujyokita-hs/,c27357@pref.gifu.lg.jp,,
岐阜県,県立,加茂高等学校,美濃加茂市,中濃,https://school.gifu-net.ed.jp/kamo-hs/,,,
岐阜県,県立,可児高等学校,可児市,中濃,https://school.gifu-net.ed.jp/kani-hs/,,,
岐阜県,県立,可児工業高等学校,可児市,中濃,https://school.gifu-net.ed.jp/kani-ths/,,,
岐阜県,県立,東濃高等学校,可児郡御嵩町,中濃,https://school.gifu-net.ed.jp/tono-hs/,,,
岐阜県,県立,多治見高等学校,多治見市,東濃,https://school.gifu-net.ed.jp/tajimi-hs/,,,
岐阜県,県立,多治見工業高等学校,多治見市,東濃,https://school.gifu-net.ed.jp/wordpress/tajimi-ths/,,,
岐阜県,県立,多治見北高等学校,多治見市,東濃,https://school.gifu-net.ed.jp/wordpress/tajimikita-hs/,,,
岐阜県,県立,土岐紅陵高等学校,土岐市,東濃,https://school.gifu-net.ed.jp/wordpress/tokikoryo-hs/,,,総合学科
岐阜県,県立,瑞浪高等学校,瑞浪市,東濃,https://school.gifu-net.ed.jp/mizunami-hs/,,,
岐阜県,県立,恵那高等学校,恵那市,東濃,https://school.gifu-net.ed.jp/ena-hs/,,,
岐阜県,県立,恵那農業高等学校,恵那市,東濃,https://school.gifu-net.ed.jp/ena-ahs/,,,
岐阜県,県立,恵那南高等学校,恵那市,東濃,https://school.gifu-net.ed.jp/enaminami-hs/,,,
岐阜県,県立,中津川高等学校,中津川市,東濃,https://school.gifu-net.ed.jp/nakatsugawa-hs/,,,
岐阜県,県立,中津川工業高等学校,中津川市,東濃,https://school.gifu-net.ed.jp/wordpress/nakatgawa-ths/,,,
岐阜県,県立,坂下高等学校,中津川市,東濃,https://school.gifu-net.ed.jp/sakasita-hs/,,,
岐阜県,県立,斐太高等学校,高山市,飛騨,https://school.gifu-net.ed.jp/wordpress/hida-hs/,,,
岐阜県,県立,飛騨高山高等学校,高山市,飛騨,https://school.gifu-net.ed.jp/htakayama-hs/,,,全日制・定時制・通信制
岐阜県,県立,吉城高等学校,飛騨市,飛騨,https://school.gifu-net.ed.jp/wordpress/yosiki-hs/,,,
岐阜県,県立,飛騨神岡高等学校,飛騨市,飛騨,https://school.gifu-net.ed.jp/wordpress/hidakami-hs/,,,
岐阜県,県立,益田清風高等学校,下呂市,飛騨,https://school.gifu-net.ed.jp/mseifu-hs/,,,
岐阜県,市立,岐阜市立岐阜商業高等学校,岐阜市,岐阜,https://www.shigisho.ed.jp/,,,
岐阜県,私立,鶯谷高等学校,岐阜市,岐阜,https://uguisudani.ed.jp/,,,
岐阜県,私立,岐阜東高等学校,岐阜市,岐阜,https://www.gito.ed.jp/,,https://www.gito.ed.jp/contact/,富田学園
岐阜県,私立,富田高等学校,岐阜市,岐阜,https://www.tomita.ac.jp/,,,富田学園
岐阜県,私立,岐阜聖徳学園高等学校,岐阜市,岐阜,https://www.shotoku.jp/gsh/,,,
岐阜県,私立,岐阜第一高等学校,本巣市,岐阜,https://www.gifu-daiichi.ed.jp/,,,松翠学園
岐阜県,私立,岐阜女子高等学校,羽島郡岐南町,岐阜,https://www.gifujoshi.ed.jp/,,https://www.gifujoshi.ed.jp/info/,私立女子高校
岐阜県,私立,大垣日本大学高等学校,大垣市,西濃,https://www.ogaki.ac.jp/,,,日本大学付属
岐阜県,私立,西濃学園高等学校,揖斐郡揖斐川町,西濃,https://seino-gakuen.ed.jp/high-school/,seino-kuze@octn.jp,https://seino-gakuen.ed.jp/contact/,
岐阜県,私立,美濃加茂高等学校,美濃加茂市,中濃,https://minokamo.ed.jp/h/,,,
岐阜県,私立,帝京大学可児高等学校,可児市,中濃,https://www.teikyo-kani.ed.jp/high/,info@teikyo-kani.ed.jp,https://www.teikyo-kani.ed.jp/high/contact/,
岐阜県,私立,中京高等学校,瑞浪市,東濃,https://www.chukyo-ch.ed.jp/,,,中京学院大学附属
岐阜県,私立,多治見西高等学校,多治見市,東濃,https://www.tajiminishi.ed.jp/high/,,https://www.tajiminishi.ed.jp/high/attending-school/,溪泉学園
岐阜県,私立,高山西高等学校,高山市,飛騨,https://takanishi.ed.jp/,,,飛騨学園
