都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
群馬県,群馬県立,群馬県立前橋高等学校,前橋市,前橋,https://maebashi-hs.gsn.ed.jp/,maebashi-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立前橋女子高等学校,前橋市,前橋,https://maejo-hs.gsn.ed.jp/,maejo-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立前橋東高等学校,前橋市,前橋,https://maehigashi-hs.gsn.ed.jp/,maehigashi-hs@edu-g.gsn.ed.jp,,旧URLはsites.google.com/a/edu-g.gsn.ed.jp/maehigashi-hs/
群馬県,群馬県立,群馬県立前橋南高等学校,前橋市,前橋,https://maenan-hs.gsn.ed.jp/,maenan-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立前橋西高等学校,前橋市,前橋,https://maenisi-hs.gsn.ed.jp/,maenishi-hs01@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立前橋工業高等学校,前橋市,前橋,https://maeko-hs.gsn.ed.jp/,maeko-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立前橋商業高等学校,前橋市,前橋,https://maesho-hs.gsn.ed.jp/,maesho-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立前橋清陵高等学校,前橋市,前橋,,,,定時制
群馬県,群馬県立,群馬県立勢多農林高等学校,前橋市,前橋,https://setano-hs.gsn.ed.jp/,setano-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立高崎高等学校,高崎市,高崎,https://takasaki-hs.gsn.ed.jp/,takasaki-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立高崎女子高等学校,高崎市,高崎,,takajo-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立高崎北高等学校,高崎市,高崎,https://takakita-hs.gsn.ed.jp/,takakita-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立高崎東高等学校,高崎市,高崎,http://www.nc.takahi-hs.gsn.ed.jp/,takahi-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立高崎工業高等学校,高崎市,高崎,https://takako-hs.gsn.ed.jp/,takako-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立高崎商業高等学校,高崎市,高崎,,takasho-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立榛名高等学校,高崎市,高崎,https://harukou-hs.gsn.ed.jp/,harukou-hs@edu-g.gsn.ed.jp,,旧榛名町（現高崎市）
群馬県,群馬県立,群馬県立中央中等教育学校,高崎市,高崎,https://chuo-ss.gsn.ed.jp/,chuo-ss@edu-g.gsn.ed.jp,,中等教育学校（中高一貫）
群馬県,群馬県立,群馬県立伊勢崎高等学校,伊勢崎市,東毛,https://isesaki-hs.gsn.ed.jp/,isesaki-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立伊勢崎清明高等学校,伊勢崎市,東毛,https://seimei-hs.ed.jp/,seimei-hs@edu-g.gsn.ed.jp,https://seimei-hs.ed.jp/contact/,
群馬県,群馬県立,群馬県立伊勢崎興陽高等学校,伊勢崎市,東毛,https://koyo-hs.gsn.ed.jp/,koyo-kyomu@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立伊勢崎工業高等学校,伊勢崎市,東毛,,isekou-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立伊勢崎商業高等学校,伊勢崎市,東毛,https://isyo-hs.gsn.ed.jp/,isyo-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立玉村高等学校,佐波郡玉村町,東毛,https://tamamura-hs.gsn.ed.jp/,tamamura-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立太田高等学校,太田市,東毛,https://ota-hs.gsn.ed.jp/,ota-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立太田女子高等学校,太田市,東毛,https://tajyo-hs.gsn.ed.jp/,tajyo-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立太田東高等学校,太田市,東毛,https://tahigasi-hs.gsn.ed.jp/,tahigasi-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立太田工業高等学校,太田市,東毛,https://tako-hs.gsn.ed.jp/,tako-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立太田フレックス高等学校,太田市,東毛,https://otaflex-hs.gsn.ed.jp/,otaflex-hs@edu-g.gsn.ed.jp,,定時制・単位制
群馬県,群馬県立,群馬県立館林高等学校,館林市,東毛,https://tateko-hs.gsn.ed.jp/,tateko-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立館林女子高等学校,館林市,東毛,https://kanjo.ed.jp/,kanjo-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立館林商工高等学校,館林市,東毛,,tatesho-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立板倉高等学校,邑楽郡板倉町,東毛,,itakura-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立西邑楽高等学校,邑楽郡大泉町,東毛,,nishiora-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立大泉高等学校,邑楽郡大泉町,東毛,https://oizumi-hs.gsn.ed.jp/,oizumi-master@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立新田暁高等学校,太田市,東毛,,nitta-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立桐生高等学校,桐生市,東毛,https://kiryu-hs.gsn.ed.jp/,kiryu-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立桐生清桴高等学校,桐生市,東毛,,kirikyo-hs@edu-g.gsn.ed.jp,,旧桐生女子高等学校
群馬県,群馬県立,群馬県立桐生工業高等学校,桐生市,東毛,https://kiriko-hs.gsn.ed.jp/,kiriko-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立大間々高等学校,みどり市,東毛,,omama-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立渋川高等学校,渋川市,北毛,https://sibukawa-hs.gsn.ed.jp/,sibukawa-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立渋川女子高等学校,渋川市,北毛,https://sibujyo-hs.gsn.ed.jp/,sibujyo-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立渋川工業高等学校,渋川市,北毛,,sibukou-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立渋川青翠高等学校,渋川市,北毛,https://seisui-hs.gsn.ed.jp/,seisui-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立沼田高等学校,沼田市,北毛,https://numata-hs.ed.jp/,numata-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立沼田女子高等学校,沼田市,北毛,https://numajyo-hs.gsn.ed.jp/,numajyo-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立尾瀬高等学校,沼田市,北毛,https://oze-hs.gsn.ed.jp/,oze-hs@edu-g.gsn.ed.jp,,利根町（現沼田市）
群馬県,群馬県立,群馬県立吾妻中央高等学校,吾妻郡中之条町,吾妻,https://agachuo-hs.gsn.ed.jp/,agachuo-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立長野原高等学校,吾妻郡長野原町,吾妻,https://naganohara-hs.gsn.ed.jp/,naganohara-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立嬬恋高等学校,吾妻郡嬬恋村,吾妻,https://tsumagoi-hs.gsn.ed.jp/,tsumagoi-hs@edu-g.gsn.ed.jp,,
群馬県,群馬県立,群馬県立藤岡中央高等学校,藤岡市,高崎,https://ftyuou-hs.gsn.ed.jp/,fujityu-hs@edu-g.gsn.ed.jp,,
