都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
広島県,県立,広島国泰寺高等学校,広島市中区,広島,https://www.kokutaiji-h.hiroshima-c.ed.jp/,kokutaiji-h@hiroshima-c.ed.jp,,
広島県,県立,広島中学校・広島高等学校,東広島市,広島,https://www.hcyuko.hiroshima-c.ed.jp/,,,中高一貫（県立）
広島県,県立,広島皆実高等学校,広島市南区,広島,https://www.minami-h.hiroshima-c.ed.jp/,,,
広島県,県立,広島工業高等学校,広島市南区,広島,https://www.hiroshima-th.hiroshima-c.ed.jp/,hiroshima-th@hiroshima-c.ed.jp,,
広島県,県立,広島商業高等学校,広島市中区,広島,https://www.hiroshima-ch.hiroshima-c.ed.jp/,,,
広島県,県立,広島観音高等学校,広島市西区,広島,https://www.kanon-h.hiroshima-c.ed.jp/,,,
広島県,県立,広島井口高等学校,広島市西区,広島,https://www.inokuchi-h.hiroshima-c.ed.jp/,,,
広島県,県立,祇園北高等学校,広島市安佐南区,広島,https://www.gionkita-h.hiroshima-c.ed.jp/,,,
広島県,県立,安古市高等学校,広島市安佐南区,広島,https://www.yasufuruichi-h.hiroshima-c.ed.jp/,,,
広島県,県立,安芸南高等学校,広島市安芸区,広島,https://www.akiminami-h.hiroshima-c.ed.jp/,,,
広島県,県立,安西高等学校,広島市安佐南区,広島,https://www.yasunishi-h.hiroshima-c.ed.jp/,,,
広島県,県立,高陽高等学校,広島市安佐北区,広島,https://www.koyo-h.hiroshima-c.ed.jp/,,,
広島県,県立,高陽東高等学校,広島市安佐北区,広島,https://www.koyohigashi-h.hiroshima-c.ed.jp/,,,
広島県,県立,可部高等学校,広島市安佐北区,広島,https://www.kabe-h.hiroshima-c.ed.jp/,,,
広島県,県立,広島東高等学校,広島市東区,広島,https://www.hiroshimahigashi-h.hiroshima-c.ed.jp/,,,
広島県,県立,海田高等学校,安芸郡海田町,広島,https://www.kaita-h.hiroshima-c.ed.jp/,,,
広島県,県立,熊野高等学校,安芸郡熊野町,広島,https://www.kumano-h.hiroshima-c.ed.jp/,,,
広島県,県立,安芸府中高等学校,安芸郡府中町,広島,https://www.akifuchu-h.hiroshima-c.ed.jp/,,,
広島県,県立,廿日市高等学校,廿日市市,広島,https://www.hatsukaichi-h.hiroshima-c.ed.jp/,,,
広島県,県立,廿日市西高等学校,廿日市市,広島,https://www.hatsukaichinishi-h.hiroshima-c.ed.jp/,,,
広島県,県立,佐伯高等学校,廿日市市,広島,https://www.saeki-h.hiroshima-c.ed.jp/,,,
広島県,県立,宮島工業高等学校,廿日市市,広島,https://www.miyajima-th.hiroshima-c.ed.jp/,,,
広島県,県立,千代田高等学校,山県郡北広島町,広島,https://www.chiyoda-h.hiroshima-c.ed.jp/,,,
広島県,私立,広島新庄高等学校,山県郡北広島町,広島,https://www.shinjou.jp/,,,中高一貫
広島県,県立,加計高等学校,山県郡安芸太田町,広島,https://www.kake-h.hiroshima-c.ed.jp/,,,
広島県,県立,吉田高等学校,安芸高田市,広島,https://www.yoshida-h.hiroshima-c.ed.jp/,,,
広島県,県立,広島叡智学園中学校・高等学校,豊田郡大崎上島町,広島,https://higa-s.jp/,ecyuko@hiroshima-c.ed.jp,,中高一貫（県立・寄宿制）
広島県,県立,大崎海星高等学校,豊田郡大崎上島町,広島,https://www.osakikaisei-h.hiroshima-c.ed.jp/,,,
広島県,県立,大柿高等学校,江田島市,広島,https://www.ogaki-h.hiroshima-c.ed.jp/,,,
広島県,県立,呉三津田高等学校,呉市,呉,https://www.kuremitsuta-h.hiroshima-c.ed.jp/,,,
広島県,県立,呉宮原高等学校,呉市,呉,https://www.kuremiyahara-h.hiroshima-c.ed.jp/,,,再編対象（呉三津田との統合計画）
広島県,県立,広高等学校,呉市,呉,https://www.hiro-h.hiroshima-c.ed.jp/,,,
広島県,県立,呉工業高等学校,呉市,呉,https://www.kure-th.hiroshima-c.ed.jp/,,,
広島県,県立,呉商業高等学校,呉市,呉,https://www.kure-ch.hiroshima-c.ed.jp/,,,
広島県,県立,安芸高等学校,呉市,呉,https://www.aki-h.hiroshima-c.ed.jp/,,,令和6(2024)年3月閉校済み
広島県,県立,音戸高等学校,呉市,呉,https://www.ondo-h.hiroshima-c.ed.jp/,,,
広島県,県立,賀茂高等学校,東広島市,東広島,https://www.kamo-h.hiroshima-c.ed.jp/,,,
広島県,県立,賀茂北高等学校,東広島市,東広島,https://www.kamokita-h.hiroshima-c.ed.jp/,,,
広島県,県立,西条農業高等学校,東広島市,東広島,https://www.saijyo-ah.hiroshima-c.ed.jp/,,,
広島県,県立,黒瀬高等学校,東広島市,東広島,https://www.kurose-h.hiroshima-c.ed.jp/,,,
広島県,県立,河内高等学校,東広島市,東広島,https://www.kouchi-h.hiroshima-c.ed.jp/,,,
広島県,県立,豊田高等学校,東広島市,東広島,https://www.toyota-h.hiroshima-c.ed.jp/,,,
広島県,県立,忠海高等学校,竹原市,尾三,https://www.tadanoumi-h.hiroshima-c.ed.jp/,,,
広島県,県立,竹原高等学校,竹原市,尾三,https://www.takehara-h.hiroshima-c.ed.jp/,,,
広島県,県立,三原高等学校,三原市,尾三,https://www.mihara-h.hiroshima-c.ed.jp/,,,
広島県,県立,三原東高等学校,三原市,尾三,https://www.miharahigashi-h.hiroshima-c.ed.jp/,,,
広島県,県立,総合技術高等学校,三原市,尾三,https://www.sougou-th.hiroshima-c.ed.jp/,,,
広島県,県立,尾道北高等学校,尾道市,尾三,https://www.onomichikita-h.hiroshima-c.ed.jp/,,,
広島県,県立,尾道東高等学校,尾道市,尾三,https://www.onomichihigashi-h.hiroshima-c.ed.jp/,,,
広島県,県立,尾道商業高等学校,尾道市,尾三,https://www.onomichi-ch.hiroshima-c.ed.jp/,,,
広島県,県立,因島高等学校,尾道市,尾三,https://www.innoshima-h.hiroshima-c.ed.jp/,,,
広島県,県立,瀬戸田高等学校,尾道市,尾三,https://www.setoda-h.hiroshima-c.ed.jp/,,,
広島県,県立,御調高等学校,尾道市,尾三,https://www.mitsugi-h.hiroshima-c.ed.jp/,,,
広島県,県立,福山誠之館高等学校,福山市,備後,https://www.fukuyamaseishikan-h.hiroshima-c.ed.jp/,,,
広島県,県立,福山葦陽高等学校,福山市,備後,https://www.fukuyamaiyo-h.hiroshima-c.ed.jp/,,,
広島県,県立,福山明王台高等学校,福山市,備後,https://www.fukuyamamyoodai-h.hiroshima-c.ed.jp/,,,
広島県,県立,福山工業高等学校,福山市,備後,https://www.fukuyama-th.hiroshima-c.ed.jp/,,,
広島県,県立,福山商業高等学校,福山市,備後,https://www.fukuyama-ch.hiroshima-c.ed.jp/,,,
広島県,県立,大門高等学校,福山市,備後,https://www.daimon-h.hiroshima-c.ed.jp/,,,
広島県,県立,神辺高等学校,福山市,備後,https://www.kannabe-h.hiroshima-c.ed.jp/,,,
