都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
北海道,道立,北海道札幌南高等学校,札幌市,石狩,https://www.sapporominami.hokkaido-c.ed.jp/,sapporominami-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌北高等学校,札幌市,石狩,https://www.sapporokita.hokkaido-c.ed.jp/,sapporokita-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌西高等学校,札幌市,石狩,https://www.sapporonishi.hokkaido-c.ed.jp/,sapporonishi-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌東高等学校,札幌市,石狩,https://www.sapporohigashi.hokkaido-c.ed.jp/,sapporohigashi-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌旭丘高等学校,札幌市,石狩,https://www.sapporoasahigaoka.hokkaido-c.ed.jp/,sapporoasahigaoka-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌月寒高等学校,札幌市,石狩,https://www.sapporotsukisamu.hokkaido-c.ed.jp/,sapporotsukisamu-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌平岡高等学校,札幌市,石狩,https://www.sapporahiraoka.hokkaido-c.ed.jp/,sapporahiraoka-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌白石高等学校,札幌市,石狩,https://www.sapporoshiraishi.hokkaido-c.ed.jp/,sapporoshiraishi-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌清田高等学校,札幌市,石狩,https://www.sapporoseita.hokkaido-c.ed.jp/,sapporoseita-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌手稲高等学校,札幌市,石狩,https://www.sapporoteine.hokkaido-c.ed.jp/,sapporoteine-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌東陵高等学校,札幌市,石狩,https://www.sapporotoryou.hokkaido-c.ed.jp/,sapporotoryou-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌厚別高等学校,札幌市,石狩,https://www.sapporoatsubetsu.hokkaido-c.ed.jp/,sapporoatsubetsu-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌北陵高等学校,札幌市,石狩,https://www.sapporohokuryou.hokkaido-c.ed.jp/,sapporohokuryou-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌稲雲高等学校,札幌市,石狩,https://www.s-touun-h.hokkaido-c.ed.jp/,s-touun-h-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌英藍高等学校,札幌市,石狩,https://www.sapporoeiran.hokkaido-c.ed.jp/,sapporoeiran-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌あすかぜ高等学校,札幌市,石狩,https://www.sapporoasukaze.hokkaido-c.ed.jp/,sapporoasukaze-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌南陵高等学校,札幌市,石狩,https://www.sapporonanryo.hokkaido-c.ed.jp/,sapporonanryo-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌東商業高等学校,札幌市,石狩,https://www.sapporohigashishogyo.hokkaido-c.ed.jp/,sapporohigashishogyo-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌工業高等学校,札幌市,石狩,https://www.sakko.hokkaido-c.ed.jp/,sakko-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌琴似工業高等学校,札幌市,石狩,https://www.sapporokotoni.hokkaido-c.ed.jp/,sapporokotoni-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌農業高等学校,札幌市,石狩,https://www.sapporonogyo.hokkaido-c.ed.jp/,sapporonogyo-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌国際情報高等学校,札幌市,石狩,https://www.sapporokokusaijyoho.hokkaido-c.ed.jp/,sapporokokusaijyoho-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道有朋高等学校,札幌市,石狩,https://www.yuho.hokkaido-c.ed.jp/,yuho-z0@hokkaido-c.ed.jp,,
北海道,道立,北海道札幌白陵高等学校,札幌市,石狩,https://www.sapporohakuryou.hokkaido-c.ed.jp/,sapporohakuryou-z0@hokkaido-c.ed.jp,,
