都道府県,設置区分,学校名,設置自治体,所在市町村,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
北海道,市立,市立札幌旭丘高等学校,札幌市,札幌市中央区,https://www23.sapporo-c.ed.jp/asahigaoka/,,https://www23.sapporo-c.ed.jp/asahigaoka/,メール公開なし。電話011-561-1221
北海道,市立,市立札幌大通高等学校,札幌市,札幌市中央区,https://www23.sapporo-c.ed.jp/odori/,,https://www23.sapporo-c.ed.jp/odori/,単位制。メール公開なし。電話011-280-0017
北海道,市立,市立札幌新川高等学校,札幌市,札幌市北区,https://www23.sapporo-c.ed.jp/shinkawa/,,https://www23.sapporo-c.ed.jp/shinkawa/,メール公開なし。電話011-761-8022
北海道,市立,市立札幌平岸高等学校,札幌市,札幌市豊平区,https://www23.sapporo-c.ed.jp/hiragishi/,,https://www23.sapporo-c.ed.jp/hiragishi/,メール公開なし。電話011-811-6831
北海道,市立,市立札幌清田高等学校,札幌市,札幌市清田区,https://www23.sapporo-c.ed.jp/kiyota/,,https://www23.sapporo-c.ed.jp/kiyota/,メール公開なし。電話011-882-0100
北海道,市立,市立札幌啓北商業高等学校,札幌市,札幌市北区,https://www23.sapporo-c.ed.jp/keihoku/,,https://www23.sapporo-c.ed.jp/keihoku/,メール公開なし。電話011-771-5101。2026年度末に藻岩との再編統合により閉校予定
北海道,市立,市立札幌藻岩高等学校,札幌市,札幌市南区,https://www23.sapporo-c.ed.jp/moiwa/,,https://www23.sapporo-c.ed.jp/moiwa/,メール公開なし。電話011-591-3611。啓北商業と再編統合予定
北海道,市立,市立札幌開成中等教育学校,札幌市,札幌市東区,https://www23.sapporo-c.ed.jp/sapporo-kaisei/,,https://www23.sapporo-c.ed.jp/sapporo-kaisei/,中高一貫(中等教育学校)。高等部相当あり。メール公開なし。電話011-721-0418
北海道,町立,ニセコ国際高等学校,ニセコ町,虻田郡ニセコ町,https://niseko.ed.jp/,,,2026年4月開校のニセコ町立全日制高校。旧:北海道ニセコ高等学校(道立定時制)の後継として新設。電話0136-44-2224。メール・フォーム未確認
北海道,町立,羽幌町立北海道天売高等学校,羽幌町,苫前郡羽幌町,http://www.teuri.ed.jp/,teuri-hs@hokkaido-c.ed.jp,,天売島唯一の高校。定時制課程。電話01648-3-5144
