学校名,所在市町村,地域ブロック,公式サイトURL
北海道札幌南高等学校,札幌市,石狩,https://www.sapporominami.hokkaido-c.ed.jp/
北海道札幌北高等学校,札幌市,石狩,https://www.sapporokita.hokkaido-c.ed.jp/
北海道札幌西高等学校,札幌市,石狩,https://www.sapporonishi.hokkaido-c.ed.jp/
北海道札幌東高等学校,札幌市,石狩,https://www.sapporohigashi.hokkaido-c.ed.jp/
北海道札幌一条高等学校,札幌市,石狩,https://www.sapporoichijo.hokkaido-c.ed.jp/
北海道札幌旭丘高等学校,札幌市,石狩,https://www.sapporoasahigaoka.hokkaido-c.ed.jp/
北海道札幌月寒高等学校,札幌市,石狩,https://www.sapporotsukisamu.hokkaido-c.ed.jp/
北海道札幌平岡高等学校,札幌市,石狩,https://www.sapporahiraoka.hokkaido-c.ed.jp/
北海道札幌白石高等学校,札幌市,石狩,https://www.sapporoshiraishi.hokkaido-c.ed.jp/
北海道札幌清田高等学校,札幌市,石狩,https://www.sapporoseita.hokkaido-c.ed.jp/
北海道札幌手稲高等学校,札幌市,石狩,https://www.sapporoteine.hokkaido-c.ed.jp/
北海道札幌東陵高等学校,札幌市,石狩,https://www.sapporotoryou.hokkaido-c.ed.jp/
北海道札幌厚別高等学校,札幌市,石狩,https://www.sapporoatsubetsu.hokkaido-c.ed.jp/
北海道札幌北陵高等学校,札幌市,石狩,https://www.sapporohokuryou.hokkaido-c.ed.jp/
北海道札幌稲雲高等学校,札幌市,石狩,https://www.s-touun-h.hokkaido-c.ed.jp/
北海道札幌英藍高等学校,札幌市,石狩,https://www.sapporoeiran.hokkaido-c.ed.jp/
北海道札幌あすかぜ高等学校,札幌市,石狩,https://www.sapporoasukaze.hokkaido-c.ed.jp/
北海道札幌南陵高等学校,札幌市,石狩,https://www.sapporonanryo.hokkaido-c.ed.jp/
北海道札幌東商業高等学校,札幌市,石狩,https://www.sapporohigashishogyo.hokkaido-c.ed.jp/
北海道札幌工業高等学校,札幌市,石狩,https://www.sakko.hokkaido-c.ed.jp/
北海道札幌琴似工業高等学校,札幌市,石狩,https://www.sapporokotoni.hokkaido-c.ed.jp/
北海道札幌農業高等学校,札幌市,石狩,https://www.sapporonogyo.hokkaido-c.ed.jp/
北海道札幌国際情報高等学校,札幌市,石狩,https://www.sapporokokusaijyoho.hokkaido-c.ed.jp/
北海道有朋高等学校,札幌市,石狩,https://www.yuho.hokkaido-c.ed.jp/
北海道札幌白陵高等学校,札幌市,石狩,https://www.sapporohakuryou.hokkaido-c.ed.jp/
北海道札幌啓成高等学校,恵庭市,石狩,https://www.sapporokeise.hokkaido-c.ed.jp/
北海道札幌丘珠高等学校,札幌市,石狩,https://www.sapporookuya.hokkaido-c.ed.jp/
北海道江別高等学校,江別市,石狩,https://www.ebetsu.hokkaido-c.ed.jp/
北海道野幌高等学校,江別市,石狩,https://www.nopporo.hokkaido-c.ed.jp/
北海道大麻高等学校,江別市,石狩,https://www.ohasa.hokkaido-c.ed.jp/
北海道千歳高等学校,千歳市,石狩,https://www.chitose.hokkaido-c.ed.jp/
北海道千歳北陽高等学校,千歳市,石狩,https://www.chitosehokuyo.hokkaido-c.ed.jp/
北海道恵庭北高等学校,恵庭市,石狩,https://www.eniwa-kita.hokkaido-c.ed.jp/
北海道恵庭南高等学校,恵庭市,石狩,https://www.eniwaminami.hokkaido-c.ed.jp/
北海道北広島高等学校,北広島市,石狩,https://www.kitahiroshima.hokkaido-c.ed.jp/
北海道北広島西高等学校,北広島市,石狩,https://www.kitahiroshimanishi.hokkaido-c.ed.jp/
北海道石狩翔陽高等学校,石狩市,石狩,https://www.ishikarishoyo.hokkaido-c.ed.jp/
北海道石狩南高等学校,石狩市,石狩,https://www.ishikariminami.hokkaido-c.ed.jp/
北海道当別高等学校,石狩郡当別町,石狩,https://www.tobetsu.hokkaido-c.ed.jp/
北海道夕張高等学校,夕張市,空知,https://www.yubari.hokkaido-c.ed.jp/
北海道岩見沢東高等学校,岩見沢市,空知,https://www.iwamizawahigashi.hokkaido-c.ed.jp/
北海道岩見沢西高等学校,岩見沢市,空知,https://www.iwamizawanishi.hokkaido-c.ed.jp/
北海道岩見沢農業高等学校,岩見沢市,空知,https://www.iwamizawanogyo.hokkaido-c.ed.jp/
北海道岩見沢緑陵高等学校,岩見沢市,空知,https://www.iwamizawa-ryokuryo.hokkaido-c.ed.jp/
北海道美唄尚栄高等学校,美唄市,空知,https://www.bibaisyouei.hokkaido-c.ed.jp/
北海道美唄聖華高等学校,美唄市,空知,https://www.bibaiseiKa.hokkaido-c.ed.jp/
北海道芦別高等学校,芦別市,空知,https://www.ashibetsu.hokkaido-c.ed.jp/
北海道赤平高等学校,赤平市,空知,https://www.akabira.hokkaido-c.ed.jp/
北海道三笠高等学校,三笠市,空知,https://www.mikasa.hokkaido-c.ed.jp/
北海道滝川高等学校,滝川市,空知,https://www.takikawa.hokkaido-c.ed.jp/
北海道滝川工業高等学校,滝川市,空知,https://www.takikawa-kogyo.hokkaido-c.ed.jp/
北海道砂川高等学校,砂川市,空知,https://www.sunagawa.hokkaido-c.ed.jp/
北海道歌志内高等学校,歌志内市,空知,https://www.utashinai.hokkaido-c.ed.jp/
北海道深川東高等学校,深川市,空知,https://www.fukagawahigashi.hokkaido-c.ed.jp/
北海道深川西高等学校,深川市,空知,https://www.fukagawanishi.hokkaido-c.ed.jp/
北海道奈井江商業高等学校,空知郡奈井江町,空知,https://www.naieshogyo.hokkaido-c.ed.jp/
北海道月形高等学校,樺戸郡月形町,空知,https://www.tsukigata.hokkaido-c.ed.jp/
北海道新十津川農業高等学校,樺戸郡新十津川町,空知,https://www.shintotsukawanog.hokkaido-c.ed.jp/
北海道妹背牛商業高等学校,雨竜郡妹背牛町,空知,https://www.moseuishogyo.hokkaido-c.ed.jp/
