都道府県,設置区分(私立),学校名,所在市町村,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
北海道,私立,北海高等学校,札幌市豊平区,https://www.hokkai.ed.jp/,,,メール・フォームURL未確認。電話011-841-1161。お問い合わせページをサイト内で要確認
北海道,私立,北海学園札幌高等学校,札幌市豊平区,https://www.hgs.ed.jp/,,,nyushi@hgs.ed.jp は入試係宛の可能性。学校代表窓口は要確認。フォームURL未確認
北海道,私立,北海道科学大学高等学校,札幌市手稲区,https://hs.hus.ac.jp/,,https://hs.hus.ac.jp/form/toiawase/,お問い合わせフォーム経由
北海道,私立,北星学園女子中学高等学校,札幌市中央区,https://www.hokusei-ghs-jh.ed.jp/,,https://www.hokusei-ghs-jh.ed.jp/contact/,お問い合わせフォーム経由
北海道,私立,札幌大谷中学校・高等学校,札幌市東区,https://www.s-ohtani.ed.jp/,,https://www.s-ohtani.ed.jp/contact,お問い合わせフォーム経由。tetsuzuki@s-ohtani.ed.jp は手続き関連窓口の可能性
北海道,私立,札幌第一高等学校,札幌市豊平区,http://www.kibou.ac.jp/daiichi/,,,メール・フォームURL未確認。電話011-851-9361
北海道,私立,札幌静修高等学校,札幌市中央区,https://www.sapporoseishu.ed.jp/,,https://www.sapporoseishu.ed.jp/contact,お問い合わせフォーム経由
北海道,私立,札幌龍谷学園高等学校,札幌市中央区,https://sapporo-ryukoku.ac.jp/,,https://sapporo-ryukoku.ac.jp/contact/,お問い合わせフォーム経由。電話011-631-4386
北海道,私立,札幌日本大学高等学校,札幌市清田区,https://www.sapporonichidai.ed.jp/,,https://www.sapporonichidai.ed.jp/contact/,お問い合わせフォーム経由。nyushi_snuh@sapporonichidai.ed.jp は入試事務局窓口の可能性
北海道,私立,北海道文教大学附属高等学校,恵庭市,https://www.bunkyo.ed.jp/,f2021@bunkyo.ed.jp,,検索結果で確認できた代表メールアドレス。電話0123-25-5570
北海道,私立,札幌山の手高等学校,札幌市西区,https://www.yamanote.ed.jp/,jimu@yamanote.ed.jp,https://www.yamanote.ed.jp/contact,事務室(個人情報保護担当)宛メール確認。電話011-611-7301
北海道,私立,札幌創成高等学校,札幌市豊平区,https://www.sosei.jp/,,https://www.sosei.jp/contact.html,お問い合わせフォーム経由(入試用は別フォームあり)
北海道,私立,立命館慶祥中学校・高等学校,江別市,https://www2.spc.ritsumei.ac.jp/,,http://www.spc.ritsumei.ac.jp/inquiry/,お問い合わせフォーム経由
北海道,私立,札幌光星中学高等学校,札幌市東区,https://www.sapporokosei.ac.jp/,,https://www.sapporokosei.ac.jp/contact/,お問い合わせフォーム経由。電話011-711-7161
北海道,私立,札幌新陽高等学校,札幌市南区,https://sapporoshinyo-h.ed.jp/,,https://sapporoshinyo-h.ed.jp/contact,お問い合わせフォーム経由
北海道,私立,北星学園大学附属高等学校,札幌市厚別区,https://www.hokusei-s-h.ed.jp/,,https://www.hokusei-s-h.ed.jp/contact/,お問い合わせフォーム経由。電話011-897-2881
北海道,私立,北海道栄高等学校,白老郡白老町,https://www.hokkaidosakae.ed.jp/,,,所在地は白老町(学校法人京都育英館運営)。フォームURL未確認
北海道,私立,札幌北斗高等学校,札幌市東区,https://www.sapporohokuto-h.ed.jp/,,https://www.sapporohokuto-h.ed.jp/about/access/,アクセスページにお問い合わせ情報あり。電話011-711-6121
北海道,私立,函館大谷高等学校,函館市,https://www.hakodate-otani-h.ed.jp/,,https://www.hakodate-otani-h.ed.jp/contact/,お問い合わせフォーム経由。電話0138-51-5614
北海道,私立,函館大妻高等学校,函館市,https://www.hakodate-otsuma.ed.jp/,,https://www.hakodate-otsuma.ed.jp/contact/,お問い合わせフォーム経由。電話0138-52-1890
北海道,私立,遺愛女子高等学校,函館市,https://www.iaijoshi-h.ed.jp/,iaigirls@iaijoshi-h.ed.jp,https://www.iaijoshi-h.ed.jp/main/inquiry/index.html,検索結果でメールアドレス確認(直接確認は未完了)
北海道,私立,函館ラ・サール高等学校,函館市,https://www.h-lasalle.ed.jp/,,http://jupiter.xsrv.jp/h-lasalle/contact.php,お問い合わせフォーム経由。電話0138-52-0365
北海道,私立,小樽双葉高等学校,小樽市,https://www.r-futaba.ed.jp/,,https://www.r-futaba.ed.jp/inquiry/,お問い合わせフォーム経由。電話0134-32-1828
北海道,私立,北照高等学校,小樽市,https://www.hokusho.ed.jp/,,https://www.hokusho.ed.jp/contact/,お問い合わせフォーム経由。電話0134-32-0331
北海道,私立,駒澤大学附属苫小牧高等学校,苫小牧市,https://www.komazawa-uth.ed.jp/,,https://www.komazawa-uth.ed.jp/inquiry/,お問い合わせフォーム経由。電話0144-32-6291
北海道,私立,苫小牧中央高等学校,苫小牧市,https://haragakuen.ac.jp/,,https://haragakuen.ac.jp/contact/,お問い合わせフォーム経由。電話0144-74-4300
北海道,私立,クラーク記念国際高等学校(北海道深川キャンパス・本校),深川市,https://www.clark.ed.jp/campus/hokkaido-fukagawa/,,https://www.clark.ed.jp/contact/,本校は深川市納内町(旧拓殖大学北海道短期大学跡地)。フリーダイヤル0120-833-350
北海道,私立,函館白百合学園中学高等学校,函館市,https://www.hakodate-shirayuri.ed.jp/shirayuri/,,https://www.hakodate-shirayuri.ed.jp/shirayuri/contact,お問い合わせフォーム経由。電話0138-55-6682
北海道,私立,函館大学付属有斗高等学校,函館市,https://www.yuto.ed.jp/,,,メール・フォームURL未確認。電話0138-57-1381(男子校)
北海道,私立,稚内大谷高等学校,稚内市,https://wakkanaiotani-h.jp/,waohtani@plum.ocn.ne.jp,https://wakkanaiotani-h.jp/pages/3/,お問い合わせページにメールアドレス記載確認。電話0162-32-2660
北海道,私立,武修館高等学校,釧路市,https://bushukan.jp/,,https://bushukan.jp/contact/,お問い合わせフォーム経由。電話0154-47-3211
北海道,私立,旭川藤星高等学校,旭川市,https://asahikawa-tosei.jp/,,https://asahikawa-tosei.jp/contact,お問い合わせフォーム経由。電話0166-51-8125
北海道,私立,旭川実業高等学校,旭川市,https://www.asahikawa-jitsugyo.ed.jp/,,https://www.asahikawa-jitsugyo.ed.jp/jimu/contact,お問い合わせフォーム経由。電話0166-51-1246
北海道,私立,旭川大学高等学校,旭川市,https://www.asahikawa-uhs.ed.jp/,,http://www.asahikawa-uhs.ed.jp/contact/,お問い合わせフォーム経由
北海道,私立,旭川龍谷高等学校,旭川市,https://ryukoku.info/ja/,post@ryukoku.info,https://ryukoku.info/ja/etc/inquiry,検索結果でメールアドレス確認(直接確認は未完了)。電話0166-39-2700
北海道,私立,旭川明成高等学校,旭川市,http://www.takarada.ed.jp/meisei/,,http://www.takarada.ed.jp/meisei/form/,お問い合わせフォーム経由。電話0166-51-3220
北海道,私立,とわの森三愛高等学校(酪農学園大学附属),江別市,https://www.san-ai.ed.jp/,,https://www.san-ai.ed.jp/contact.html,お問い合わせフォーム経由
北海道,私立,帯広大谷高等学校,帯広市,https://www.obihiro-ohtani.ed.jp/,office@obihiro-ohtani.ed.jp,https://www.obihiro-ohtani.ed.jp/contact.html,検索結果でメールアドレス確認(直接確認は未完了)。電話0155-33-5811
北海道,私立,東海大学付属札幌高等学校,札幌市南区,https://www.sapporo.tokai.ed.jp/,tokaidaisapporo.jimu@tokai.ac.jp,https://www.sapporo.tokai.ed.jp/contact/,事務室メールアドレスを確認
北海道,私立,札幌聖心女子学院中学高等学校,札幌市南区,https://spr-sacred-heart.ed.jp/,,,2025年3月末閉校。校地・校舎は学校法人北星学園へ譲渡。新規募集なし
