都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
兵庫県,県立,兵庫県立神戸高等学校,神戸市灘区,神戸,https://www.hyogo-c.ed.jp/~kobe-hs/,,,
兵庫県,県立,兵庫県立長田高等学校,神戸市長田区,神戸,https://www.hyogo-c.ed.jp/~nagata-hs/,,,
兵庫県,県立,兵庫県立兵庫高等学校,神戸市兵庫区,神戸,https://dmzcms.hyogo-c.ed.jp/hyogo-hs/NC3/,,,
兵庫県,県立,兵庫県立御影高等学校,神戸市東灘区,神戸,https://www.hyogo-c.ed.jp/~mikage-hs/,,,
兵庫県,県立,兵庫県立星陵高等学校,神戸市須磨区,神戸,https://hyogo-seiryo-hs.edumap.jp/,,,
兵庫県,県立,兵庫県立北須磨高等学校,神戸市須磨区,神戸,https://www.hyogo-c.ed.jp/~kitasuma-hs/,,,
兵庫県,県立,兵庫県立夢野台高等学校,神戸市兵庫区,神戸,https://www.hyogo-c.ed.jp/~yumenodai-hs/,,,
兵庫県,県立,兵庫県立神戸鈴蘭台高等学校,神戸市北区,神戸,https://www.hyogo-c.ed.jp/~kobesuzuran-hs/,,,
兵庫県,県立,兵庫県立神戸甲北高等学校,神戸市北区,神戸,https://www.hyogo-c.ed.jp/~kobeko-hs/,,,
兵庫県,県立,兵庫県立神戸西高等学校,神戸市西区,神戸,https://www.hyogo-c.ed.jp/~kobenishi-hs/,,,
兵庫県,県立,兵庫県立湊川高等学校,神戸市兵庫区,神戸,https://www.hyogo-c.ed.jp/~minatogawa-hs/,,,定時制・単位制
兵庫県,県立,兵庫県立国際高等学校,神戸市灘区,神戸,https://hyogopref-kokusaihs.ed.jp/,,,
兵庫県,県立,兵庫県立芦屋高等学校,芦屋市,神戸,https://www.hyogo-c.ed.jp/~ashiya-hs/,,,
兵庫県,県立,兵庫県立芦屋南高等学校,芦屋市,神戸,https://www.hyogo-c.ed.jp/~ashiyaminami-hs/,,,
兵庫県,市立,神戸市立葺合高等学校,神戸市中央区,神戸,https://www.kobe-c.ed.jp/fki-hs/,,,
兵庫県,市立,神戸市立六甲アイランド高等学校,神戸市東灘区,神戸,https://www.kobe-c.ed.jp/ria-hs/,,,
兵庫県,市立,神戸市立科学技術高等学校,神戸市兵庫区,神戸,https://kagi-hs.kobe-c.ed.jp/,,,
兵庫県,市立,神戸市立神港橘高等学校,神戸市兵庫区,神戸,https://www.kobe-c.ed.jp/skt-hs/,,,
兵庫県,市立,神戸市立須磨翔風高等学校,神戸市須磨区,神戸,https://www.kobe-c.ed.jp/ssf-hs/,,,
兵庫県,市立,神戸市立神戸工科高等学校,神戸市西区,神戸,https://www.kobe-c.ed.jp/kk-hs/,,,
兵庫県,市立,神戸市立摩耶兵庫高等学校,神戸市中央区,神戸,https://www.kobe-c.ed.jp/myh-hs/,,,定時制
兵庫県,市立,神戸市立楠高等学校,神戸市北区,神戸,https://www.kobe-c.ed.jp/kus-hs/,,,定時制
兵庫県,私立,灘高等学校,神戸市東灘区,神戸,https://www.nada.ed.jp/,,,男子校
兵庫県,私立,六甲学院高等学校,神戸市灘区,神戸,https://www.rokkogakuin.ed.jp/,,,男子校
兵庫県,私立,滝川高等学校,神戸市兵庫区,神戸,https://www.takigawa.ed.jp/,,,男子校
兵庫県,私立,甲南女子高等学校,神戸市東灘区,神戸,https://www.konan-jw.ac.jp/highschool/,,,女子校
兵庫県,私立,親和女子高等学校,神戸市灘区,神戸,https://www.shinwa.ac.jp/highschool/,,,女子校
兵庫県,私立,神戸海星女子学院高等学校,神戸市灘区,神戸,https://www.kobe-kaisei.ed.jp/,,,女子校
兵庫県,私立,神戸山手女子高等学校,神戸市中央区,神戸,https://www.kobe-yamate.ed.jp/,,,女子校
兵庫県,私立,神戸常盤女子高等学校,神戸市兵庫区,神戸,https://www.kobe-tokiwa.ed.jp/,,,女子校
兵庫県,私立,須磨学園高等学校,神戸市須磨区,神戸,https://www.suma.ed.jp/,,,
兵庫県,私立,育英高等学校,神戸市中央区,神戸,https://www.ikuei.ac.jp/,,,
兵庫県,私立,神港学園高等学校,神戸市兵庫区,神戸,https://www.shinkogakuen.ed.jp/,,,
兵庫県,私立,啓明学院高等学校,神戸市西区,神戸,https://www.keimei.ed.jp/,,,
兵庫県,私立,滝川第二高等学校,神戸市西区,神戸,https://www.takigawa2.ed.jp/,,,
兵庫県,私立,神戸龍谷高等学校,神戸市兵庫区,神戸,https://www.kobe-ryukoku.ed.jp/,,,
兵庫県,私立,神戸野田高等学校,神戸市兵庫区,神戸,https://www.kobe-noda.ed.jp/,,,
兵庫県,私立,神戸弘陵学園高等学校,神戸市北区,神戸,https://www.kobe-koryo.ed.jp/,,,
兵庫県,私立,神戸星城高等学校,神戸市西区,神戸,https://www.kobeseijo.ed.jp/,,,
兵庫県,私立,神戸国際大学附属高等学校,神戸市東灘区,神戸,https://www.kobe-intl-univ.ac.jp/highschool/,,,
兵庫県,私立,神戸学院大学附属高等学校,神戸市西区,神戸,https://www.kobegakuin-f.ed.jp/,,,
兵庫県,私立,神戸第一高等学校,神戸市西区,神戸,https://www.kobe-daiichi.ed.jp/,,,
兵庫県,私立,神戸村野工業高等学校,神戸市西区,神戸,https://www.murano.ed.jp/,,,
兵庫県,私立,愛徳学園高等学校,神戸市垂水区,神戸,https://www.aitoku.ed.jp/,,,女子校
兵庫県,私立,甲南高等学校,神戸市東灘区,神戸,https://www.konan.ed.jp/highschool/,,,男子校
兵庫県,私立,芦屋学園高等学校,芦屋市,神戸,https://www.ashiyagakuen.ed.jp/,,,
兵庫県,私立,生野学園高等学校,神戸市長田区,神戸,https://www.ikuno-gakuen.ed.jp/,,,
兵庫県,私立,神戸国際中学・高等学校,神戸市中央区,神戸,https://www.kobeinternational.ed.jp/,,,
兵庫県,県立,兵庫県立尼崎高等学校,尼崎市,阪神,https://www.hyogo-c.ed.jp/~amagasaki-hs/,,,
兵庫県,県立,兵庫県立尼崎稲園高等学校,尼崎市,阪神,https://dmzcms.hyogo-c.ed.jp/inazono-hs/NC3/,,,
兵庫県,県立,兵庫県立尼崎小田高等学校,尼崎市,阪神,https://amagasakioda.ed.jp/,,,
兵庫県,県立,兵庫県立尼崎北高等学校,尼崎市,阪神,https://www.hyogo-c.ed.jp/~amagasakikita-hs/,,,
兵庫県,県立,兵庫県立武庫荘総合高等学校,尼崎市,阪神,https://www.hyogo-c.ed.jp/~mukoso-hs/,,,
兵庫県,県立,兵庫県立尼崎工業高等学校,尼崎市,阪神,https://www.hyogo-c.ed.jp/~amakou-hs/,,,
兵庫県,県立,兵庫県立神崎工業高等学校,尼崎市,阪神,https://www.hyogo-c.ed.jp/~kanzakikou-hs/,,,
兵庫県,市立,尼崎市立尼崎双星高等学校,尼崎市,阪神,https://www.amagasaki-hs.ed.jp/,,,2023年4月開校（尼崎市立尼崎高校・小田高校統合）
兵庫県,私立,大阪学院大学高等学校,尼崎市,阪神,https://www.osaka-gakuin.ed.jp/high/,,,
兵庫県,私立,園田学園高等学校,尼崎市,阪神,https://www.sonoda-gakuen.ed.jp/high/,,,女子校
兵庫県,私立,百合学院高等学校,尼崎市,阪神,https://www.yuri.ed.jp/,,,女子校
兵庫県,県立,兵庫県立西宮高等学校,西宮市,阪神,https://www.hyogo-c.ed.jp/~kennishi-hs/,,,
