都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
茨城県,茨城県立,水戸第一高等学校,水戸市,水戸,https://www.mito1-h.ibk.ed.jp/,koho@mito1-h.ibk.ed.jp,,附属中学校併設
茨城県,茨城県立,水戸第二高等学校,水戸市,水戸,https://www.mito2-h.ibk.ed.jp/,koho@mito2-h.ibk.ed.jp,,
茨城県,茨城県立,水戸第三高等学校,水戸市,水戸,https://www.mito3-h.ibk.ed.jp/,koho@mito3-h.ibk.ed.jp,,
茨城県,茨城県立,緑岡高等学校,水戸市,水戸,https://www.midorioka-h.ibk.ed.jp/,koho@midorioka-h.ibk.ed.jp,,
茨城県,茨城県立,水戸桜ノ牧高等学校,水戸市,水戸,https://www.mitosakuranomaki-h.ibk.ed.jp/,koho@mitosakuranomaki-h.ibk.ed.jp,,
茨城県,茨城県立,水戸農業高等学校,水戸市,水戸,https://www.mito-ah.ibk.ed.jp/,koho@mito-ah.ibk.ed.jp,,
茨城県,茨城県立,水戸工業高等学校,水戸市,水戸,https://www.mito-th.ibk.ed.jp/,koho@mito-th.ibk.ed.jp,,
茨城県,茨城県立,水戸商業高等学校,水戸市,水戸,https://www.mito-ch.ibk.ed.jp/,koho@mito-ch.ibk.ed.jp,,
茨城県,茨城県立,水戸桜ノ牧高等学校常北校,城里町,水戸,https://www.johoku-h.ibk.ed.jp/,koho@johoku-h.ibk.ed.jp,,水戸桜ノ牧高分校
茨城県,茨城県立,笠間高等学校,笠間市,県央,https://www.kasama-h.ibk.ed.jp/,koho@kasama-h.ibk.ed.jp,,
茨城県,茨城県立,IT未来高等学校,笠間市,県央,https://www.it-mirai-h.ibk.ed.jp/,koho@it-mirai-h.ibk.ed.jp,,旧友部高校跡地
茨城県,茨城県立,那珂高等学校,那珂市,県央,https://www.naka-h.ibk.ed.jp/,koho@naka-h.ibk.ed.jp,,
茨城県,茨城県立,那珂湊高等学校,ひたちなか市,県央,https://www.nakaminato-h.ibk.ed.jp/,koho@nakaminato-h.ibk.ed.jp,,
茨城県,茨城県立,勝田高等学校,ひたちなか市,県央,https://www.katsuta-h.ibk.ed.jp/,koho@katsuta-h.ibk.ed.jp,,
茨城県,茨城県立,勝田工業高等学校,ひたちなか市,県央,https://www.katsuta-th.ibk.ed.jp/,koho@katsuta-th.ibk.ed.jp,,
茨城県,茨城県立,海洋高等学校,ひたちなか市,県央,https://www.kaiyo-h.ibk.ed.jp/,koho@kaiyo-h.ibk.ed.jp,,
茨城県,茨城県立,茨城東高等学校,東茨城郡茨城町,県央,https://www.ibarakihigashi-h.ibk.ed.jp/,koho@ibarakihigashi-h.ibk.ed.jp,,
茨城県,茨城県立,東海高等学校,那珂郡東海村,県央,https://www.tokai-h.ibk.ed.jp/,koho@tokai-h.ibk.ed.jp,,
茨城県,茨城県立,日立第一高等学校,日立市,県北,https://www.hitachi1-h.ibk.ed.jp/,koho@hitachi1-h.ibk.ed.jp,,
茨城県,茨城県立,日立第二高等学校,日立市,県北,https://www.hitachi2-h.ibk.ed.jp/,koho@hitachi2-h.ibk.ed.jp,,
茨城県,茨城県立,日立工業高等学校,日立市,県北,https://www.hitachi-th.ibk.ed.jp/,koho@hitachi-th.ibk.ed.jp,,
茨城県,茨城県立,日立商業高等学校,日立市,県北,https://www.hitachi-ch.ibk.ed.jp/,koho@hitachi-ch.ibk.ed.jp,,
茨城県,茨城県立,日立北高等学校,日立市,県北,https://www.hitachikita-h.ibk.ed.jp/,koho@hitachikita-h.ibk.ed.jp,,
茨城県,茨城県立,多賀高等学校,日立市,県北,https://www.taga-h.ibk.ed.jp/,koho@taga-h.ibk.ed.jp,,
茨城県,茨城県立,高萩高等学校,高萩市,県北,https://www.takahagi-h.ibk.ed.jp/,koho@takahagi-h.ibk.ed.jp,,定時制のみ
茨城県,茨城県立,高萩清松高等学校,高萩市,県北,https://www.takahagiseisho-h.ibk.ed.jp/,koho@takahagiseisho-h.ibk.ed.jp,,
茨城県,茨城県立,北茨城高等学校,北茨城市,県北,https://www.kitaibaraki-h.ibk.ed.jp/,koho@kitaibaraki-h.ibk.ed.jp,,
茨城県,茨城県立,磯原郷英高等学校,北茨城市,県北,https://www.isoharakyoei-h.ibk.ed.jp/,koho@isoharakyoei-h.ibk.ed.jp,,
茨城県,茨城県立,太田第一高等学校,常陸太田市,県北,https://www.ota1-h.ibk.ed.jp/,koho@ota1-h.ibk.ed.jp,,
茨城県,茨城県立,太田西山高等学校,常陸太田市,県北,https://www.otanishiyama-h.ibk.ed.jp/,koho@otanishiyama-h.ibk.ed.jp,,旧太田第二・佐竹高校統合
