都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
岩手県,県立,岩手県立盛岡第一高等学校,盛岡市,盛岡,https://www2.iwate-ed.jp/mo1-h/,mo1-h@iwate-ed.jp,,
岩手県,県立,岩手県立盛岡第二高等学校,盛岡市,盛岡,https://www2.iwate-ed.jp/mo2-h/,mo2-h@iwate-ed.jp,,
岩手県,県立,岩手県立盛岡第三高等学校,盛岡市,盛岡,https://www2.iwate-ed.jp/mo3-h/,mo3-h@iwate-ed.jp,,
岩手県,県立,岩手県立盛岡第四高等学校,盛岡市,盛岡,https://www2.iwate-ed.jp/mo4-h/,mo4-h@iwate-ed.jp,,
岩手県,県立,岩手県立盛岡北高等学校,盛岡市,盛岡,https://www2.iwate-ed.jp/mon-h/,mon-h@iwate-ed.jp,,
岩手県,県立,岩手県立南昌みらい高等学校,矢巾町,盛岡,https://www2.iwate-ed.jp/mos-h/,mos-h@iwate-ed.jp,,2025年4月盛岡南・不来方が統合
岩手県,県立,岩手県立杜陵高等学校,盛岡市,盛岡,https://www2.iwate-ed.jp/tor-h/,tor-h@iwate-ed.jp,,定時制・通信制
岩手県,県立,岩手県立盛岡農業高等学校,滝沢市,盛岡,https://www2.iwate-ed.jp/moa-h/,moa-h@iwate-ed.jp,,
岩手県,県立,岩手県立盛岡工業高等学校,盛岡市,盛岡,https://www2.iwate-ed.jp/mot-h/,mot-h@iwate-ed.jp,,
岩手県,県立,岩手県立盛岡商業高等学校,盛岡市,盛岡,https://www2.iwate-ed.jp/moc-h/,moc-h@iwate-ed.jp,,
岩手県,県立,岩手県立沼宮内高等学校,岩手町,盛岡,https://www2.iwate-ed.jp/nkn-h/,nkn-h@iwate-ed.jp,,
岩手県,県立,岩手県立葛巻高等学校,葛巻町,盛岡,https://www2.iwate-ed.jp/kuz-h/,kuz-h@iwate-ed.jp,,
岩手県,県立,岩手県立平舘高等学校,八幡平市,盛岡,https://www2.iwate-ed.jp/tar-h/,tar-h@iwate-ed.jp,,
岩手県,県立,岩手県立雫石高等学校,雫石町,盛岡,https://www2.iwate-ed.jp/shz-h/,shz-h@iwate-ed.jp,,
岩手県,県立,岩手県立紫波総合高等学校,紫波町,盛岡,https://www2.iwate-ed.jp/shw-h/,shw-h@iwate-ed.jp,,
岩手県,県立,岩手県立花巻北高等学校,花巻市,岩手中部,https://www2.iwate-ed.jp/hkn-h/,hkn-h@iwate-ed.jp,,
岩手県,県立,岩手県立花巻南高等学校,花巻市,岩手中部,https://www2.iwate-ed.jp/hks-h/,hks-h@iwate-ed.jp,,
岩手県,県立,岩手県立花巻農業高等学校,花巻市,岩手中部,https://www2.iwate-ed.jp/hka-h/,hka-h@iwate-ed.jp,,
岩手県,県立,岩手県立花北青雲高等学校,花巻市,岩手中部,https://www2.iwate-ed.jp/hkb-h/,hkb-h@iwate-ed.jp,,
岩手県,県立,岩手県立大迫高等学校,花巻市,岩手中部,https://www2.iwate-ed.jp/ooh-h/,ooh-h@iwate-ed.jp,,
岩手県,県立,岩手県立遠野高等学校,遠野市,岩手中部,https://www2.iwate-ed.jp/ton-h/,ton-h@iwate-ed.jp,,
岩手県,県立,岩手県立遠野緑峰高等学校,遠野市,岩手中部,https://www2.iwate-ed.jp/ryo-h/,ryo-h@iwate-ed.jp,,2029年廃止予定
岩手県,県立,岩手県立黒沢尻北高等学校,北上市,岩手中部,https://www2.iwate-ed.jp/ksn-h/,ksn-h@iwate-ed.jp,,
岩手県,県立,岩手県立黒沢尻工業高等学校,北上市,岩手中部,https://www2.iwate-ed.jp/kst-h/,kst-h@iwate-ed.jp,,
岩手県,県立,岩手県立北上翔南高等学校,北上市,岩手中部,https://www2.iwate-ed.jp/kss-h/,kss-h@iwate-ed.jp,,
岩手県,県立,岩手県立西和賀高等学校,西和賀町,岩手中部,https://www2.iwate-ed.jp/nwg-h/,nwg-h@iwate-ed.jp,,
岩手県,県立,岩手県立水沢高等学校,奥州市,胆江,https://www2.iwate-ed.jp/msw-h/,msw-h@iwate-ed.jp,,
岩手県,県立,岩手県立水沢工業高等学校,奥州市,胆江,https://www2.iwate-ed.jp/mst-h/,mst-h@iwate-ed.jp,,
岩手県,県立,岩手県立水沢農業高等学校,奥州市,胆江,https://www2.iwate-ed.jp/msa-h/,msa-h@iwate-ed.jp,,
岩手県,県立,岩手県立岩谷堂高等学校,奥州市,胆江,https://www2.iwate-ed.jp/iyd-h/,iyd-h@iwate-ed.jp,,
