都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
香川県,県立,香川県立高松高等学校,高松市,高松,https://www.kagawa-edu.jp/takah02/,takah01@kagawa-edu.jp,,全日制・定時制・通信制
香川県,県立,香川県立高松東高等学校,高松市,高松,https://www.kagawa-edu.jp/teasth02/,teasth01@kagawa-edu.jp,,
香川県,県立,香川県立高松南高等学校,高松市,高松,https://www.kagawa-edu.jp/minamh02/,minamh01@kagawa-edu.jp,,
香川県,県立,香川県立高松西高等学校,高松市,高松,https://www.kagawa-edu.jp/twesth01/,,,
香川県,県立,香川県立高松北高等学校,高松市,高松,https://www.kagawa-edu.jp/kitah02/,,,
香川県,県立,香川県立高松工芸高等学校,高松市,高松,https://www.kagawa-edu.jp/kogeih02/,,,
香川県,県立,香川県立高松商業高等学校,高松市,高松,https://www.kagawa-edu.jp/takash01/home/,,,
香川県,県立,香川県立高松桜井高等学校,高松市,高松,https://www.kagawa-edu.jp/sakrah01/,,,
香川県,県立,香川県立香川中央高等学校,高松市,高松,https://www.kagawa-edu.jp/kgchuh02/,,,旧香川町（高松市香川町）
香川県,県立,香川県立農業経営高等学校,綾歌郡綾川町,高松,https://www.kagawa-edu.jp/nokeih01/,,,
香川県,市立,高松第一高等学校,高松市,高松,http://www.taka-ichi-h.ed.jp/,ichiko1@taka-ichi-h.ed.jp,,県内唯一の市立高校
香川県,県立,香川県立三本松高等学校,東かがわ市,東部,https://www.kagawa-edu.jp/sankoh01/,,,
香川県,県立,香川県立志度高等学校,さぬき市,東部,https://www.kagawa-edu.jp/shidoh02/,shidoh01@kagawa-edu.jp,,
香川県,県立,香川県立津田高等学校,さぬき市,東部,https://www.kagawa-edu.jp/tsudah02/,,,
香川県,県立,香川県立石田高等学校,さぬき市,東部,https://www.kagawa-edu.jp/isidah02/,isidah01@kagawa-edu.jp,,
香川県,県立,香川県立小豆島中央高等学校,小豆島町,東部,https://www.kagawa-edu.jp/syochuh02/,syochuh01@kagawa-edu.jp,,小豆島
香川県,県立,香川県立丸亀高等学校,丸亀市,中部,https://www.kagawa-edu.jp/marukh02/,,,全日制・通信制
香川県,県立,香川県立丸亀城西高等学校,丸亀市,中部,https://www.kagawa-edu.jp/mjh01/,,,
香川県,県立,香川県立飯山高等学校,丸亀市,中部,https://www.kagawa-edu.jp/hanznh02/,hanznh01@kagawa-edu.jp,,
香川県,県立,香川県立坂出高等学校,坂出市,中部,https://www.kagawa-edu.jp/sakadh02/,,,
香川県,県立,香川県立坂出工業高等学校,坂出市,中部,https://www.kagawa-edu.jp/sakakh02/connect/,,,
香川県,県立,香川県立坂出商業高等学校,坂出市,中部,https://www.kagawa-edu.jp/sakash02/,,,
香川県,県立,香川県立善通寺第一高等学校,善通寺市,中部,https://www.kagawa-edu.jp/zen1h02/,zen1h01@kagawa-edu.jp,,
香川県,県立,香川県立琴平高等学校,仲多度郡琴平町,中部,https://www.kagawa-edu.jp/kohtoh01/,kohtoh02@kagawa-edu.jp,,
香川県,県立,香川県立多度津高等学校,仲多度郡多度津町,中部,https://www.kagawa-edu.jp/takouh01/,,,
香川県,県立,香川県立観音寺第一高等学校,観音寺市,西部,https://www.kagawa-edu.jp/kanich02/,,https://www.kagawa-edu.jp/kanich02/contact,
香川県,県立,香川県立観音寺総合高等学校,観音寺市,西部,https://www.kagawa-edu.jp/kansouh01/,,,
香川県,県立,香川県立高瀬高等学校,三豊市,西部,https://www.kagawa-edu.jp/tkseh02/,,https://www.kagawa-edu.jp/tkseh02/inquiry,メール非公開
香川県,県立,香川県立笠田高等学校,三豊市,西部,https://www.kagawa-edu.jp/kasadh02/,,,
香川県,私立,英明高等学校,高松市,高松,https://www.eimei.ed.jp/,eimei@eimei.ed.jp,,
香川県,私立,高松中央高等学校,高松市,高松,https://www.ta-chuo.ed.jp/,,https://www.ta-chuo.ed.jp/contact/,
香川県,私立,大手前高松高等学校,高松市,高松,https://www.otemae.net/,webmaster@otemaetk.com,,倉田学園
香川県,私立,香川誠陵高等学校,高松市,高松,https://k-seiryo.ed.jp/,,,
香川県,私立,藤井学園寒川高等学校,さぬき市,東部,https://www.sangawa.ed.jp/,sangawa1@sangawa.ed.jp,,
香川県,私立,坂出第一高等学校,坂出市,中部,https://www.sakaide1-h.ed.jp/,mail@sakaide1-h.ed.jp,,
香川県,私立,大手前丸亀高等学校,丸亀市,中部,https://www.otemae.ed.jp/,,https://www.otemae.ed.jp/contact_form/otoiawase.html,
香川県,私立,香川県藤井高等学校,丸亀市,中部,https://www.fujii.ed.jp/fujii/,,,学校法人藤井学園
香川県,私立,尽誠学園高等学校,善通寺市,中部,https://jinsei.ed.jp/,,,
香川県,私立,四国学院大学香川西高等学校,三豊市,西部,https://www.kagawanishikou.com/,mail@kagawanishikou.com,,https://www.kagawanishikou.com/contact
