都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
鹿児島県,県立,鹿児島県立鶴丸高等学校,鹿児島市,鹿児島,https://tsurumaru.edu.pref.kagoshima.jp/,,,薬師2丁目1-1
鹿児島県,県立,鹿児島県立甲南高等学校,鹿児島市,鹿児島,http://konan.edu.pref.kagoshima.jp/,,,上之園町23-1
鹿児島県,県立,鹿児島県立鹿児島中央高等学校,鹿児島市,鹿児島,https://chuo.edu.pref.kagoshima.jp/,,,加治屋町10-1
鹿児島県,県立,鹿児島県立武岡台高等学校,鹿児島市,鹿児島,http://www.edu.pref.kagoshima.jp/sh/takeoka/,,,小野町3175
鹿児島県,県立,鹿児島県立明桜館高等学校,鹿児島市,鹿児島,http://www.edu.pref.kagoshima.jp/sh/meiokan/,,,郡山町100
鹿児島県,県立,鹿児島県立松陽高等学校,鹿児島市,鹿児島,http://www.edu.pref.kagoshima.jp/sh/shoyo/,,,福山町573
鹿児島県,県立,鹿児島県立鹿児島東高等学校,鹿児島市,鹿児島,https://higashi.edu.pref.kagoshima.jp/,,,東坂元3丁目28-1
鹿児島県,県立,鹿児島県立鹿児島工業高等学校,鹿児島市,鹿児島,http://kagoshima-t.edu.pref.kagoshima.jp/,,,草牟田2丁目57-1
鹿児島県,県立,鹿児島県立鹿児島南高等学校,鹿児島市,鹿児島,https://www.edu.pref.kagoshima.jp/sh/minami/,,,谷山中央8丁目4-1
鹿児島県,県立,鹿児島県立開陽高等学校,鹿児島市,鹿児島,http://www.edu.pref.kagoshima.jp/sh/kaiyo/,,,西谷山1丁目2-1
鹿児島県,県立,鹿児島県立錦江湾高等学校,鹿児島市,鹿児島,http://www.edu.pref.kagoshima.jp/sh/kinkowan/,,,平川町
鹿児島県,県立,鹿児島県立鹿児島農業高等学校,鹿児島市,鹿児島,http://www.edu.pref.kagoshima.jp/sh/kagoshima-a/,,,七ツ島2丁目
鹿児島県,市立,鹿児島市立鹿児島玉龍高等学校,鹿児島市,鹿児島,https://www.keinet.com/gyokuk/,,,池之上町20-57
鹿児島県,市立,鹿児島市立鹿児島商業高等学校,鹿児島市,鹿児島,http://www.city.kagoshima.lg.jp/kyoiku/kyoiku/gakumu/shisetsu/sho-chu-ko/,,,西坂元町58-1
鹿児島県,私立,ラ・サール高等学校,鹿児島市,鹿児島,https://www.lasalle.ed.jp/,,,小松原2丁目10-1
鹿児島県,私立,鹿児島高等学校,鹿児島市,鹿児島,https://www.kagoshima-h.ed.jp/,,https://www.kagoshima-h.ed.jp/information/,薬師1丁目21-9
鹿児島県,私立,樟南高等学校,鹿児島市,鹿児島,https://www.shonan-h.ac.jp/,,,東谷山3丁目
鹿児島県,私立,鹿児島実業高等学校,鹿児島市,鹿児島,http://www.k-jitsugyou.ed.jp/,,,下荒田4丁目
鹿児島県,私立,志學館高等部,鹿児島市,鹿児島,https://www.shigakukan.ed.jp/,,,唐湊4丁目
鹿児島県,私立,鹿児島情報高等学校,鹿児島市,鹿児島,https://ka-joho.jp/,,https://ka-joho.jp/contactus/,谷山中央2丁目4118
鹿児島県,私立,鹿児島純心女子高等学校,鹿児島市,鹿児島,http://www.k-junshin.ed.jp/,,,薬師1丁目
鹿児島県,私立,鹿児島城西高等学校,日置市,鹿児島,http://www.kjojo.ed.jp/,,,日置市伊集院町
鹿児島県,私立,鹿児島育英館高等学校,日置市,鹿児島,https://ikueikan.ed.jp/,,,日置市東市来町
鹿児島県,県立,鹿児島県立伊集院高等学校,日置市,南薩,https://www.edu.pref.kagoshima.jp/sh/ijuin/,,,日置市伊集院町郡1984
鹿児島県,県立,鹿児島県立市来農芸高等学校,いちき串木野市,南薩,https://ichiki.edu.pref.kagoshima.jp/,,,いちき串木野市
鹿児島県,県立,鹿児島県立加世田高等学校,南さつま市,南薩,https://kaseda.edu.pref.kagoshima.jp/,,,南さつま市加世田
鹿児島県,県立,鹿児島県立加世田常潤高等学校,南さつま市,南薩,http://www.edu.pref.kagoshima.jp/sh/kasedajojun/,,,南さつま市加世田
鹿児島県,県立,鹿児島県立薩南工業高等学校,南九州市,南薩,https://satsunan.edu.pref.kagoshima.jp/,,,南九州市知覧町郡5232
鹿児島県,県立,鹿児島県立川辺高等学校,南九州市,南薩,https://kawanabe.edu.pref.kagoshima.jp/,,,南九州市川辺町
鹿児島県,県立,鹿児島県立指宿高等学校,指宿市,南薩,https://www.edu.pref.kagoshima.jp/sh/ibusuki/,,,指宿市十町236
鹿児島県,市立,指宿市立指宿商業高等学校,指宿市,南薩,http://www12.synapse.ne.jp/ibusyo/,,,指宿市岩本2747
鹿児島県,私立,鳳凰高等学校,南さつま市,南薩,https://houou.ed.jp/,,,南さつま市加世田
鹿児島県,県立,鹿児島県立川内高等学校,薩摩川内市,北薩,https://sendai.edu.pref.kagoshima.jp/,,,薩摩川内市御陵下町6-3
鹿児島県,県立,鹿児島県立川内商工高等学校,薩摩川内市,北薩,https://sendai-c-t.edu.pref.kagoshima.jp/,,,薩摩川内市
鹿児島県,県立,鹿児島県立川薩清修館高等学校,薩摩川内市,北薩,http://www.edu.pref.kagoshima.jp/sh/sensatsu/,,,薩摩川内市入来町副田5961
鹿児島県,県立,鹿児島県立薩摩中央高等学校,さつま町,北薩,https://sachuo.edu.pref.kagoshima.jp/,,,薩摩郡さつま町虎居1900
鹿児島県,県立,鹿児島県立出水高等学校,出水市,北薩,http://www.edu.pref.kagoshima.jp/sh/izumi/,,,出水市
鹿児島県,県立,鹿児島県立出水工業高等学校,出水市,北薩,http://www.edu.pref.kagoshima.jp/sh/izumi-k/,,,出水市西出水町
鹿児島県,県立,鹿児島県立野田女子高等学校,出水市,北薩,https://www.edu.pref.kagoshima.jp/sh/noda/,,,出水市野田町
鹿児島県,県立,鹿児島県立鶴翔高等学校,阿久根市,北薩,https://kakusho.edu.pref.kagoshima.jp/,,,阿久根市赤瀬川1800
鹿児島県,私立,出水中央高等学校,出水市,北薩,https://izumi.ac.jp/,,,出水市西出水町
鹿児島県,私立,れいめい高等学校,薩摩川内市,北薩,https://reimei.ed.jp/,,,薩摩川内市
鹿児島県,県立,鹿児島県立大口高等学校,伊佐市,姶良,http://www.edu.pref.kagoshima.jp/sh/okuchi/,,,伊佐市大口
鹿児島県,県立,鹿児島県立伊佐農林高等学校,伊佐市,姶良,https://isa.edu.pref.kagoshima.jp/,,,伊佐市大口
鹿児島県,県立,鹿児島県立菱刈高等学校,伊佐市,姶良,http://www.edu.pref.kagoshima.jp/sh/hishikari/,,,伊佐市菱刈
鹿児島県,県立,鹿児島県立国分高等学校,霧島市,姶良,https://kokubu.edu.pref.kagoshima.jp/,,,霧島市国分中央2-8-1
鹿児島県,県立,鹿児島県立加治木高等学校,姶良市,姶良,http://www.edu.pref.kagoshima.jp/sh/kajiki/,,,姶良市加治木町仮屋町211
鹿児島県,県立,鹿児島県立加治木工業高等学校,姶良市,姶良,https://kajiki-t.edu.pref.kagoshima.jp/,,,姶良市加治木町新富町
鹿児島県,県立,鹿児島県立蒲生高等学校,姶良市,姶良,http://www.edu.pref.kagoshima.jp/sh/kamo/,,,姶良市蒲生町下久徳
鹿児島県,県立,鹿児島県立霧島高等学校,霧島市,姶良,http://www.edu.pref.kagoshima.jp/sh/kirishima/,,,霧島市牧園町
鹿児島県,県立,鹿児島県立福山高等学校,霧島市,姶良,http://www.edu.pref.kagoshima.jp/sh/fukuyama/,,,霧島市福山町
鹿児島県,県立,鹿児島県立隼人工業高等学校,霧島市,姶良,http://www.edu.pref.kagoshima.jp/sh/hayato/,,,霧島市隼人町内山田
鹿児島県,市立,霧島市立国分中央高等学校,霧島市,姶良,https://www.mct.ne.jp/users/kokubu-chuo/,,,霧島市国分中央1-10-1
鹿児島県,私立,大口明光学園高等学校,伊佐市,姶良,http://www.omg.ed.jp/,,,伊佐市大口
鹿児島県,私立,鹿児島第一高等学校,霧島市,姶良,http://www.k-dai1.ed.jp/,,,霧島市国分
鹿児島県,私立,龍桜高等学校,姶良市,姶良,https://ryuo.ed.jp/,,,姶良市加治木町木田
鹿児島県,県立,鹿児島県立鹿屋高等学校,鹿屋市,大隅,https://www.edu.pref.kagoshima.jp/sh/kanoya/,,,鹿屋市白崎町
鹿児島県,県立,鹿児島県立鹿屋農業高等学校,鹿屋市,大隅,https://kanoya-a.edu.pref.kagoshima.jp/,,,鹿屋市
鹿児島県,県立,鹿児島県立鹿屋工業高等学校,鹿屋市,大隅,https://kanoya-th.edu.pref.kagoshima.jp/,,,鹿屋市川西町
鹿児島県,県立,鹿児島県立垂水高等学校,垂水市,大隅,https://tarumizu.edu.pref.kagoshima.jp/,,,垂水市
鹿児島県,県立,鹿児島県立曽於高等学校,曽於市,大隅,https://soo.edu.pref.kagoshima.jp/,,,曽於市
鹿児島県,県立,鹿児島県立志布志高等学校,志布志市,大隅,https://www.edu.pref.kagoshima.jp/sh/shibushi/,,,志布志市
鹿児島県,県立,鹿児島県立南大隅高等学校,南大隅町,大隅,https://www.edu.pref.kagoshima.jp/sh/minamiosumi/,,,肝属郡南大隅町川北
鹿児島県,私立,尚志館高等学校,志布志市,大隅,http://www.shoshikan.jp/,,,志布志市
鹿児島県,私立,鹿屋中央高等学校,鹿屋市,大隅,http://www.kanoya-chuo.ed.jp/,,,鹿屋市
鹿児島県,県立,鹿児島県立種子島高等学校,西之表市,熊毛,http://www.edu.pref.kagoshima.jp/sh/tanejima/,,,西之表市
鹿児島県,県立,鹿児島県立種子島中央高等学校,中種子町,熊毛,https://www.edu.pref.kagoshima.jp/sh/tanechuo/,,,熊毛郡中種子町野間
鹿児島県,県立,鹿児島県立屋久島高等学校,屋久島町,熊毛,http://www.edu.pref.kagoshima.jp/sh/yakushima/,,,熊毛郡屋久島町
鹿児島県,私立,屋久島おおぞら高等学校,屋久島町,熊毛,https://okz.ac.jp/,,,熊毛郡屋久島町
鹿児島県,県立,鹿児島県立大島高等学校,奄美市,奄美,https://www.edu.pref.kagoshima.jp/sh/oshima/,,,奄美市名瀬安勝町
鹿児島県,県立,鹿児島県立奄美高等学校,奄美市,奄美,https://amami.edu.pref.kagoshima.jp/,,,奄美市名瀬古田町
鹿児島県,県立,鹿児島県立大島北高等学校,奄美市,奄美,http://www.edu.pref.kagoshima.jp/sh/oshima-kita/,,,奄美市笠利町中金久
鹿児島県,県立,鹿児島県立古仁屋高等学校,瀬戸内町,奄美,https://koniya.edu.pref.kagoshima.jp/,,,大島郡瀬戸内町
鹿児島県,県立,鹿児島県立喜界高等学校,喜界町,奄美,https://www.edu.pref.kagoshima.jp/sh/kikai/,,,大島郡喜界町
鹿児島県,県立,鹿児島県立徳之島高等学校,徳之島町,奄美,http://www.edu.pref.kagoshima.jp/sh/tokunoshima/,,,大島郡徳之島町亀津
鹿児島県,県立,鹿児島県立沖永良部高等学校,知名町,奄美,http://www.edu.pref.kagoshima.jp/sh/okierabu/,,,大島郡知名町余多
鹿児島県,県立,鹿児島県立与論高等学校,与論町,奄美,http://www.edu.pref.kagoshima.jp/sh/yoron/,,,大島郡与論町茶花
鹿児島県,私立,樟南第二高等学校,徳之島町,奄美,http://www.shonan2.jp/,,,大島郡徳之島町
