都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
神奈川県,神奈川県立,横浜翠嵐高等学校,横浜市神奈川区,横浜,https://www.pen-kanagawa.ed.jp/y-suiran-h/,,,
神奈川県,神奈川県立,横浜平沼高等学校,横浜市西区,横浜,https://www.pen-kanagawa.ed.jp/y-hiranuma-h/,,,
神奈川県,神奈川県立,横浜国際高等学校,横浜市南区,横浜,https://www.pen-kanagawa.ed.jp/yokohamakokusai-h/,,,
神奈川県,神奈川県立,横浜立野高等学校,横浜市中区,横浜,https://www.pen-kanagawa.ed.jp/yokohama-tateno-h/,,,
神奈川県,神奈川県立,横浜清陵高等学校,横浜市南区,横浜,https://www.pen-kanagawa.ed.jp/yokohamaseiry-h/,,,
神奈川県,神奈川県立,光陵高等学校,横浜市保土ケ谷区,横浜,https://www.pen-kanagawa.ed.jp/koryou-h/,,,
神奈川県,神奈川県立,神奈川工業高等学校,横浜市神奈川区,横浜,https://www.pen-kanagawa.ed.jp/kanagawa-th/,,,
神奈川県,神奈川県立,商工高等学校,横浜市鶴見区,横浜,https://www.pen-kanagawa.ed.jp/shoko-h/,,,
神奈川県,神奈川県立,神奈川総合高等学校,横浜市神奈川区,横浜,https://www.pen-kanagawa.ed.jp/kanagawasohgoh-h/,,https://www.pen-kanagawa.ed.jp/kanagawasohgoh-h/contact.html,
神奈川県,神奈川県立,城郷高等学校,横浜市神奈川区,横浜,https://www.pen-kanagawa.ed.jp/jyoko-h/,,,
神奈川県,神奈川県立,鶴見総合高等学校,横浜市鶴見区,横浜,https://www.pen-kanagawa.ed.jp/tsurumisogo-h/,,,
神奈川県,神奈川県立,保土ケ谷高等学校,横浜市保土ケ谷区,横浜,https://www.pen-kanagawa.ed.jp/hodogaya-h/,,,
神奈川県,神奈川県立,旭高等学校,横浜市旭区,横浜,https://www.pen-kanagawa.ed.jp/asahi-h/,,,
神奈川県,神奈川県立,希望ヶ丘高等学校,横浜市旭区,横浜,https://www.pen-kanagawa.ed.jp/kibogaoka-h/,,,
神奈川県,神奈川県立,二俣川看護福祉高等学校,横浜市旭区,横浜,https://www.pen-kanagawa.ed.jp/futamatagawa-h/,,,
神奈川県,神奈川県立,横浜旭陵高等学校,横浜市旭区,横浜,https://www.pen-kanagawa.ed.jp/yokohamakyoryo-h/,,,
神奈川県,神奈川県立,松陽高等学校,横浜市戸塚区,横浜,https://www.pen-kanagawa.ed.jp/shoyo-h/,,,
神奈川県,神奈川県立,横浜桜陽高等学校,横浜市戸塚区,横浜,https://www.pen-kanagawa.ed.jp/yokohamaohyo-h/,,,
神奈川県,神奈川県立,舞岡高等学校,横浜市戸塚区,横浜,https://www.pen-kanagawa.ed.jp/maioka-h/,,,
神奈川県,神奈川県立,永谷高等学校,横浜市港南区,横浜,https://www.pen-kanagawa.ed.jp/nagaya-h/,,,
神奈川県,神奈川県立,横浜南陵高等学校,横浜市港南区,横浜,https://www.pen-kanagawa.ed.jp/yokohamanamryo-h/,,,
