都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
高知県,県立,高知県立高知追手前高等学校,高知市,高知,https://tokeidai.jpn.org/,otemaehs@g.kochinet.ed.jp,,
高知県,県立,高知県立高知小津高等学校,高知市,高知,https://www.kochinet.ed.jp/ozu-h/,,,メールアドレス未確認
高知県,県立,高知県立高知丸の内高等学校,高知市,高知,https://kmarunouchi.ed.jp/,,,メールアドレス未確認
高知県,県立,高知県立高知東高等学校,高知市,高知,https://www.kochinet.ed.jp/higashi-h/,higashi-h@g.kochinet.ed.jp,,
高知県,県立,高知県立高知工業高等学校,高知市,高知,https://sites.google.com/g.kochinet.ed.jp/kochikogyo-h/,kochikogyo-h@g.kochinet.ed.jp,,
高知県,県立,高知県立高知春野高等学校,高知市,高知,https://www.kochinet.ed.jp/haruno-h/,haruno-hs@g.kochinet.ed.jp,,令和5年12月メールアドレス変更
高知県,県立,高知県立高知北高等学校,高知市,高知,https://sites.google.com/g.kochinet.ed.jp/kochikitatop/home,320231@ken.pref.kochi.lg.jp,,通信制課程あり
高知県,県立,高知県立高知国際中学校・高等学校,高知市,高知,https://sites.google.com/g.kochinet.ed.jp/kokusai-jh,kokusai-jh@kochinet.ed.jp,,令和3年4月開校・中高一貫
高知県,県立,高知県立高知農業高等学校,南国市,高知,https://www.kochinet.ed.jp/nogyo-h/,nogyo-h@g.kochinet.ed.jp,,
高知県,県立,高知県立高知東工業高等学校,南国市,高知,https://sites.google.com/g.kochinet.ed.jp/khths/,kochihigashikogyo-h@g.kochinet.ed.jp,,
高知県,県立,高知県立岡豊高等学校,南国市,高知,https://sites.google.com/g.kochinet.ed.jp/oko-hs,320141@g.kochinet.ed.jp,,
高知県,県立,高知県立高知追手前高等学校吾北分校,吾川郡いの町,中央,https://www.kochinet.ed.jp/gohoku-h/mt/,,,高知追手前高等学校の分校
高知県,県立,高知県立伊野商業高等学校,吾川郡いの町,中央,https://www.inosho-hs.jp/,inosho-h@kochinet.ed.jp,,
高知県,県立,高知県立高岡高等学校,土佐市,中央,https://www.kochinet.ed.jp/takaoka-h/,,,メールアドレス未確認
高知県,県立,高知県立高知海洋高等学校,須崎市,中央,https://sites.google.com/g.kochinet.ed.jp/kaiyo,320144@ken.pref.kochi.lg.jp,,
高知県,県立,高知県立須崎総合高等学校,須崎市,中央,https://www.kochinet.ed.jp/susakisogo-h/,320148@ken.pref.kochi.lg.jp,,平成31年開校
高知県,県立,高知県立嶺北高等学校,長岡郡本山町,中央,https://www.kochinet.ed.jp/reihoku-h/mt/,reihoku-h@kochinet.ed.jp,,
高知県,県立,高知県立佐川高等学校,高岡郡佐川町,中央,https://sites.google.com/g.kochinet.ed.jp/sakawa-h,320114@ken.pref.kochi.lg.jp,,
高知県,県立,高知県立窪川高等学校,高岡郡四万十町,中央,https://www.kochi-kubokawa.jp/,320118@ken.pref.kochi.lg.jp,,
