都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
熊本県,県立,熊本県立済々黌高等学校,熊本市中央区,熊本,https://seiseiko-hs.ed.jp/,,,
熊本県,県立,熊本県立熊本高等学校,熊本市東区,熊本,https://sh.higo.ed.jp/kumamoto/,kumamoto-h@pref.kumamoto.lg.jp,,
熊本県,県立,熊本県立第一高等学校,熊本市中央区,熊本,https://sh.higo.ed.jp/dai1sh/,daiichi-h@pref.kumamoto.lg.jp,,
熊本県,県立,熊本県立第二高等学校,熊本市東区,熊本,https://kumamoto-d2hs.ed.jp/,,,
熊本県,県立,熊本県立熊本北高等学校,熊本市北区,熊本,https://kumamoto-kitako.ed.jp/,,,
熊本県,県立,熊本県立熊本西高等学校,熊本市西区,熊本,https://sh.higo.ed.jp/kumanishi/,,,
熊本県,県立,熊本県立東稜高等学校,熊本市東区,熊本,https://sh.higo.ed.jp/touryo/,,,
熊本県,県立,熊本県立湧心館高等学校,熊本市中央区,熊本,https://sh.higo.ed.jp/yusinkan/,,,定時制・通信制併設
熊本県,県立,熊本県立熊本工業高等学校,熊本市中央区,熊本,https://sh.higo.ed.jp/kumakoths/,kumamoto-th@pref.kumamoto.lg.jp,,定時制併設
熊本県,県立,熊本県立熊本商業高等学校,熊本市中央区,熊本,https://sh.higo.ed.jp/kumamoto-ch/,,,
熊本県,県立,熊本県立熊本農業高等学校,熊本市南区,熊本,https://sh.higo.ed.jp/kumanou/,,,
熊本県,県立,熊本県立玉名高等学校,玉名市,玉名,https://sh.higo.ed.jp/tamana/,,,
熊本県,県立,熊本県立玉名工業高等学校,玉名市,玉名,https://sh.higo.ed.jp/tamanath/,,,
熊本県,県立,熊本県立岱志高等学校,荒尾市,荒尾,https://sh.higo.ed.jp/taishi/,,,
熊本県,県立,熊本県立北稜高等学校,玉名市,玉名,https://sh.higo.ed.jp/hokuryo/,,,
熊本県,県立,熊本県立鹿本高等学校,山鹿市,菊池,https://sh.higo.ed.jp/kamoto/,kamoto-h@pref.kumamoto.lg.jp,,
熊本県,県立,熊本県立鹿本商工高等学校,山鹿市,菊池,https://sh.higo.ed.jp/kasyoko/,kamoto-cth@pref.kumamoto.lg.jp,,
熊本県,県立,熊本県立菊池高等学校,菊池市,菊池,https://sh.higo.ed.jp/kikuchih/,kikuchi-h@pref.kumamoto.lg.jp,,
熊本県,県立,熊本県立菊池農業高等学校,菊池市,菊池,https://sh.higo.ed.jp/kiku-ag/,,,
熊本県,県立,熊本県立大津高等学校,菊池郡大津町,菊池,https://sh.higo.ed.jp/oozu/,oozu-h@pref.kumamoto.lg.jp,,
熊本県,県立,熊本県立翔陽高等学校,菊池郡菊陽町,菊池,https://sh.higo.ed.jp/shoyo/,,,
熊本県,県立,熊本県立小国高等学校,阿蘇郡小国町,阿蘇,https://sh.higo.ed.jp/ogunish/,oguni-h@pref.kumamoto.lg.jp,,
熊本県,県立,熊本県立阿蘇中央高等学校（阿蘇校舎）,阿蘇市,阿蘇,https://sh.higo.ed.jp/asochuohs/,,,
熊本県,県立,熊本県立阿蘇中央高等学校（清峰校舎）,阿蘇郡南阿蘇村,阿蘇,https://sh.higo.ed.jp/asochuohs/,,,阿蘇中央高等学校の2校舎
熊本県,県立,熊本県立高森高等学校,阿蘇郡高森町,阿蘇,https://sh.higo.ed.jp/takamorish/,takamori-h@pref.kumamoto.lg.jp,,
熊本県,県立,熊本県立宇土高等学校,宇土市,宇城,https://uto-sh.com/,uto-h@pref.kumamoto.lg.jp,,宇土中学校併設
熊本県,県立,熊本県立松橋高等学校,宇城市,宇城,https://sh.higo.ed.jp/matsubasesh/,matsubase-h@pref.kumamoto.lg.jp,,
熊本県,県立,熊本県立御船高等学校,上益城郡御船町,宇城,https://sh.higo.ed.jp/mifunesh/,mifune-h@pref.kumamoto.lg.jp,,
