都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
京都府,府立,京都府立洛北高等学校,京都市左京区,京都市,https://www.kyoto-be.ne.jp/rakuhoku-hs/mt/,rakuhoku-hs@kyoto-be.ne.jp,https://www.kyoto-be.ne.jp/rakuhoku-hs/mt/contact/,附属中学校併設
京都府,府立,京都府立清明高等学校,京都市北区,京都市,https://www.kyoto-be.ne.jp/seimei-hs/cms/,,https://www.kyoto-be.ne.jp/seimei-hs/cms/,令和4年開校
京都府,府立,京都府立鴨沂高等学校,京都市上京区,京都市,https://www.kyoto-be.ne.jp/ohki-hs/mt/,,https://www.kyoto-be.ne.jp/ohki-hs/mt/,
京都府,府立,京都府立北稜高等学校,京都市左京区,京都市,https://www.kyoto-be.ne.jp/hokuryou-hs/mt/,,https://www.kyoto-be.ne.jp/hokuryou-hs/mt/,
京都府,府立,京都府立嵯峨野高等学校,京都市右京区,京都市,https://www.kyoto-be.ne.jp/sagano-hs/mt/,sagano-hs@kyoto-be.ne.jp,https://www.kyoto-be.ne.jp/sagano-hs/mt/contat/contact/,京都こすもす科設置
京都府,府立,京都府立北嵯峨高等学校,京都市右京区,京都市,https://www.kyoto-be.ne.jp/kitasaga-hs/mt/,,https://www.kyoto-be.ne.jp/kitasaga-hs/mt/,
京都府,府立,京都府立山城高等学校,京都市左京区,京都市,https://www.kyoto-be.ne.jp/yamashiro-hs/mt/,yamashiro-hs@kyoto-be.ne.jp,https://www.kyoto-be.ne.jp/yamashiro-hs/mt/contact/,
京都府,府立,京都府立朱雀高等学校,京都市中京区,京都市,https://www.kyoto-be.ne.jp/suzaku-hs/mt/,,https://www.kyoto-be.ne.jp/suzaku-hs/mt/,全日制・定時制（通信制は別校）
京都府,府立,京都府立洛東高等学校,京都市山科区,京都市,https://www.kyoto-be.ne.jp/rakutou-hs/mt/,,https://www.kyoto-be.ne.jp/rakutou-hs/mt/contact/contact/,
京都府,府立,京都府立桃山高等学校,京都市伏見区,京都市,https://www.kyoto-be.ne.jp/momoyama-hs/mt/,,https://www.kyoto-be.ne.jp/momoyama-hs/mt/,全日制・定時制
京都府,府立,京都府立洛水高等学校,京都市伏見区,京都市,https://www.kyoto-be.ne.jp/rakusui-hs/mt/,,https://www.kyoto-be.ne.jp/rakusui-hs/mt/,
京都府,府立,京都府立京都すばる高等学校,京都市伏見区,京都市,https://www.kyoto-be.ne.jp/subaru-hs/mt/,,https://www.kyoto-be.ne.jp/subaru-hs/mt/,商業・情報系専門学科
京都府,府立,京都府立桂高等学校,京都市西京区,京都市,https://www.kyoto-be.ne.jp/katsura-hs/mt/,,https://www.kyoto-be.ne.jp/katsura-hs/mt/,
京都府,府立,京都府立洛西高等学校,京都市西京区,京都市,https://www.kyoto-be.ne.jp/rakusai-hs/mt/,,https://www.kyoto-be.ne.jp/rakusai-hs/mt/,
京都府,府立,京都府立工業高等学校,京都市伏見区,京都市,https://www.kyoto-be.ne.jp/kyoto-ths/,,https://www.kyoto-be.ne.jp/kyoto-ths/access.html,工業系専門学科
京都府,府立,京都府立京都八幡高等学校,八幡市,京都市,https://www.kyoto-be.ne.jp/kyotoyawata-hs/mt/,,https://www.kyoto-be.ne.jp/kyotoyawata-hs/mt/,
京都府,府立,京都府立向陽高等学校,向日市,乙訓,https://www.kyoto-be.ne.jp/kouyou-hs/mt/,,https://www.kyoto-be.ne.jp/kouyou-hs/mt/,
京都府,府立,京都府立乙訓高等学校,長岡京市,乙訓,https://www.kyoto-be.ne.jp/otokuni-hs/cms/,,https://www.kyoto-be.ne.jp/otokuni-hs/cms/,
京都府,府立,京都府立西乙訓高等学校,長岡京市,乙訓,https://www.kyoto-be.ne.jp/nishiotokuni-hs/mt/,,https://www.kyoto-be.ne.jp/nishiotokuni-hs/mt/,
京都府,府立,京都府立城南菱創高等学校,宇治市,山城,https://www.kyoto-be.ne.jp/jonanryoso-hs/mt/,,https://www.kyoto-be.ne.jp/jonanryoso-hs/mt/,平成21年開校（城南・西宇治統合）
京都府,府立,京都府立莵道高等学校,宇治市,山城,https://www.kyoto-be.ne.jp/todou-hs/mt/,,https://www.kyoto-be.ne.jp/todou-hs/mt/,
