都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
三重県,県立,三重県立四日市高等学校,四日市市,北勢,https://www.shiko.ed.jp/,mail@shiko.ed.jp,https://www.shiko.ed.jp/contact.php,
三重県,県立,三重県立四日市西高等学校,四日市市,北勢,https://424hs.jp/,,,
三重県,県立,三重県立四日市南高等学校,四日市市,北勢,https://www.mie-c.ed.jp/hsyokk/,,,
三重県,県立,三重県立四日市工業高等学校,四日市市,北勢,https://www.mie-c.ed.jp/tyokka/,,,
三重県,県立,三重県立四日市中央工業高等学校,四日市市,北勢,https://www.mie-c.ed.jp/tcyokk/,tcyokkad@mxs.mie-c.ed.jp,,
三重県,県立,三重県立四日市農芸高等学校,四日市市,北勢,https://www.mie-c.ed.jp/ayokka/,ayokkaad@mxs.mie-c.ed.jp,,
三重県,県立,三重県立四日市商業高等学校,四日市市,北勢,https://shisho.ed.jp/,,,
三重県,県立,三重県立四日市四郷高等学校,四日市市,北勢,https://sites.google.com/mie-c.ed.jp/yogoh,,,旧URL: http://www.mie-c.ed.jp/hyogo/
三重県,県立,三重県立朝明高等学校,四日市市,北勢,https://www.mie-c.ed.jp/hasake/,,,
三重県,県立,三重県立北星高等学校,四日市市,北勢,http://www.mie-c.ed.jp/hhokus/,,,定時制・通信制
三重県,県立,三重県立桑名高等学校,桑名市,北勢,https://www.kuwana-h.ed.jp/,,,
三重県,県立,三重県立桑名西高等学校,桑名市,北勢,https://kuwananishi.ed.jp/,hwkuwa00@mxs.mie-c.ed.jp,,
三重県,県立,三重県立桑名北高等学校,桑名市,北勢,https://www.mie-c.ed.jp/hnkuwa/,hnkuwaad@mxs.mie-c.ed.jp,,
三重県,県立,三重県立桑名工業高等学校,桑名市,北勢,http://www.mie-c.ed.jp/tkuwan/,,,
三重県,県立,三重県立いなべ総合学園高等学校,いなべ市,北勢,https://inabe-h.ed.jp/,,,
