都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
宮城県,県立,宮城県仙台第一高等学校,仙台市若林区,仙台,https://sendai1.myswan.ed.jp/,sendai1@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県仙台第二高等学校,仙台市青葉区,仙台,https://sen2-h.myswan.ed.jp/,sen2-h@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県仙台第三高等学校,仙台市宮城野区,仙台,https://sensan.myswan.ed.jp/,sensan@od.myswan.ed.jp,,全日制普通科・SSH
宮城県,県立,宮城県仙台二華中学校・高等学校,仙台市若林区,仙台,https://nika.myswan.ed.jp/,nika@od.myswan.ed.jp,,中高一貫
宮城県,県立,宮城県仙台三桜高等学校,仙台市太白区,仙台,https://sen3o-h.myswan.ed.jp/,sen3o-h@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県仙台向山高等学校,仙台市太白区,仙台,https://mukaiyama.myswan.ed.jp/,mukaiyama@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県仙台南高等学校,仙台市太白区,仙台,https://sminami-h.myswan.ed.jp/,sminami-h@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県仙台東高等学校,仙台市若林区,仙台,https://higasi-h.myswan.ed.jp/,higasi-h@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県仙台西高等学校,仙台市青葉区,仙台,https://snishi-h.myswan.ed.jp/,snishi-h@od.myswan.ed.jp,,全日制普通科
宮城県,県立,宮城県宮城第一高等学校,仙台市青葉区,仙台,https://miyaichi.myswan.ed.jp/,miyaichi@od.myswan.ed.jp,,全日制普通科・女子校
宮城県,県立,宮城県宮城野高等学校,仙台市宮城野区,仙台,https://miyagino.myswan.ed.jp/,miyagino@od.myswan.ed.jp,,全日制総合学科
宮城県,県立,宮城県宮城広瀬高等学校,仙台市青葉区,仙台,https://hirose-h.myswan.ed.jp/,hirose-h@od.myswan.ed.jp,,全日制普通科
