都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
宮崎県,県立,宮崎大宮高等学校,宮崎市,宮崎,https://miyazakiohmiya-h.ed.jp/,ohmiya-s@pref.miyazaki.lg.jp,,
宮崎県,県立,宮崎西高等学校,宮崎市,宮崎,https://cms.miyazaki-c.ed.jp/6037/,,,
宮崎県,県立,宮崎南高等学校,宮崎市,宮崎,https://www.miyazaki-c.ed.jp/miyazakiminami-h/,,,
宮崎県,県立,宮崎北高等学校,宮崎市,宮崎,https://cms.miyazaki-c.ed.jp/6040/,,,
宮崎県,県立,宮崎東高等学校,宮崎市,宮崎,https://cms.miyazaki-c.ed.jp/6041/,miyahigashi-h@miyazaki-c.ed.jp,,定時制・通信制・昼間部
宮崎県,県立,宮崎工業高等学校,宮崎市,宮崎,https://www.miyazaki-c.ed.jp/miyazaki-th/,,,
宮崎県,県立,宮崎商業高等学校,宮崎市,宮崎,https://miyasho.ed.jp/,,,
宮崎県,県立,宮崎農業高等学校,宮崎市,宮崎,https://cms.miyazaki-c.ed.jp/6004/,,,
宮崎県,県立,宮崎海洋高等学校,宮崎市,宮崎,https://cms.miyazaki-c.ed.jp/6046hp/,,,
宮崎県,県立,佐土原高等学校,宮崎市,宮崎,https://www.miyazaki-c.ed.jp/sadowara-th/,,https://www.miyazaki-c.ed.jp/sadowara-th/page_access/quest.html,
宮崎県,県立,本庄高等学校,東諸県郡国富町,宮崎,https://cms.miyazaki-c.ed.jp/6006/,,,
宮崎県,県立,高鍋高等学校,児湯郡高鍋町,西都,https://takanabe-hs.ed.jp/,,,
宮崎県,県立,高鍋農業高等学校,児湯郡高鍋町,西都,https://www.takanabe-ah.ed.jp/,,,
宮崎県,県立,妻高等学校,西都市,西都,https://cms.miyazaki-c.ed.jp/6052/,,,
宮崎県,県立,日南高等学校,日南市,日南,https://cms.miyazaki-c.ed.jp/6007/,,,
宮崎県,県立,日南振徳高等学校,日南市,日南,https://cms.miyazaki-c.ed.jp/6051/,,,
宮崎県,県立,福島高等学校,串間市,日南,https://cms.miyazaki-c.ed.jp/6010/,,,
宮崎県,県立,都城泉ヶ丘高等学校,都城市,都城,https://cms.miyazaki-c.ed.jp/6011/,,,附属中学校併設
宮崎県,県立,都城西高等学校,都城市,都城,https://tonishi-h.com/,6015ha@miyazaki-c.ed.jp,,
