都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
長野県,県立,長野県飯山高等学校,飯山市,長野,https://www.nagano-c.ed.jp/iiyama/,,https://www.nagano-c.ed.jp/iiyama/contact.html,
長野県,県立,長野県下高井農林高等学校,下高井郡木島平村,長野,https://www.nagano-c.ed.jp/nourinn/,,,
長野県,県立,長野県北部高等学校,上水内郡飯綱町,長野,https://www.nagano-c.ed.jp/hokubu/,,,
長野県,県立,長野県中野西高等学校,中野市,長野,https://www.nagano-c.ed.jp/inuwashi/,,,
長野県,県立,長野県中野立志館高等学校,中野市,長野,https://www.nagano-c.ed.jp/rishikan/,,,定時制併設
長野県,県立,長野県須坂高等学校,須坂市,長野,https://www.nagano-c.ed.jp/suzaka/,,,
長野県,県立,長野県須坂創成高等学校,須坂市,長野,https://www.nagano-c.ed.jp/suzaka-3/,,https://sosei.ed.jp/,独自サイトあり
長野県,県立,長野県長野高等学校,長野市,長野,https://www.nagano-c.ed.jp/naganohs/,naganohs@m.nagano-c.ed.jp,,
長野県,県立,長野県長野吉田高等学校,長野市,長野,https://www.nagano-c.ed.jp/yoshida/,yoshida@m.nagano-c.ed.jp,https://www.nagano-c.ed.jp/yoshida/contact_us.html,
長野県,県立,長野県長野西高等学校,長野市,長野,https://www.nagano-c.ed.jp/n-nisihs/,,,
長野県,県立,長野県長野東高等学校,長野市,長野,https://www.nagano-c.ed.jp/nghihs/,,,
長野県,県立,長野県長野南高等学校,長野市,長野,https://www.nagano-c.ed.jp/nagano-m/,,,
長野県,県立,長野県長野工業高等学校,長野市,長野,https://www.nagano-c.ed.jp/choko/,,,
長野県,県立,長野県長野商業高等学校,長野市,長野,https://www.nagano-c.ed.jp/chosho/,,,
長野県,県立,長野県篠ノ井高等学校,長野市,長野,https://www.nagano-c.ed.jp/shino-hs/,,,
長野県,県立,長野県松代高等学校,長野市,長野,https://www.nagano-c.ed.jp/matusiro/,,,
長野県,県立,長野県屋代高等学校,千曲市,長野,https://www.nagano-c.ed.jp/yashiro/,yashiro@m.nagano-c.ed.jp,,附属中学校併設
長野県,県立,長野県屋代南高等学校,千曲市,長野,https://www.nagano-c.ed.jp/yanami/,,,
長野県,県立,長野県更級農業高等学校,千曲市,長野,https://www.nagano-c.ed.jp/sarano/,,,
長野県,県立,長野県坂城高等学校,埴科郡坂城町,長野,https://www.nagano-c.ed.jp/sakakihs/,,,
長野県,県立,長野県田川高等学校,長野市,長野,https://www.nagano-c.ed.jp/tagawahs/,,,
長野県,市立,長野市立長野高等学校,長野市,長野,https://ichinaga.ed.jp/,,,旧サイト: https://www.nagano-ngn.ed.jp/ichinagahs/
長野県,県立,長野県上田高等学校,上田市,上田,https://www.nagano-c.ed.jp/ueda-hs/,,,
長野県,県立,長野県上田染谷丘高等学校,上田市,上田,https://www.nagano-c.ed.jp/someyahs/,,,
