都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
長崎県,県立,長崎東中学校・高等学校,長崎市,長崎,https://www.news.ed.jp/higashi-h/,,,中高一貫校（附属中学校併設）
長崎県,県立,長崎西高等学校,長崎市,長崎,https://www.nagasaki-nishi.ed.jp/,,,
長崎県,県立,長崎南高等学校,長崎市,長崎,https://nagasaki-minami.net/,,,
長崎県,県立,長崎北高等学校,長崎市,長崎,https://nagasaki-kita.ed.jp/,,,
長崎県,県立,長崎北陽台高等学校,西彼杵郡長与町,長崎,https://www2.news.ed.jp/section/hokuyoudai-h/,,,
長崎県,県立,長崎鶴洋高等学校,長崎市,長崎,http://www.news.ed.jp/kakuyo-h/,kakuyo-h@news.ed.jp,,水産・総合学科
長崎県,県立,長崎明誠高等学校,長崎市,長崎,https://www.news.ed.jp/meisei-h/,meisei-h@news.ed.jp,,
長崎県,県立,長崎工業高等学校,長崎市,長崎,http://www2.nagasaki-th.ed.jp/,,,
長崎県,県立,佐世保北中学校・高等学校,佐世保市,県北,https://www2.news.ed.jp/section/sasebokita-h/,,,中高一貫校（附属中学校併設）
長崎県,県立,佐世保南高等学校,佐世保市,県北,https://www.news.ed.jp/sasebominami-h/,,,
長崎県,県立,佐世保西高等学校,佐世保市,県北,https://www.news.ed.jp/sasebonishi-h/,,,
長崎県,県立,佐世保工業高等学校,佐世保市,県北,http://www2.news.ed.jp/section/sasebo-th/,,,
長崎県,県立,宇久高等学校,佐世保市,県北,https://www2.news.ed.jp/section/uku-h/,,,佐世保市宇久島
長崎県,県立,猶興館高等学校,平戸市,県北,https://www2.news.ed.jp/section/yukoukan-h/,,,
長崎県,県立,平戸高等学校,平戸市,県北,https://www2.news.ed.jp/section/hirado-h/,,,
長崎県,県立,北松農業高等学校,平戸市,県北,http://www2.news.ed.jp/section/hokusho-ah/,,,田平町
長崎県,県立,松浦高等学校,松浦市,県北,http://www2.news.ed.jp/section/matsuura-h/,,,
