都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
奈良県,県立,奈良県立奈良高等学校,奈良市,奈良,https://nara-hs.e-net.nara.jp/,,, TEL:0742-71-2477
奈良県,県立,奈良県立奈良北高等学校,生駒市,奈良,https://narakita-hs.e-net.nara.jp/,,, TEL:0743-78-3081
奈良県,県立,奈良県立奈良商工高等学校,奈良市,奈良,https://narashoko-hs.e-net.nara.jp/,,, TEL:0742-33-0293。旧・奈良朱雀高等学校（2021年改称）
奈良県,県立,奈良県立奈良南高等学校,吉野郡大淀町（大淀学舎）・吉野郡吉野町（吉野学舎）,南和,https://naraminami-hs.e-net.nara.jp/,,, TEL:0747-52-4171（大淀学舎）。旧・大淀高等学校・吉野高等学校統合
奈良県,県立,奈良県立国際中学校・高等学校,奈良市,奈良,https://kokusai-hs.e-net.nara.jp/,,, TEL:0742-46-0017
奈良県,県立,奈良県立畝傍高等学校,橿原市,中和,https://unebi-hs.e-net.nara.jp/,,, TEL:0744-22-5321
奈良県,県立,奈良県立郡山高等学校,大和郡山市,西和,https://koriyama-hs.e-net.nara.jp/,,, TEL:0743-52-0001
奈良県,県立,奈良県立高田高等学校,大和高田市,中和,https://takada-hs.e-net.nara.jp/,,, TEL:0745-22-0123
奈良県,県立,奈良県立大和広陵高等学校,北葛城郡広陵町,西和,https://yamatokoryo-hs.e-net.nara.jp/,,, TEL:0745-57-0300。旧・広陵高等学校・高田東高等学校統合
奈良県,県立,奈良県立橿原高等学校,橿原市,中和,https://kashihara-hs.e-net.nara.jp/,,, TEL:0744-27-8282
奈良県,県立,奈良県立磯城野高等学校,磯城郡田原本町,中和,https://shikino-hs.e-net.nara.jp/,,, TEL:0744-32-2281。旧・北倭女子高等学校・田原本農業高等学校統合
奈良県,県立,奈良県立桜井高等学校,桜井市,中和,https://sakurai-hs.e-net.nara.jp/,,, TEL:0744-45-2041
奈良県,県立,奈良県立商業高等学校,桜井市,中和,https://shogyo-hs.e-net.nara.jp/,shogyo-h-info@e-net.nara.jp,, TEL:0744-42-4014
奈良県,県立,奈良県立御所実業高等学校,御所市,中和,https://gosejitsugyo-hs.e-net.nara.jp/,,, TEL:0745-62-2085
奈良県,県立,奈良県立五條高等学校,五條市,南和,https://gojo-hs.e-net.nara.jp/,,, TEL:0747-22-4116
奈良県,県立,奈良県立添上高等学校,天理市,奈良,https://www.e-net.nara.jp/hs/soekami/,,, TEL:0743-65-0558。アクセス&mailページあり
奈良県,県立,奈良県立二階堂高等学校,天理市,奈良,https://www.e-net.nara.jp/hs/nikaido/,,, TEL:0743-64-2201
奈良県,県立,奈良県立香芝高等学校,香芝市,西和,https://kashiba-hs.e-net.nara.jp/,,, TEL:0745-76-6772
奈良県,県立,奈良県立西和清陵高等学校,生駒郡三郷町,西和,https://seiwaseiryo-hs.e-net.nara.jp/,,, TEL:0745-72-4101。旧・上牧高等学校・信貴ヶ丘高等学校統合
奈良県,県立,奈良県立王寺工業高等学校,北葛城郡王寺町,西和,https://www.e-net.nara.jp/hs/ojikogyo/,,, TEL:0745-72-4081
奈良県,県立,奈良県立生駒高等学校,生駒市,奈良,https://www.e-net.nara.jp/hs/ikoma/,,, TEL:0743-77-8084
奈良県,県立,奈良県立宇陀高等学校,宇陀市,東和,https://uda-hs.e-net.nara.jp/,,, TEL:0745-82-0525（榛原学舎）。旧・宇陀高等学校・榛生昇陽高等学校統合
奈良県,県立,奈良県立大和中央高等学校,大和郡山市,西和,https://www.e-net.nara.jp/hs/yamato-chuo/,,, TEL:0743-56-2271。定時制
奈良県,県立,奈良県立大学附属高等学校,奈良市,奈良,https://shs.narapu.ac.jp/,fuzoku@narapu.ac.jp,https://shs.narapu.ac.jp/guide/inquiry/, TEL:0742-81-4430。奈良県立大学附属
市立,市立,奈良市立一条高等学校,奈良市,奈良,https://www.ichijo.ed.jp/,,, TEL:0742-33-7075
奈良県,市立,大和高田市立高田商業高等学校,大和高田市,中和,https://takasho.ed.jp/,,, TEL:0745-22-2251
奈良県,市立,五條市立西吉野農業高等学校,五條市,南和,https://gojo-agri.jp/,nishiyoshinonogyo@gojo-nar.ed.jp,https://gojo-agri.jp/inquiry/, TEL:0747-32-0009。定時制（4年制）
国立,国立,奈良女子大学附属中等教育学校,奈良市,奈良,https://nwuss.nara-wu.ac.jp/,,, TEL:0742-26-2571。国立中等教育学校（後期課程が高校相当）
奈良県,私立,東大寺学園高等学校,奈良市,奈良,https://www.tdj.ac.jp/,,, TEL:0742-47-5511
奈良県,私立,帝塚山高等学校,奈良市,奈良,https://www.tezukayama-h.ed.jp/,,https://www.tezukayama-h.ed.jp/contact/, TEL:0742-41-4685
奈良県,私立,育英西高等学校,奈良市,奈良,https://www.ikuei.ed.jp/ikunishi/,,, TEL:0742-47-0688
奈良県,私立,奈良育英高等学校,奈良市,奈良,https://www.ikuei.ed.jp/ikuei-jh/,kouhou@ikuei.ed.jp,https://www.ikuei.ed.jp/ikuei-jh/inq/, TEL:0742-26-2845
奈良県,私立,奈良学園高等学校,奈良市,奈良,https://www.naragakuen.ed.jp/,,, TEL:0742-93-5100（法人代表）
奈良県,私立,奈良学園登美ヶ丘高等学校,奈良市,奈良,https://www.naragakuen.jp/tomigaoka/,,, TEL:0742-93-5111
奈良県,私立,奈良大学附属高等学校,奈良市,奈良,https://www.nara-u-h.ed.jp/,hsonu@nara-u-h.ed.jp,https://www.nara-u-h.ed.jp/form/form_1.html, TEL:0742-41-8840
奈良県,私立,奈良女子高等学校,奈良市,奈良,https://shirafuji.ac.jp/shirafuji_high/,info@shirafuji.ac.jp,, TEL:0742-33-3601
奈良県,私立,奈良文化高等学校,大和高田市,中和,https://www.narabunka.ed.jp/,nrbnk-hs@narabunka.ed.jp,https://www.narabunka.ed.jp/contact/, TEL:0745-22-8315
奈良県,私立,天理高等学校,天理市,奈良,https://www.tenri-h.ed.jp/,,https://www.tenri-h.ed.jp/1bu/contact/, TEL:0743-63-7691（第一部）
奈良県,私立,西大和学園高等学校,北葛城郡河合町,西和,https://www.nishiyamato.ed.jp/,,https://www.nishiyamato.ed.jp/contact/, TEL:0745-73-6565
奈良県,私立,橿原学院高等学校,橿原市,中和,https://www.kashigaku.ed.jp/,,https://www.kashigaku.ed.jp/contact-form.html, TEL:0744-27-3242
奈良県,私立,智辯学園高等学校,五條市,南和,https://www.chiben.ac.jp/gojo/,,, TEL:0747-22-3191
奈良県,私立,智辯学園奈良カレッジ高等部,香芝市,西和,https://www.chiben.ac.jp/naracollege/,,, TEL:0745-79-1111
奈良県,私立,関西中央高等学校,桜井市,中和,https://www.kch.ed.jp/,,, TEL:0745-54-1602（法人総務部）。2024年3月31日休校
