都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
新潟県,県立,新潟高等学校,新潟市中央区,新潟,https://niigata-h.nein.ed.jp/,,,
新潟県,県立,新潟南高等学校,新潟市江南区,新潟,https://niigatami-h.nein.ed.jp/,,,
新潟県,県立,新潟江南高等学校,新潟市江南区,新潟,https://niigatakonan-h.nein.ed.jp/,,,
新潟県,県立,新潟東高等学校,新潟市東区,新潟,https://niigatahi-h.nein.ed.jp/,,,
新潟県,県立,新潟北高等学校,新潟市東区,新潟,https://niigataki-h.nein.ed.jp/,,,
新潟県,県立,新潟中央高等学校,新潟市中央区,新潟,https://niigatachuo-h.nein.ed.jp/,,,
新潟県,県立,新潟商業高等学校,新潟市中央区,新潟,https://niigatas-h.nein.ed.jp/,,,
新潟県,県立,新潟向陽高等学校,新潟市中央区,新潟,https://niigatakoyo-h.nein.ed.jp/,,,
新潟県,県立,新潟工業高等学校,新潟市西区,新潟,https://niigatak-h.nein.ed.jp/,,,
新潟県,県立,新潟翠江高等学校,新潟市西区,新潟,https://niigatasuikou-h.nein.ed.jp/,,,定時制・通信制
新潟県,県立,巻高等学校,新潟市西蒲区,新潟,https://maki-h.nein.ed.jp/,,,
新潟県,県立,白根高等学校,新潟市南区,新潟,https://shirone-h.nein.ed.jp/,,,
新潟県,市立,新潟市立万代高等学校,新潟市中央区,新潟,https://bandai-h.city-niigata.ed.jp/,,,
新潟県,市立,新潟市立明鏡高等学校,新潟市中央区,新潟,https://niigata-meikyo.city-niigata.ed.jp/,,,定時制
新潟県,私立,新潟明訓高等学校,新潟市江南区,新潟,https://www.niigata-meikun.ed.jp/,prs@niigata-meikun.ed.jp,https://www.niigata-meikun.ed.jp/contact/,広報室メール
新潟県,私立,北越高等学校,新潟市中央区,新潟,https://www.hokuetsu.ed.jp/,,,
新潟県,私立,新潟青陵高等学校,新潟市中央区,新潟,https://www.seiryo-high.ed.jp/,,,
