都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
大分県,県立,大分県立大分上野丘高等学校,大分市,大分,https://kou.oita-ed.jp/oitauenogaoka/,a32200@oen.ed.jp,,
大分県,県立,大分県立大分舞鶴高等学校,大分市,大分,https://kou.oita-ed.jp/oitamaizuru/,a32210@oen.ed.jp,,
大分県,県立,大分県立大分雄城台高等学校,大分市,大分,https://kou.oita-ed.jp/oitaoginodai/,a32270@oen.ed.jp,,
大分県,県立,大分県立大分南高等学校,大分市,大分,https://kou.oita-ed.jp/oitaminami/,a32280@oen.ed.jp,,
大分県,県立,大分県立大分豊府高等学校,大分市,大分,https://kou.oita-ed.jp/oitahoufu/,a32290@oen.ed.jp,,
大分県,県立,大分県立大分工業高等学校,大分市,大分,https://kou.oita-ed.jp/oitakougyou/,,,メールアドレス未確認
大分県,県立,大分県立大分商業高等学校,大分市,大分,https://kou.oita-ed.jp/oitasyougyou/,,,メールアドレス未確認
大分県,県立,大分県立芸術緑丘高等学校,大分市,大分,https://kou.oita-ed.jp/midorigaoka/,,,メールアドレス未確認
大分県,県立,大分県立大分西高等学校,大分市,大分,https://kou.oita-ed.jp/oitanisi/,,,メールアドレス未確認
大分県,県立,大分県立爽風館高等学校,大分市,大分,https://kou.oita-ed.jp/sofukan-sanbu/,,,定時制・通信制（sofukan-sanbu/定時制、sofukan-tusin/通信制）
大分県,県立,大分県立大分鶴崎高等学校,大分市,大分,https://kou.oita-ed.jp/oitaturusaki/,a32310@oen.ed.jp,,
大分県,県立,大分県立鶴崎工業高等学校,大分市,大分,https://kou.oita-ed.jp/turusakikougyou/,a32320@oen.ed.jp,,
大分県,県立,大分県立情報科学高等学校,大分市,大分,https://kou.oita-ed.jp/jouhoukagaku/,,,メールアドレス未確認
大分県,県立,大分県立大分東高等学校,大分市,大分,https://kou.oita-ed.jp/oitahigasi/,a32330@oen.ed.jp,,
大分県,県立,大分県立由布高等学校,由布市,大分,https://kou.oita-ed.jp/yufu/,a32370@oen.ed.jp,,
