都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
岡山県,県立,岡山県立岡山朝日高等学校,岡山市中区,岡山,https://www.asahi.okayama-c.ed.jp/,asahi@pref.okayama.jp,,TEL:086-272-1271
岡山県,県立,岡山県立岡山操山高等学校,岡山市中区,岡山,https://www.sozan.okayama-c.ed.jp/,sozan01@pref.okayama.jp,,TEL:086-272-1241 中高一貫・通信制併設
岡山県,県立,岡山県立岡山城東高等学校,岡山市中区,岡山,https://www.joto.okayama-c.ed.jp/,joto@pref.okayama.jp,,TEL:086-279-2005
岡山県,県立,岡山県立岡山芳泉高等学校,岡山市南区,岡山,https://www.hosen.okayama-c.ed.jp/,hosen@pref.okayama.jp,,TEL:086-264-2801
岡山県,県立,岡山県立岡山一宮高等学校,岡山市北区,岡山,https://www.itinomiy.okayama-c.ed.jp/,itinomiy@pref.okayama.jp,,TEL:086-284-2241
岡山県,県立,岡山県立岡山大安寺中等教育学校,岡山市北区,岡山,https://www.daianji-ss.okayama-c.ed.jp/,daianji@pref.okayama.jp,,中等教育学校(後期課程が高校相当) TEL:086-293-2014
岡山県,県立,岡山県立岡山南高等学校,岡山市北区,岡山,https://www.okaminam.okayama-c.ed.jp/,okaminam@pref.okayama.jp,,TEL:086-224-2226
岡山県,県立,岡山県立岡山工業高等学校,岡山市北区,岡山,https://www.okako.okayama-c.ed.jp/,okako@pref.okayama.jp,,TEL:086-252-5231
岡山県,県立,岡山県立岡山東商業高等学校,岡山市中区,岡山,https://www.higasho.okayama-c.ed.jp/,higasho@pref.okayama.jp,,TEL:086-272-1237
岡山県,県立,岡山県立東岡山工業高等学校,岡山市中区,岡山,https://www.toko.okayama-c.ed.jp/wp/,toko@pref.okayama.jp,,TEL:086-279-2007
岡山県,県立,岡山県立岡山御津高等学校,岡山市北区,岡山,https://www.mitsu.okayama-c.ed.jp/,mitsu@pref.okayama.jp,,TEL:086-724-4161
岡山県,県立,岡山県立西大寺高等学校,岡山市東区,岡山,https://www.saidaizi.okayama-c.ed.jp/wordpress/,saidaizi@pref.okayama.jp,,TEL:086-942-0021
岡山県,県立,岡山県立邑久高等学校,瀬戸内市,岡山,https://www.oku.okayama-c.ed.jp/wp/,oku@pref.okayama.jp,,TEL:0869-22-0017
岡山県,県立,岡山県立瀬戸高等学校,岡山市東区,岡山,https://www.seto.okayama-c.ed.jp/,seto@pref.okayama.jp,,TEL:086-952-0047
岡山県,県立,岡山県立興陽高等学校,岡山市南区,岡山,https://www.koyohigh.okayama-c.ed.jp/,koyohigh@pref.okayama.jp,,TEL:086-296-2268
岡山県,県立,岡山県立烏城高等学校,岡山市北区,岡山,https://www.ujo.okayama-c.ed.jp/,ujo@pref.okayama.jp,,定時制(昼・夜間) TEL:086-255-6012
岡山県,市立,岡山市立岡山後楽館中学校・高等学校,岡山市北区,岡山,https://sites.google.com/giga-city-okayama.jp/k-kourakukan,,https://sites.google.com/giga-city-okayama.jp/k-kourakukan,中高一貫 TEL:086-226-7100
岡山県,県立,岡山県立倉敷天城高等学校,倉敷市,備中,https://www.amaki.okayama-c.ed.jp/,amaki@pref.okayama.jp,,TEL:086-428-1251 中高一貫
岡山県,県立,岡山県立倉敷青陵高等学校,倉敷市,備中,https://www.seiryo.okayama-c.ed.jp/wp/,seiryo01@gse.okayama-c.ed.jp,,TEL:086-422-8001
岡山県,県立,岡山県立倉敷南高等学校,倉敷市,備中,https://www.kuramina.okayama-c.ed.jp/,kuramina@pref.okayama.jp,,TEL:086-423-0600
岡山県,県立,岡山県立倉敷古城池高等学校,倉敷市,備中,https://www.kojoike.okayama-c.ed.jp/,kojoike@pref.okayama.jp,,TEL:086-466-2355
岡山県,県立,岡山県立倉敷中央高等学校,倉敷市,備中,https://www.kurachuo.okayama-c.ed.jp/,kurachuo@pref.okayama.jp,,TEL:086-465-2559
岡山県,県立,岡山県立玉島高等学校,倉敷市,備中,https://www.tamasima.okayama-c.ed.jp/,tamasima@pref.okayama.jp,,TEL:086-522-2972
岡山県,県立,岡山県立倉敷鷲羽高等学校,倉敷市,備中,https://www.washu.okayama-c.ed.jp/,washu@pref.okayama.jp,,TEL:086-472-2888
岡山県,県立,岡山県立倉敷工業高等学校,倉敷市,備中,https://www.kurako.okayama-c.ed.jp/,kurako@pref.okayama.jp,,TEL:086-422-7575
岡山県,県立,岡山県立水島工業高等学校,倉敷市,備中,https://www.mizuko.okayama-c.ed.jp/,mizuko@pref.okayama.jp,,TEL:086-465-2504
岡山県,県立,岡山県立倉敷商業高等学校,倉敷市,備中,https://www.kurasho.okayama-c.ed.jp/,kurasho@pref.okayama.jp,,TEL:086-422-5577
岡山県,県立,岡山県立玉島商業高等学校,倉敷市,備中,https://www.tamasho.okayama-c.ed.jp/,tamasho@pref.okayama.jp,,TEL:086-522-3044
岡山県,市立,倉敷市立倉敷翔南高等学校,倉敷市,備中,https://www.kurashiki-oky.ed.jp/kurashiki-shonan-h/,,https://www.kurashiki-oky.ed.jp/kurashiki-shonan-h/,定時制・単位制 TEL:086-473-4240
岡山県,市立,倉敷市立精思高等学校,倉敷市,備中,http://www.kurashiki-oky.ed.jp/seishi-h/index.html,,https://www.kurashiki-oky.ed.jp/seishi-h/,定時制 TEL:086-422-0387
