都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
沖縄県,県立,辺土名高等学校,国頭村,北部,https://www.hentoname-h.open.ed.jp/,xx330019@pref.okinawa.lg.jp,,普通科・全日制
沖縄県,県立,北山高等学校,今帰仁村,北部,https://www.kitayama-h.open.ed.jp/,xx330027@pref.okinawa.lg.jp,,普通科・理数科・全日制
沖縄県,県立,名護高等学校,名護市,北部,https://www.nago-h.open.ed.jp/,xx330043@pref.okinawa.lg.jp,,普通科・全日制
沖縄県,県立,名護商工高等学校,名護市,北部,https://www.nago-th.open.ed.jp/,xx331040@pref.okinawa.lg.jp,,商業・工業・全日制
沖縄県,県立,北部農林高等学校,名護市,北部,https://www.hokubu-ah.open.ed.jp/,xx330418@pref.okinawa.lg.jp,,農業・全日制
沖縄県,県立,本部高等学校,本部町,北部,https://www.motobu-h.open.ed.jp/,xx330035@pref.okinawa.lg.jp,,普通科・全日制
沖縄県,県立,宜野座高等学校,宜野座村,北部,https://www.ginoza-h.open.ed.jp/,xx330051@pref.okinawa.lg.jp,,普通科・全日制
沖縄県,県立,石川高等学校,うるま市,中部,https://www.ishikawa-h.open.ed.jp/,xx330060@pref.okinawa.lg.jp,,普通科・全日制
沖縄県,県立,読谷高等学校,読谷村,中部,https://www.yomitan-h.open.ed.jp/,xx330086@pref.okinawa.lg.jp,,普通科・全日制
沖縄県,県立,嘉手納高等学校,嘉手納町,中部,https://www.kadena-h.open.ed.jp/,xx330299@pref.okinawa.lg.jp,,普通科・全日制
沖縄県,県立,北谷高等学校,北谷町,中部,https://www.chatan-h.open.ed.jp/,xx330205@pref.okinawa.lg.jp,,普通科・全日制
沖縄県,県立,北中城高等学校,北中城村,中部,https://www.kitanaka-h.open.ed.jp/,xx330281@pref.okinawa.lg.jp,,普通科・全日制
沖縄県,県立,中部農林高等学校,北中城村,中部,https://www.chubu-ah.open.ed.jp/,xx330426@pref.okinawa.lg.jp,,農業・全日制
沖縄県,県立,向陽高等学校,中城村,中部,https://www.koyo-h.open.ed.jp/,xx330752@pref.okinawa.lg.jp,,普通・理数・国際文・全日制
沖縄県,県立,宜野湾高等学校,宜野湾市,中部,https://www.ginowan-h.open.ed.jp/,xx330256@pref.okinawa.lg.jp,,普通科・全日制
沖縄県,県立,普天間高等学校,宜野湾市,中部,https://www.futenma-h.open.ed.jp/,xx330108@pref.okinawa.lg.jp,,普通科・全日制
沖縄県,県立,中部商業高等学校,宜野湾市,中部,https://www.chubu-ch.open.ed.jp/,xx330604@pref.okinawa.lg.jp,,商業・全日制
沖縄県,県立,具志川高等学校,うるま市,中部,https://www.gushikawa-h.open.ed.jp/,xx330272@pref.okinawa.lg.jp,,普通科・全日制
沖縄県,県立,具志川商業高等学校,うるま市,中部,https://www.gushikawa-ch.open.ed.jp/,xx330647@pref.okinawa.lg.jp,,商業・全日制
沖縄県,県立,与勝高等学校,うるま市,中部,https://www.yokatsu-h.open.ed.jp/,xx330248@pref.okinawa.lg.jp,,普通科・全日制
