都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
大阪府,国立,大阪教育大学附属池田高等学校,池田市,豊能,https://www.osaka-kyoiku.ac.jp/fuzoku/ikeda-hs/,,,
大阪府,国立,大阪教育大学附属天王寺高等学校,大阪市天王寺区,大阪市内,https://www.osaka-kyoiku.ac.jp/fuzoku/tennoji-hs/,,,
大阪府,国立,大阪教育大学附属平野高等学校,大阪市平野区,大阪市内,https://www.osaka-kyoiku.ac.jp/fuzoku/hirano-hs/,,,
大阪府,府立,大阪府立北野高等学校,大阪市淀川区,大阪市内,https://www2.osaka-c.ed.jp/kitano/,,,文理学科設置
大阪府,府立,大阪府立東淀川高等学校,大阪市東淀川区,大阪市内,https://www3.osaka-c.ed.jp/higashiyodogawa/,,,
大阪府,府立,大阪府立柴島高等学校,大阪市東淀川区,大阪市内,https://www.osaka-c.ed.jp/shijimi/,,,
大阪府,府立,大阪府立淀川清流高等学校,大阪市東淀川区,大阪市内,https://www2.osaka-c.ed.jp/yodogawasei/,,,
大阪府,府立,大阪府立旭高等学校,大阪市旭区,大阪市内,https://www.osaka-c.ed.jp/asahi/,,,
大阪府,府立,大阪府立桜宮高等学校,大阪市都島区,大阪市内,https://www3.osaka-c.ed.jp/sakuranomiya/,,,元大阪市立・2022年府移管
大阪府,府立,大阪府立都島工業高等学校,大阪市都島区,大阪市内,https://www3.osaka-c.ed.jp/miyakojima-t/,,,元大阪市立・2022年府移管
大阪府,府立,大阪府立大手前高等学校,大阪市中央区,大阪市内,https://otemae-hs.ed.jp/,,,文理学科設置
大阪府,府立,大阪府立高津高等学校,大阪市中央区,大阪市内,https://www.osaka-c.ed.jp/kozu/,,,文理学科設置
大阪府,府立,大阪府立東高等学校,大阪市城東区,大阪市内,https://www3.osaka-c.ed.jp/higashi/,,,元大阪市立・2022年府移管
大阪府,府立,大阪府立汎愛高等学校,大阪市城東区,大阪市内,https://www.osaka-c.ed.jp/hanai/,,,元大阪市立・2022年府移管
大阪府,府立,大阪府立いちりつ高等学校,大阪市城東区,大阪市内,https://www3.osaka-c.ed.jp/ichiritsu/,,,元大阪市立・2022年府移管
大阪府,府立,大阪府立大阪ビジネスフロンティア高等学校,大阪市中央区,大阪市内,https://www.osaka-c.ed.jp/obf/,,,元大阪市立・2022年府移管
大阪府,府立,大阪府立鶴見商業高等学校,大阪市鶴見区,大阪市内,https://www.osaka-c.ed.jp/tsurumi-s/,,,元大阪市立・2022年府移管
大阪府,府立,大阪府立鶴見高等学校,大阪市鶴見区,大阪市内,https://www2.osaka-c.ed.jp/tsurumi/,,,
大阪府,府立,大阪府立大塚高等学校,大阪市鶴見区,大阪市内,https://www.otsuka.ed.jp/,,,
大阪府,府立,大阪府立淀商業高等学校,大阪市西淀川区,大阪市内,https://www.osaka-c.ed.jp/yodo-s/,,,元大阪市立・2022年府移管
大阪府,府立,大阪府立淀川工科高等学校,大阪市西淀川区,大阪市内,https://www.osaka-c.ed.jp/yodogawa-t/,,,
大阪府,府立,大阪府立桜和高等学校,大阪市北区,大阪市内,https://www.osaka-c.ed.jp/sakurawa/,,,2022年新設(旧扇町総合・南・西統合)・元大阪市立
大阪府,府立,大阪府立市岡高等学校,大阪市港区,大阪市内,https://www.osaka-c.ed.jp/ichioka/,,,
大阪府,府立,大阪府立港高等学校,大阪市港区,大阪市内,https://www.osaka-c.ed.jp/minato/,,,
大阪府,府立,大阪府立成城高等学校,大阪市城東区,大阪市内,https://www2.osaka-c.ed.jp/seijo-t/,,,
大阪府,府立,大阪府立大正白稜高等学校,大阪市大正区,大阪市内,https://www.osaka-c.ed.jp/taishohakuryo/,,,2026年度募集停止予定
大阪府,府立,大阪府立泉尾工業高等学校,大阪市大正区,大阪市内,https://www.osaka-c.ed.jp/izuo-t/,,,元大阪市立・2022年府移管
大阪府,府立,大阪府立清水谷高等学校,大阪市天王寺区,大阪市内,https://www.osaka-c.ed.jp/shimizudani/,,,
大阪府,府立,大阪府立天王寺高等学校,大阪市天王寺区,大阪市内,https://tennoji-hs.jp/,,,文理学科設置
大阪府,府立,大阪府立夕陽丘高等学校,大阪市天王寺区,大阪市内,https://www.osaka-c.ed.jp/yuhigaoka/,,,
大阪府,府立,大阪府立工芸高等学校,大阪市阿倍野区,大阪市内,https://www3.osaka-c.ed.jp/kogei-t/,,,元大阪市立・2022年府移管
大阪府,府立,大阪府立阿倍野高等学校,大阪市阿倍野区,大阪市内,https://www.abeno-hs.com/,,,
大阪府,府立,大阪府立住吉商業高等学校,大阪市住吉区,大阪市内,https://www.osaka-c.ed.jp/sumiyoshi-s/,,,元大阪市立・2022年府移管
大阪府,府立,大阪府立住吉高等学校,大阪市住吉区,大阪市内,https://www2.osaka-c.ed.jp/sumiyoshi/,,,
大阪府,府立,大阪府立東住吉高等学校,大阪市東住吉区,大阪市内,https://www.osaka-c.ed.jp/higashisumiyoshi/,,,
大阪府,府立,大阪府立生野工業高等学校,大阪市生野区,大阪市内,https://www.osaka-c.ed.jp/ikuno-t/,,,元大阪市立・2022年府移管
大阪府,府立,大阪府立生野高等学校,大阪市生野区,大阪市内,https://www.osaka-c.ed.jp/ikuno/,,,
大阪府,府立,大阪府立咲くやこの花高等学校,大阪市此花区,大阪市内,https://www3.osaka-c.ed.jp/sakuyakonohana/,,,元大阪市立・2022年府移管・中高一貫
大阪府,府立,大阪府立今宮工科高等学校,大阪市浪速区,大阪市内,https://www.osaka-c.ed.jp/imamiya-t/,,,西野田工科機能統合
大阪府,府立,大阪府立今宮高等学校,大阪市西成区,大阪市内,https://www.osaka-c.ed.jp/imamiya/,,,
大阪府,府立,大阪府立西成高等学校,大阪市西成区,大阪市内,https://www.osaka-c.ed.jp/nishinarik/,,,
