都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
埼玉県,埼玉県立,埼玉県立浦和高等学校,さいたま市浦和区,さいたま,https://urawa-h.spec.ed.jp/,,,男子校・全日制
埼玉県,埼玉県立,埼玉県立浦和第一女子高等学校,さいたま市浦和区,さいたま,https://urawa1jo-h.spec.ed.jp/,,,女子校・全日制
埼玉県,埼玉県立,埼玉県立浦和西高等学校,さいたま市浦和区,さいたま,https://urawanishi-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立浦和北高等学校,さいたま市北区,さいたま,https://urawakita-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立浦和南高等学校,さいたま市南区,さいたま,https://urawaminami-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立浦和商業高等学校,さいたま市浦和区,さいたま,https://urawa-ch.spec.ed.jp/,,,全日制・商業科
埼玉県,埼玉県立,埼玉県立浦和工業高等学校,さいたま市南区,さいたま,https://urawa-th.spec.ed.jp/,,,全日制・工業科
埼玉県,埼玉県立,埼玉県立大宮高等学校,さいたま市大宮区,さいたま,https://ohmiya-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立大宮東高等学校,さいたま市見沼区,さいたま,https://oh-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立大宮南高等学校,さいたま市南区,さいたま,https://ohmiyaminami-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立大宮北高等学校,さいたま市見沼区,さいたま,https://ohmiyakita-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立大宮中央高等学校,さいたま市大宮区,さいたま,https://ohmiyachuo-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立大宮光陵高等学校,さいたま市北区,さいたま,https://ohmiyakouryo-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立岩槻高等学校,さいたま市岩槻区,さいたま,https://iwatsuki-h.spec.ed.jp/,,,全日制・2026年新校
埼玉県,埼玉県立,埼玉県立岩槻商業高等学校,さいたま市岩槻区,さいたま,https://iwatsuki-ch.spec.ed.jp/,,,全日制・商業科
埼玉県,埼玉県立,埼玉県立与野高等学校,さいたま市中央区,さいたま,https://yono-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立常盤高等学校,さいたま市北区,さいたま,https://tokiwa-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立いずみ高等学校,さいたま市緑区,さいたま,https://izumi-h.spec.ed.jp/,,,単位制・全日制
埼玉県,埼玉県立,埼玉県立川口高等学校,川口市,県南,https://kawaguchi-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立川口北高等学校,川口市,県南,https://kawaguchikita-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立川口東高等学校,川口市,県南,https://kawaguchihigashi-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立川口青陵高等学校,川口市,県南,https://kawaguchiseiryo-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立川口工業高等学校,川口市,県南,https://kawaguchi-th.spec.ed.jp/,,,全日制・工業科
埼玉県,埼玉県立,埼玉県立蕨高等学校,蕨市,県南,https://warabi-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立草加高等学校,草加市,県南,https://soka-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立草加南高等学校,草加市,県南,https://sokaminami-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立草加西高等学校,草加市,県南,https://sokanishi-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立草加東高等学校,草加市,県南,https://sokahigashi-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立越谷高等学校,越谷市,県南,https://koshigaya-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立越谷北高等学校,越谷市,県南,https://koshigayakita-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立越谷南高等学校,越谷市,県南,https://koshigayaminami-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立越谷西高等学校,越谷市,県南,https://koshigayanishi-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立越谷東高等学校,越谷市,県南,https://koshigayahigashi-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立越谷総合技術高等学校,越谷市,県南,https://koshigayasogo-h.spec.ed.jp/,,,全日制・専門学科
埼玉県,埼玉県立,埼玉県立三郷高等学校,三郷市,県東,https://misato-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立三郷北高等学校,三郷市,県東,https://misatokita-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立吉川美南高等学校,吉川市,県東,https://yoshikawaminami-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立松伏高等学校,北葛飾郡松伏町,県東,https://matsubushi-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立春日部高等学校,春日部市,県東,https://kasukabe-h.spec.ed.jp/,,,男子校・全日制
埼玉県,埼玉県立,埼玉県立春日部女子高等学校,春日部市,県東,https://kasukabejoshi-h.spec.ed.jp/,,,女子校・全日制
埼玉県,埼玉県立,埼玉県立春日部東高等学校,春日部市,県東,https://kasukabehigashi-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立春日部工業高等学校,春日部市,県東,https://kasukabe-th.spec.ed.jp/,,,全日制・工業科
埼玉県,埼玉県立,埼玉県立庄和高等学校,春日部市,県東,https://showa-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立杉戸高等学校,北葛飾郡杉戸町,県東,https://sugito-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立宮代高等学校,南埼玉郡宮代町,県東,https://miyashiro-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立幸手高等学校,幸手市,県東,https://satte-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立久喜高等学校,久喜市,県東,https://kuki-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立久喜北陽高等学校,久喜市,県東,https://kukinoyo-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立鷲宮高等学校,久喜市,県東,https://washimiya-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立栗橋北彩高等学校,久喜市,県東,https://kuribashi-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立白岡高等学校,白岡市,県東,https://shiraoka-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立蓮田松韻高等学校,蓮田市,さいたま,https://hasuda-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立伊奈学園総合高等学校,北足立郡伊奈町,さいたま,https://inagakuen.spec.ed.jp/hs/,,,全日制・総合学科
埼玉県,埼玉県立,埼玉県立上尾高等学校,上尾市,さいたま,https://ageo-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立上尾鷹の台高等学校,上尾市,さいたま,https://takanodai-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立上尾南高等学校,上尾市,さいたま,https://ageominami-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立上尾橘高等学校,上尾市,さいたま,https://ageo-tachibana-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立桶川高等学校,桶川市,さいたま,https://okegawa-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立桶川西高等学校,桶川市,さいたま,https://okegawanishi-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立北本高等学校,北本市,さいたま,https://kitamoto-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立鴻巣高等学校,鴻巣市,さいたま,https://kounosu-h.spec.ed.jp/,,,全日制
埼玉県,埼玉県立,埼玉県立鴻巣女子高等学校,鴻巣市,さいたま,https://kounosujoshi-h.spec.ed.jp/,,,女子校・全日制
埼玉県,埼玉県立,埼玉県立川越高等学校,川越市,県西,https://kawagoe-h.spec.ed.jp/,,,男子校・全日制
埼玉県,埼玉県立,埼玉県立川越女子高等学校,川越市,県西,https://kawagoejoshi-h.spec.ed.jp/,,,女子校・全日制
