都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
滋賀県,県立,滋賀県立膳所高等学校,大津市,大津,https://www.zeze-h.shiga-ec.ed.jp/,zeze-h@ms.pref-shiga.ed.jp,,
滋賀県,県立,滋賀県立大津高等学校,大津市,大津,https://www.ohtsu-h.shiga-ec.ed.jp/,ohtsu-h@ms.pref-shiga.ed.jp,,
滋賀県,県立,滋賀県立石山高等学校,大津市,大津,https://www.ishiyama-h.shiga-ec.ed.jp/,ishiyama-h@ms.pref-shiga.ed.jp,,
滋賀県,県立,滋賀県立東大津高等学校,大津市,大津,https://www.higashiohtsu-h.shiga-ec.ed.jp/,,,TEL:077-545-8025
滋賀県,県立,滋賀県立北大津高等学校,大津市,大津,http://www.kitaotsu-h.shiga-ec.ed.jp/,ma47e@pref-shiga.ed.jp,,
滋賀県,県立,滋賀県立大津清陵高等学校,大津市,大津,https://www.ohtsuseiryo-h.shiga-ec.ed.jp/,,,定時制・通信制。馬場分校（夜間部）あり
滋賀県,県立,滋賀県立大津商業高等学校,大津市,大津,https://www.daisho-h.shiga-ec.ed.jp/,,http://www.daisho-h.shiga-ec.ed.jp/contact/,TEL:077-524-4284
滋賀県,県立,滋賀県立瀬田工業高等学校,大津市,大津,https://www.setatech-h.shiga-ec.ed.jp/,,,TEL:077-545-2510
滋賀県,県立,滋賀県立堅田高等学校,大津市,大津,https://www.katata-h.shiga-ec.ed.jp/,,,TEL:077-572-1206
滋賀県,県立,滋賀県立草津高等学校,草津市,湖南,https://www.kusatsu-h.shiga-ec.ed.jp/,,,
滋賀県,県立,滋賀県立草津東高等学校,草津市,湖南,https://www.kusahiga-h.shiga-ec.ed.jp/,,,
滋賀県,県立,滋賀県立湖南農業高等学校,草津市,湖南,https://www.konanno-h.shiga-ec.ed.jp/,,,TEL:077-564-5255
滋賀県,県立,滋賀県立守山中学校・高等学校,守山市,湖南,https://www.moriyama-h.shiga-ec.ed.jp/,,,中高一貫校。TEL:077-582-2289
