都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
島根県,県立,島根県立松江北高等学校,松江市,東部,https://www.matsuekita.ed.jp/,info@matsuekita.ed.jp,https://www.matsuekita.ed.jp/contact2/,
島根県,県立,島根県立松江南高等学校,松江市,東部,https://www.matsue-minami.ed.jp/,,,"メールアドレス非公開。電話:(0852)21-6329"
島根県,県立,島根県立松江東高等学校,松江市,東部,https://www.matsuehigashi.ed.jp/,matsuehigashikoko@pref.shimane.lg.jp,,"電話:(0852)27-3700"
島根県,県立,島根県立松江商業高等学校,松江市,東部,https://www.matsusho.ed.jp/,matsuesyogyokoko@pref.shimane.lg.jp,,"電話:(0852)21-3261"
島根県,県立,島根県立松江工業高等学校,松江市,東部,https://www.matsue-th.ed.jp/,matsuko-hs@edu.pref.shimane.jp,,"電話:(0852)67-2121"
島根県,県立,島根県立松江農林高等学校,松江市,東部,https://www.matsuno.ed.jp/,matsuenorinkoko@pref.shimane.lg.jp,,"電話:(0852)21-6772"
島根県,県立,島根県立宍道高等学校,松江市,東部,https://www.shinji-h.ed.jp/,shinjikoko@pref.shimane.lg.jp,,"電話:(0852)66-7577"
島根県,県立,島根県立安来高等学校,安来市,東部,https://www.yasugi-hs.ed.jp/,yasugi-hs@edu.pref.shimane.jp,https://www.yasugi-hs.ed.jp/contact/,"電話:(0854)22-2840"
島根県,県立,島根県立情報科学高等学校,安来市,東部,https://johokoko.ed.jp/,jyohokagakukoko@pref.shimane.lg.jp,,"電話:(0854)23-2700"
島根県,県立,島根県立出雲高等学校,出雲市,東部,https://www.izumo-hs.ed.jp/,,,"メールアドレス非公開。電話:(0853)21-0008"
島根県,県立,島根県立出雲商業高等学校,出雲市,東部,https://www.izusho.ed.jp/,izumoshogyo-hs@edu.pref.shimane.jp,,"電話:(0853)21-0016"
島根県,県立,島根県立出雲工業高等学校,出雲市,東部,https://www.izumo-th.ed.jp/,izumokogyo-hs@edu.pref.shimane.jp,,"電話:(0853)21-3131"
島根県,県立,島根県立出雲農林高等学校,出雲市,東部,https://www.izuno.ed.jp/,izumonorin-hs@edu.pref.shimane.jp,,"電話:(0853)28-0321"
島根県,県立,島根県立大社高等学校,出雲市,東部,https://www.taisha.ed.jp/,taisyakoko@pref.shimane.lg.jp,https://www.taisha.ed.jp/toiawase/,"電話:(0853)53-2002"
島根県,県立,島根県立平田高等学校,出雲市,東部,https://www.hirata-h.ed.jp/,hiratakoko@pref.shimane.lg.jp,,"電話:(0853)62-2117"
島根県,県立,島根県立三刀屋高等学校,雲南市,東部,https://mitoya-hs.ed.jp/,mitoya-hs@edu.pref.shimane.jp,,"電話:(0854)45-2721"
島根県,県立,島根県立三刀屋高等学校掛合分校,雲南市,東部,https://www.kakeko.ed.jp/,kakeya-bunko@edu.pref.shimane.jp,,"電話:(0854)62-0084"
島根県,県立,島根県立横田高等学校,仁多郡奥出雲町,東部,https://www.yokota.ed.jp/,yokotakoko@pref.shimane.lg.jp,https://www.webpage21a.jp/yokota/yokota-toiawase.cgi,"電話:(0854)52-1511"
島根県,県立,島根県立大田高等学校,大田市,中部,https://ohda-hs.ed.jp/,odakoko@pref.shimane.lg.jp,,"電話:(0854)82-0750"
