都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
静岡県,県立,静岡高等学校,静岡市葵区,静岡・中部,https://www.edu.pref.shizuoka.jp/shizuoka-h/,shizuoka-h@edu.pref.shizuoka.jp,,全日制普通科
静岡県,県立,静岡東高等学校,静岡市葵区,静岡・中部,https://www.edu.pref.shizuoka.jp/shizuokahigashi-h/,shizuokahigashi-h@edu.pref.shizuoka.jp,,全日制普通科
静岡県,県立,静岡西高等学校,静岡市葵区,静岡・中部,https://www.edu.pref.shizuoka.jp/shizuokanishi-h/,shizuokanishi-h@edu.pref.shizuoka.jp,,全日制普通科
静岡県,県立,静岡城北高等学校,静岡市葵区,静岡・中部,https://www.edu.pref.shizuoka.jp/shizuokajohoku-h/,shizuokajohoku-h@edu.pref.shizuoka.jp,,全日制普通科
静岡県,県立,静岡農業高等学校,静岡市葵区,静岡・中部,https://www.edu.pref.shizuoka.jp/shizuoka-ah/,shizuoka-ah@edu.pref.shizuoka.jp,,全日制農業科
静岡県,県立,静岡商業高等学校,静岡市駿河区,静岡・中部,https://www.seisho.ed.jp/,seisho@edu.pref.shizuoka.jp,https://www.seisho.ed.jp/contact.html,全日制商業科
静岡県,県立,科学技術高等学校,静岡市葵区,静岡・中部,https://www.sths.ed.jp/,sths@edu.pref.shizuoka.jp,,全日制工業系専門学科
静岡県,県立,駿河総合高等学校,静岡市駿河区,静岡・中部,https://www.edu.pref.shizuoka.jp/surugasogo-h/,surugasogo-h@edu.pref.shizuoka.jp,,全日制総合学科
静岡県,県立,ふじのくに国際高等学校,島田市,静岡・中部,https://www.edu.pref.shizuoka.jp/fujinokunikokusai-h/,fujinokunikokusai-h@edu.pref.shizuoka.jp,,2024年開校・国際バカロレア
静岡県,県立,清水東高等学校,静岡市清水区,静岡・中部,https://www.edu.pref.shizuoka.jp/shimizuhigashi-h/,shimizuhigashi-h@edu.pref.shizuoka.jp,,全日制普通科
静岡県,県立,清水南高等学校,静岡市清水区,静岡・中部,https://www.edu.pref.shizuoka.jp/shimizuminami-h/,shimizuminami-h@edu.pref.shizuoka.jp,,全日制普通科
静岡県,県立,清水桜が丘高等学校,静岡市清水区,静岡・中部,https://www.edu.pref.shizuoka.jp/shimizusakuragaoka-h/,shimizusakuragaoka-h@edu.pref.shizuoka.jp,,全日制普通科・商業科
静岡県,県立,清水西高等学校,静岡市清水区,静岡・中部,https://www.edu.pref.shizuoka.jp/shimizunishi-h/,shimizunishi-h@edu.pref.shizuoka.jp,,全日制普通科
