都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
栃木県,栃木県立,宇都宮高等学校,宇都宮市,宇都宮,https://www.tochigi-edu.ed.jp/utsunomiya/nc3/,utsunomiya@tochigi-edu.ed.jp,,全日制・通信制併設
栃木県,栃木県立,宇都宮東高等学校,宇都宮市,宇都宮,https://www.tochigi-edu.ed.jp/utsunomiyahigashi/nc3/,uhigashi@tochigi-edu.ed.jp,,附属中学校併設
栃木県,栃木県立,宇都宮南高等学校,宇都宮市,宇都宮,https://www.tochigi-edu.ed.jp/utsunomiyaminami/nc3/,unan@tochigi-edu.ed.jp,,
栃木県,栃木県立,宇都宮北高等学校,宇都宮市,宇都宮,https://www.tochigi-edu.ed.jp/utsunomiyakita/nc3/,ukita@tochigi-edu.ed.jp,,
栃木県,栃木県立,宇都宮清陵高等学校,宇都宮市,宇都宮,https://www.tochigi-edu.ed.jp/utsunomiyaseiryo/nc3/,useiryo@tochigi-edu.ed.jp,,
栃木県,栃木県立,宇都宮女子高等学校,宇都宮市,宇都宮,https://www.tochigi-edu.ed.jp/utsunomiyajoshi/nc3/,ujoshi@tochigi-edu.ed.jp,,
栃木県,栃木県立,宇都宮中央高等学校,宇都宮市,宇都宮,https://www.tochigi-edu.ed.jp/utsunomiyachuo/nc3/,u-chuo@tochigi-edu.ed.jp,,旧宇都宮中央女子高等学校から2022年共学化
栃木県,栃木県立,宇都宮白楊高等学校,宇都宮市,宇都宮,https://www.tochigi-edu.ed.jp/utsunomiyahakuyo/nc3/,uhakuyo@tochigi-edu.ed.jp,,農業・工業・商業・家庭科
栃木県,栃木県立,宇都宮工業高等学校,宇都宮市,宇都宮,https://www.tochigi-edu.ed.jp/utsunomiyakogyo/nc3/,ukogyo@tochigi-edu.ed.jp,,
栃木県,栃木県立,宇都宮商業高等学校,宇都宮市,宇都宮,https://www.tochigi-edu.ed.jp/utsunomiyashogyo/nc3/,ushogyo@tochigi-edu.ed.jp,,
栃木県,栃木県立,上三川高等学校,河内郡上三川町,宇都宮,https://www.tochigi-edu.ed.jp/kaminokawa/nc3/,kaminokawa@tochigi-edu.ed.jp,,
栃木県,栃木県立,鹿沼高等学校,鹿沼市,鹿沼・日光,https://www.tochigi-edu.ed.jp/kanuma/nc3/,kanuma@tochigi-edu.ed.jp,,
栃木県,栃木県立,鹿沼東高等学校,鹿沼市,鹿沼・日光,https://www.tochigi-edu.ed.jp/kanumahigashi/nc3/,kanumaeast@tochigi-edu.ed.jp,,
栃木県,栃木県立,鹿沼南高等学校,鹿沼市,鹿沼・日光,https://www.tochigi-edu.ed.jp/kanumaminami/nc3/,kanumaminami@tochigi-edu.ed.jp,,
栃木県,栃木県立,鹿沼商工高等学校,鹿沼市,鹿沼・日光,https://www.tochigi-edu.ed.jp/kanumashoko/nc3/,kanumashoko@tochigi-edu.ed.jp,,
栃木県,栃木県立,今市高等学校,日光市,鹿沼・日光,https://www.tochigi-edu.ed.jp/imaichi/nc3/,imaichi@tochigi-edu.ed.jp,,
栃木県,栃木県立,今市工業高等学校,日光市,鹿沼・日光,https://www.tochigi-edu.ed.jp/imaichikogyo/nc3/,imaichikogyo@tochigi-edu.ed.jp,,
栃木県,栃木県立,日光明峰高等学校,日光市,鹿沼・日光,https://www.tochigi-edu.ed.jp/nikkomeiho/nc3/,nikkomeiho@tochigi-edu.ed.jp,,
栃木県,栃木県立,矢板高等学校,矢板市,県北,https://www.tochigi-edu.ed.jp/yaita/nc3/,yaita@tochigi-edu.ed.jp,,
栃木県,栃木県立,矢板東高等学校,矢板市,県北,https://www.tochigi-edu.ed.jp/yaitahigashi/nc3/,yaitahigashi@tochigi-edu.ed.jp,,附属中学校併設
