都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
徳島県,県立,徳島県立城東高等学校,徳島市,徳島,https://joto-hs.tokushima-ec.ed.jp/,joto_hs@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立城南高等学校,徳島市,徳島,https://jonan-hs.tokushima-ec.ed.jp/,jonan-hs@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立城北高等学校,徳島市,徳島,https://johoku-hs.tokushima-ec.ed.jp/,,,メールアドレス未公開
徳島県,県立,徳島県立城西高等学校,徳島市,徳島,https://josei-hs.tokushima-ec.ed.jp/,josei_hs@mt.tokushima-ec.ed.jp,,農業科・植物活用科設置
徳島県,県立,徳島県立城ノ内中等教育学校,徳島市,徳島,https://johnouchi-ss.tokushima-ec.ed.jp/,johnouchi-ss@mt.tokushima-ec.ed.jp,,2020年開校・中等教育学校
徳島県,県立,徳島県立徳島北高等学校,徳島市,徳島,https://tokushimakita-hs.tokushima-ec.ed.jp/,tokushimakita_hs@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立徳島商業高等学校,徳島市,徳島,https://tokusho.tokushima-ec.ed.jp/,tokusho@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立徳島科学技術高等学校,徳島市,徳島,https://tokushima-hst.tokushima-ec.ed.jp/,tokushima_hst@mt.tokushima-ec.ed.jp,,定時制あり
徳島県,県立,徳島県立徳島中央高等学校,徳島市,徳島,https://tokushimachuo.tokushima-ec.ed.jp/,,,定時制・通信制・三部制
徳島県,市立,徳島市立高等学校,徳島市,徳島,https://www.tokushima-m-hs.ed.jp/,ichikou100@tokushima-m-hs.ed.jp,https://www.city.tokushima.tokushima.jp/cgi-bin/formmail/formmail.cgi?d=552400,
徳島県,県立,徳島県立鳴門高等学校,鳴門市,東部,https://naruto-hs.tokushima-ec.ed.jp/,naruto_hs@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立鳴門渦潮高等学校,鳴門市,東部,https://narutouzushio-hs.tokushima-ec.ed.jp/,narutouzushio_hs@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立板野高等学校,板野郡板野町,東部,https://itano-hs.tokushima-ec.ed.jp/,itano-hs@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立川島中学校・高等学校,吉野川市,東部,https://kawashima-hs.tokushima-ec.ed.jp/,kawashima_hs@mt.tokushima-ec.ed.jp,,中高一貫
徳島県,県立,徳島県立名西高等学校,名西郡石井町,東部,https://myozai-hs.tokushima-ec.ed.jp/,myozai_hs@mt.tokushima-ec.ed.jp,,芸術科・定時制あり
徳島県,県立,徳島県立小松島高等学校,小松島市,東部,https://komatsushima-hs.tokushima-ec.ed.jp/,komatsushima_hs@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立小松島西高等学校,小松島市,東部,https://komatsushimanishi-hs.tokushima-ec.ed.jp/,komatsushimanishi_hs@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立小松島西高等学校勝浦校,勝浦郡勝浦町,東部,https://komatsushimanishi-katsuura.tokushima-ec.ed.jp/,komatsushimanishi_katsuura@mt.tokushima-ec.ed.jp,,小松島西高校のサテライト校
徳島県,県立,徳島県立富岡東高等学校,阿南市,東部,https://tomiokahigashi-hs.tokushima-ec.ed.jp/,tomiokahigashi_hs@mt.tokushima-ec.ed.jp,,中学校併設・定時制あり
徳島県,県立,徳島県立富岡西高等学校,阿南市,東部,https://tomiokanishi-hs.tokushima-ec.ed.jp/,tomiokanishi_hs@mt.tokushima-ec.ed.jp,,SSH指定
徳島県,県立,徳島県立阿南光高等学校,阿南市,東部,https://ananhikari-hs.tokushima-ec.ed.jp/,ananhikari_hs@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立那賀高等学校,那賀郡那賀町,南部,https://naka-hs.tokushima-ec.ed.jp/,naka_hs@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立海部高等学校,海部郡海陽町,南部,https://kaifu-hs.tokushima-ec.ed.jp/,kaifu_hs@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立吉野川高等学校,吉野川市,東部,https://yoshinogawa-hs.tokushima-ec.ed.jp/,yoshinogawa_hs@mt.tokushima-ec.ed.jp,,農業科設置
徳島県,県立,徳島県立阿波高等学校,阿波市,東部,https://awa-hs.tokushima-ec.ed.jp/,awa_hs@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立阿波西高等学校,阿波市,東部,https://awanishi-hs.tokushima-ec.ed.jp/,awanishi_hs@mt.tokushima-ec.ed.jp,,中高一貫
徳島県,県立,徳島県立穴吹高等学校,美馬市,西部,https://anabuki-hs.tokushima-ec.ed.jp/,anabuki_hs@mt.tokushima-ec.ed.jp,,
徳島県,県立,徳島県立脇町高等学校,美馬市,西部,https://wakimachi-hs.tokushima-ec.ed.jp/,wakimachi_hs@mt.tokushima-ec.ed.jp,,
