都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
東京都,東京都立,東京都立日比谷高等学校,千代田区,区部,https://www.metro.ed.jp/hibiya-h/,,https://www.metro.ed.jp/hibiya-h/,進学指導重点校
東京都,東京都立,東京都立一橋高等学校,千代田区,区部,https://www.metro.ed.jp/hitotsubashi-h/,,https://www.metro.ed.jp/hitotsubashi-h/,
東京都,東京都立,東京都立九段高等学校,千代田区,区部,,,, 現在は千代田区立九段中等教育学校に改編（都立廃止）
東京都,東京都立,東京都立上野高等学校,台東区,区部,https://www.metro.ed.jp/ueno-h/,,https://www.metro.ed.jp/ueno-h/,
東京都,東京都立,東京都立浅草高等学校,台東区,区部,https://www.metro.ed.jp/asakusa-h/,,https://www.metro.ed.jp/asakusa-h/,定時制
東京都,東京都立,東京都立白鴎高等学校,台東区,区部,https://www.metro.ed.jp/hakuo-h/,,https://www.metro.ed.jp/hakuo-h/,
東京都,東京都立,東京都立新宿高等学校,新宿区,区部,https://www.metro.ed.jp/shinjuku-h/,,https://www.metro.ed.jp/shinjuku-h/,進学指導重点校
東京都,東京都立,東京都立牛込高等学校,新宿区,区部,https://www.metro.ed.jp/ushigome-h/,,https://www.metro.ed.jp/ushigome-h/,
東京都,東京都立,東京都立富士高等学校,中野区,区部,https://www.metro.ed.jp/fuji-h/,,https://www.metro.ed.jp/fuji-h/,
東京都,東京都立,東京都立戸山高等学校,新宿区,区部,https://www.metro.ed.jp/toyama-h/,,https://www.metro.ed.jp/toyama-h/,進学指導重点校
東京都,東京都立,東京都立青山高等学校,渋谷区,区部,https://www.metro.ed.jp/aoyama-h/,,https://www.metro.ed.jp/aoyama-h/,進学指導重点校
東京都,東京都立,東京都立広尾高等学校,渋谷区,区部,https://www.metro.ed.jp/hiroo-h/,,https://www.metro.ed.jp/hiroo-h/,
東京都,東京都立,東京都立文京高等学校,文京区,区部,https://www.metro.ed.jp/bunkyo-h/,,https://www.metro.ed.jp/bunkyo-h/,
東京都,東京都立,東京都立小石川中等教育学校,文京区,区部,https://www.metro.ed.jp/koishikawa-s/,,https://www.metro.ed.jp/koishikawa-s/,中等教育学校
東京都,東京都立,東京都立向丘高等学校,文京区,区部,https://www.metro.ed.jp/mukogaoka-h/,,https://www.metro.ed.jp/mukogaoka-h/,
東京都,東京都立,東京都立両国高等学校,墨田区,区部,https://www.metro.ed.jp/ryogoku-h/,,https://www.metro.ed.jp/ryogoku-h/,
東京都,東京都立,東京都立墨田川高等学校,墨田区,区部,https://www.metro.ed.jp/sumidagawa-h/,,https://www.metro.ed.jp/sumidagawa-h/,
東京都,東京都立,東京都立本所高等学校,墨田区,区部,https://www.metro.ed.jp/honjo-h/,,https://www.metro.ed.jp/honjo-h/,
東京都,東京都立,東京都立橘高等学校,墨田区,区部,https://www.metro.ed.jp/tachibana-h/,,https://www.metro.ed.jp/tachibana-h/,
東京都,東京都立,東京都立日本橋高等学校,中央区,区部,https://www.metro.ed.jp/nihonbashi-h/,,https://www.metro.ed.jp/nihonbashi-h/,
東京都,東京都立,東京都立城東高等学校,江東区,区部,https://www.metro.ed.jp/joto-h/,,https://www.metro.ed.jp/joto-h/,
東京都,東京都立,東京都立深川高等学校,江東区,区部,https://www.metro.ed.jp/fukagawa-h/,,https://www.metro.ed.jp/fukagawa-h/,
東京都,東京都立,東京都立東高等学校,江東区,区部,https://www.metro.ed.jp/higashi-h/,,https://www.metro.ed.jp/higashi-h/,
東京都,東京都立,東京都立科学技術高等学校,江東区,区部,https://www.metro.ed.jp/kagakugijutsu-h/,,https://www.metro.ed.jp/kagakugijutsu-h/,
東京都,東京都立,東京都立江東商業高等学校,江東区,区部,https://www.metro.ed.jp/kotoshogyo-h/,,https://www.metro.ed.jp/kotoshogyo-h/,
東京都,東京都立,東京都立大江戸高等学校,江東区,区部,https://www.metro.ed.jp/oedo-h/,,https://www.metro.ed.jp/oedo-h/,定時制
東京都,東京都立,東京都立小山台高等学校,品川区,区部,https://www.metro.ed.jp/oyamadai-h/,,https://www.metro.ed.jp/oyamadai-h/,
東京都,東京都立,東京都立荏原高等学校,品川区,区部,https://www.metro.ed.jp/ebara-h/,,https://www.metro.ed.jp/ebara-h/,
東京都,東京都立,東京都立荏原工科高等学校,品川区,区部,https://www.metro.ed.jp/ebarako-h/,,https://www.metro.ed.jp/ebarako-h/,
東京都,東京都立,東京都立目黒高等学校,目黒区,区部,https://www.metro.ed.jp/meguro-h/,,https://www.metro.ed.jp/meguro-h/,
東京都,東京都立,東京都立駒場高等学校,目黒区,区部,https://www.metro.ed.jp/komaba-h/,,https://www.metro.ed.jp/komaba-h/,
東京都,東京都立,東京都立国際高等学校,目黒区,区部,https://kokusai-h.metro.ed.jp/,,https://kokusai-h.metro.ed.jp/,
東京都,東京都立,東京都立雪谷高等学校,大田区,区部,https://www.metro.ed.jp/yukigaya-h/,,https://www.metro.ed.jp/yukigaya-h/,
東京都,東京都立,東京都立田園調布高等学校,大田区,区部,https://www.metro.ed.jp/den-enchofu-h/,,https://www.metro.ed.jp/den-enchofu-h/,
東京都,東京都立,東京都立大森高等学校,大田区,区部,https://www.metro.ed.jp/omori-h/,,https://www.metro.ed.jp/omori-h/,
東京都,東京都立,東京都立蒲田高等学校,大田区,区部,https://www.metro.ed.jp/kamata-h/,,https://www.metro.ed.jp/kamata-h/,
東京都,東京都立,東京都立六郷工科高等学校,大田区,区部,https://www.metro.ed.jp/rokugoko-h/,,https://www.metro.ed.jp/rokugoko-h/,
東京都,東京都立,東京都立大田桜台高等学校,大田区,区部,https://www.metro.ed.jp/otasakuradai-h/,,https://www.metro.ed.jp/otasakuradai-h/,
東京都,東京都立,東京都立美原高等学校,大田区,区部,https://www.metro.ed.jp/mihara-h/,,https://www.metro.ed.jp/mihara-h/,定時制
東京都,東京都立,東京都立世田谷総合高等学校,世田谷区,区部,https://www.metro.ed.jp/setagayasogo-h/,,https://www.metro.ed.jp/setagayasogo-h/,
東京都,東京都立,東京都立桜町高等学校,世田谷区,区部,https://www.metro.ed.jp/sakuramachi-h/,,https://www.metro.ed.jp/sakuramachi-h/,
東京都,東京都立,東京都立芦花高等学校,世田谷区,区部,https://www.metro.ed.jp/roka-h/,,https://www.metro.ed.jp/roka-h/,
東京都,東京都立,東京都立松原高等学校,世田谷区,区部,https://www.metro.ed.jp/matsubara-h/,,https://www.metro.ed.jp/matsubara-h/,
東京都,東京都立,東京都立総合工科高等学校,世田谷区,区部,https://www.metro.ed.jp/sogoko-h/,,https://www.metro.ed.jp/sogoko-h/,
東京都,東京都立,東京都立千歳丘高等学校,世田谷区,区部,https://www.metro.ed.jp/chitosegaoka-h/,,https://www.metro.ed.jp/chitosegaoka-h/,
東京都,東京都立,東京都立深沢高等学校,世田谷区,区部,https://www.metro.ed.jp/fukasawa-h/,,https://www.metro.ed.jp/fukasawa-h/,
東京都,東京都立,東京都立園芸高等学校,世田谷区,区部,https://www.metro.ed.jp/engei-h/,,https://www.metro.ed.jp/engei-h/,
東京都,東京都立,東京都立世田谷泉高等学校,世田谷区,区部,https://www.metro.ed.jp/setagayaizumi-h/,,https://www.metro.ed.jp/setagayaizumi-h/,定時制
東京都,東京都立,東京都立第一商業高等学校,中野区,区部,https://www.metro.ed.jp/daiichishogyo-h/,,https://www.metro.ed.jp/daiichishogyo-h/,
東京都,東京都立,東京都立武蔵丘高等学校,中野区,区部,https://www.metro.ed.jp/musashigaoka-h/,,https://www.metro.ed.jp/musashigaoka-h/,
東京都,東京都立,東京都立鷺宮高等学校,中野区,区部,https://www.metro.ed.jp/saginomiya-h/,,https://www.metro.ed.jp/saginomiya-h/,
東京都,東京都立,東京都立中野工科高等学校,中野区,区部,https://www.metro.ed.jp/nakanoko-h/,,https://www.metro.ed.jp/nakanoko-h/,
東京都,東京都立,東京都立中野高等学校,中野区,区部,https://www.metro.ed.jp/nakano-h/,,https://www.metro.ed.jp/nakano-h/,
