都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
鳥取県,県立,鳥取県立鳥取東高等学校,鳥取市,東部,https://www.torikyo.ed.jp/torie-h/,torie-h@pref.tottori.lg.jp,,〒680-0061 鳥取市立川町5丁目210番地 TEL:0857-22-8495
鳥取県,県立,鳥取県立鳥取西高等学校,鳥取市,東部,https://www.torikyo.ed.jp/toriw-h/,toriw-h@pref.tottori.lg.jp,,〒680-0011 鳥取市東町2丁目112 TEL:0857-22-8281
鳥取県,県立,鳥取県立鳥取湖陵高等学校,鳥取市,東部,https://www.torikyo.ed.jp/koryou-h/,koryou-h@pref.tottori.lg.jp,,〒680-0941 鳥取市湖山町北3-250 TEL:0857-28-0250
鳥取県,県立,鳥取県立鳥取商業高等学校,鳥取市,東部,https://www.torikyo.ed.jp/torisyo-h/,torisyo-h@pref.tottori.lg.jp,,〒680-0941 鳥取市湖山町北2丁目401番地 TEL:0857-28-0156
鳥取県,県立,鳥取県立鳥取工業高等学校,鳥取市,東部,https://www.torikyo.ed.jp/toriko-h/,toriko-h@pref.tottori.lg.jp,,〒689-1103 鳥取市生山111番地 TEL:0857-51-8011
鳥取県,県立,鳥取県立鳥取緑風高等学校,鳥取市,東部,https://www.torikyo.ed.jp/ryokufu-h/,ryokufu-h@pref.tottori.lg.jp,,〒680-0945 鳥取市湖山町南3丁目848 TEL:0857-37-3100 ※旧メールryokufu-h@mailk.torikyo.ed.jpは令和6年4月より使用不可
鳥取県,県立,鳥取県立青谷高等学校,鳥取市,東部,https://www.torikyo.ed.jp/aoya-h/,aoya-h@pref.tottori.lg.jp,,〒689-0595 鳥取市青谷町青谷2912 TEL:0857-85-0511
鳥取県,県立,鳥取県立八頭高等学校,八頭郡八頭町,東部,https://www.torikyo.ed.jp/yazu-h/,yazu-h@pref.tottori.lg.jp,,〒680-0492 八頭郡八頭町久能寺725 TEL:0858-72-0022
鳥取県,県立,鳥取県立岩美高等学校,岩美郡岩美町,東部,https://www.torikyo.ed.jp/iwami-h/,iwami-h@pref.tottori.lg.jp,,〒681-0003 岩美郡岩美町浦富708番地2 TEL:0857-72-0474
鳥取県,県立,鳥取県立智頭農林高等学校,八頭郡智頭町,東部,https://www.torikyo.ed.jp/tizuno-h/,tizuno-h@g.torikyo.ed.jp,,〒689-1402 八頭郡智頭町智頭711-1 TEL:0858-75-0655
鳥取県,県立,鳥取県立倉吉東高等学校,倉吉市,中部,https://www.torikyo.ed.jp/kurae-h/,kurae-h@mailk.torikyo.ed.jp,,〒682-0812 倉吉市下田中町801番地 TEL:0858-22-5205
鳥取県,県立,鳥取県立倉吉西高等学校,倉吉市,中部,https://www.torikyo.ed.jp/kuraw-h/,kuraw-h@pref.tottori.lg.jp,,〒682-0925 倉吉市秋喜20番地 TEL:0858-28-1811
鳥取県,県立,鳥取県立倉吉農業高等学校,倉吉市,中部,https://www.torikyo.ed.jp/kurano-h/,kurano-h@mailk.torikyo.ed.jp,,〒682-0941 倉吉市大谷166 TEL:0858-28-1341
鳥取県,県立,鳥取県立倉吉総合産業高等学校,倉吉市,中部,https://www.torikyo.ed.jp/sousan-h/,sousan-h@pref.tottori.lg.jp,,〒682-0044 倉吉市小田204-5 TEL:0858-26-2851
鳥取県,県立,鳥取県立鳥取中央育英高等学校,東伯郡北栄町,中部,https://www.torikyo.ed.jp/ikuei-h/,ikuei-h@pref.tottori.lg.jp,http://www.tottori-ikuei.jp/?page_id=38,〒689-2295 東伯郡北栄町由良宿291-1 TEL:0858-37-3211
鳥取県,県立,鳥取県立米子東高等学校,米子市,西部,https://www.torikyo.ed.jp/yonagoe-h/,yonagoe-h@mailk.torikyo.ed.jp,,〒683-0051 米子市勝田町1番地 TEL:0859-22-2178
鳥取県,県立,鳥取県立米子西高等学校,米子市,西部,https://www.torikyo.ed.jp/yonagow-h/,yonagow-h@pref.tottori.lg.jp,,〒683-8512 米子市大谷町200番地 TEL:0859-22-7421
