都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
和歌山県,県立,和歌山高等学校,和歌山市,和歌山,https://www.wakayama-h.wakayama-c.ed.jp/,,,〒649-6264 和歌山市新庄188 TEL:073-477-3933
和歌山県,県立,桐蔭高等学校,和歌山市,和歌山,https://www.toin-h.wakayama-c.ed.jp/,postmaster@toin-h.wakayama-c.ed.jp,,〒640-8137 和歌山市吹上5-6-18 TEL:073-436-1366
和歌山県,県立,向陽高等学校,和歌山市,和歌山,https://www.koyo-h.wakayama-c.ed.jp/,postmaster@koyo-h.wakayama-c.ed.jp,,〒640-8323 和歌山市太田127 TEL:073-471-0621
和歌山県,県立,星林高等学校,和歌山市,和歌山,https://www.seirin-h.wakayama-c.ed.jp/,,,〒641-0036 和歌山市西浜2-9-9 TEL:073-444-4181
和歌山県,県立,和歌山北高等学校,和歌山市,和歌山,https://www.wakayamakita-h.wakayama-c.ed.jp/,,https://www.wakayamakita-h.wakayama-c.ed.jp/contact.html,〒640-8464 和歌山市市小路388(北校舎) TEL:073-455-3528 / 西校舎:和歌山市西庄1148-1 TEL:073-453-1281
和歌山県,県立,和歌山西高等学校,和歌山市,和歌山,https://www.wakayamanishi-h.wakayama-c.ed.jp/,,,〒640-0112 和歌山市西庄1148-1 TEL:073-453-1281 ※和歌山北高校の西校舎として運営
和歌山県,県立,和歌山東高等学校,和歌山市,和歌山,https://www.wakayamahigashi-h.wakayama-c.ed.jp/,,,〒640-8342 和歌山市小倉60 TEL:073-472-5620
和歌山県,県立,和歌山工業高等学校,和歌山市,和歌山,https://www.wakayama-th.wakayama-c.ed.jp/,,,〒641-0036 和歌山市西浜3-6-1 TEL:073-444-0158
和歌山県,県立,和歌山商業高等学校,和歌山市,和歌山,https://www.wakayama-ch.wakayama-c.ed.jp/,,,〒640-8272 和歌山市砂山南3-3-94 TEL:073-424-3801
和歌山県,市立,和歌山高等学校（市立）,和歌山市,和歌山,https://www.wakayama-wky.ed.jp/ichiko/,ichiko@wakayama-wky.ed.jp,https://www.wakayama-wky.ed.jp/ichiko/info/,〒640-8482 和歌山市六十谷45 TEL:073-461-3690 FAX:073-461-3692
和歌山県,県立,きのくに青雲高等学校,和歌山市,和歌山,https://www.seiun-h.wakayama-c.ed.jp/,sub-principal@seiun-h.wakayama-c.ed.jp,,〒641-0066 和歌山市木ノ本224 TEL:073-422-8402 定時制・通信制
和歌山県,県立,那賀高等学校,岩出市,那賀,https://www.naga-h.wakayama-c.ed.jp/,,,〒649-6223 岩出市高塚115 TEL:0736-62-2117 FAX:0736-62-2119
和歌山県,県立,粉河高等学校,紀の川市,那賀,https://www.kokawa-h.wakayama-c.ed.jp/,,https://www.kokawa-h.wakayama-c.ed.jp/contact/,〒649-6595 紀の川市粉河4632 TEL:0736-73-3411 FAX:0736-73-3412
和歌山県,県立,海南高等学校（海南校舎）,海南市,海草,https://www.kainan-h.wakayama-c.ed.jp/,,,〒642-0022 海南市野上中651 TEL:073-492-4857 FAX:073-492-6070
和歌山県,県立,海南高等学校（大成校舎）,海草郡紀美野町,海草,https://www.taisei-h.wakayama-c.ed.jp/,,,〒640-1131 海草郡紀美野町動木1515 TEL:073-489-2069
和歌山県,県立,笠田高等学校,伊都郡かつらぎ町,伊都,https://www.kaseda-h.wakayama-c.ed.jp/,,,〒649-7103 伊都郡かつらぎ町笠田東825 TEL:0736-22-1029 FAX:0736-22-5833
和歌山県,県立,橋本高等学校,橋本市,伊都,https://www.hashimoto-h.wakayama-c.ed.jp/,,,〒648-0065 橋本市古佐田4-10-1 TEL:0736-32-0049 FAX:0736-34-2185
和歌山県,県立,伊都中央高等学校,橋本市,伊都,https://www.itochuo-h.wakayama-c.ed.jp/,,,〒649-7203 橋本市高野口町名古曽558 TEL:0736-42-2056 定時制・通信制
和歌山県,県立,紀北工業高等学校,橋本市,伊都,https://www.kihoku-th.wakayama-c.ed.jp/,,,〒648-0086 橋本市神野々809 TEL:0736-32-1240 FAX:0736-32-5918
和歌山県,県立,紀北農芸高等学校,伊都郡かつらぎ町,伊都,https://www.kihokunougei-ah.wakayama-c.ed.jp/,,,〒649-7113 伊都郡かつらぎ町妙寺1781 TEL:0736-22-1500 FAX:0736-22-1501
和歌山県,県立,有田中央高等学校,有田郡有田川町,有田,https://www.aridachuo-h.wakayama-c.ed.jp/,,,〒643-0021 有田郡有田川町下津野459 TEL:0737-52-4340 FAX:0737-52-6749
和歌山県,県立,箕島高等学校,有田市,有田,https://www.minoshima-h.wakayama-c.ed.jp/,,,〒649-0315 有田市野738 TEL:0737-83-2155
和歌山県,県立,日高高等学校,御坊市,日高,https://www.hidaka-h.wakayama-c.ed.jp/,,,〒644-0003 御坊市島45 TEL:0738-22-0500 FAX:0738-22-6111
和歌山県,県立,紀央館高等学校,御坊市,日高,https://www.kiokan-h.wakayama-c.ed.jp/,,,〒644-0012 御坊市湯川町小松原43-1 TEL:0738-22-4011 FAX:0738-22-5411
和歌山県,県立,南部高等学校,日高郡みなべ町,日高,https://www.minabe-h.wakayama-c.ed.jp/,,https://www.minabe-h.wakayama-c.ed.jp/contact/,〒645-0002 日高郡みなべ町芝407 TEL:0739-72-2056 FAX:0739-72-2394
和歌山県,県立,田辺高等学校,田辺市,西牟婁,https://www.tanabe-h.wakayama-c.ed.jp/,,,〒646-0024 田辺市学園1-71 TEL:0739-22-1880 FAX:0739-22-0636
和歌山県,県立,田辺工業高等学校,田辺市,西牟婁,https://www.tanabe-th.wakayama-c.ed.jp/,,,〒646-0021 田辺市あけぼの51-1 TEL:0739-22-3983 FAX:0739-22-9920
和歌山県,県立,神島高等学校,田辺市,西牟婁,https://www.tanabe-ch.wakayama-c.ed.jp/,,,〒646-0023 田辺市文里2-33-12 TEL:0739-22-2550 FAX:0739-22-2558
和歌山県,県立,熊野高等学校,西牟婁郡上富田町,西牟婁,https://www.kumano-h.wakayama-c.ed.jp/,admin@kumano-h.wakayama-c.ed.jp,,〒649-2195 西牟婁郡上富田町朝来670 TEL:0739-47-1004 FAX:0739-47-4200
和歌山県,県立,南紀高等学校,田辺市,西牟婁,https://www.nanki-h.wakayama-c.ed.jp/,,,〒646-0024 田辺市学園1-88 TEL:0739-22-3776 定時制・通信制あり
和歌山県,県立,新宮高等学校,新宮市,東牟婁,https://www.shingu-h.wakayama-c.ed.jp/,,,〒647-0044 新宮市神倉3-2-39 TEL:0735-22-8101 FAX:0735-21-2901 全日制・定時制あり
和歌山県,県立,新翔高等学校,新宮市,東牟婁,https://www.shinsho-h.wakayama-c.ed.jp/,,,〒647-0071 新宮市佐野1005 TEL:0735-31-7087 FAX:0735-31-7870
和歌山県,私立,智辯学園和歌山高等学校,和歌山市,和歌山,https://www.chiben.ac.jp/wakayama/,,,〒640-0392 和歌山市冬野2066-1 TEL:073-479-2811 FAX:073-479-1190
和歌山県,私立,近畿大学附属和歌山高等学校,和歌山市,和歌山,https://www.hwaka.kindai.ac.jp/,,,〒640-8471 和歌山市善明寺516 TEL:073-452-1161
和歌山県,私立,和歌山信愛高等学校,和歌山市,和歌山,https://www.shin-ai.ac.jp/,,,〒640-8151 和歌山市屋形町2-23 TEL:073-424-1141
和歌山県,私立,開智高等学校,和歌山市,和歌山,https://www.kaichi.ed.jp/,,,〒640-8481 和歌山市直川113-2 TEL:073-461-8080
和歌山県,私立,高野山高等学校,伊都郡高野町,伊都,https://www.koyasan-h.ed.jp/,t-furuya@khsnet.ne.jp,,〒648-0288 伊都郡高野町高野山212 TEL:0736-56-2204
和歌山県,私立,初芝橋本高等学校,橋本市,伊都,https://www.rishogakuen.ed.jp/hatsuhashi/,,,〒648-0005 橋本市小峰台2-6-1 TEL:0736-37-5600
和歌山県,私立,近畿大学附属新宮高等学校,新宮市,東牟婁,https://www.shingu.kindai.ac.jp/,info@shingu.jsh.kindai.ac.jp,,〒647-0081 新宮市新宮4966 TEL:0735-22-2005 FAX:0735-21-7890
