都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
山形県,県立,山形東高等学校,山形市,村山,https://www.yamagatahigashi-h.ed.jp/,,,
山形県,県立,山形南高等学校,山形市,村山,https://www.yamanan-h.ed.jp/,,,
山形県,県立,山形西高等学校,山形市,村山,https://yamanishi.webpage21a.jp/,,,
山形県,県立,山形北高等学校,山形市,村山,https://www.yamagatakita-h.ed.jp/htdocs/,,,
山形県,県立,山形工業高等学校,山形市,村山,https://www.yamako.ed.jp/,,https://www.yamako.ed.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,
山形県,県立,山形中央高等学校,山形市,村山,https://www.yamagatachuo-h.ed.jp/,,https://www.yamagatachuo-h.ed.jp/contact/,
山形県,県立,霞城学園高等学校,山形市,村山,https://www.kajogakuen-h.ed.jp/,,,定時制・通信制
山形県,県立,上山明新館高等学校,上山市,村山,https://www.meishinkan-h.ed.jp/,,,
山形県,県立,天童高等学校,天童市,村山,https://www.tendo-h.ed.jp/,,,
山形県,県立,山辺高等学校,東村山郡山辺町,村山,https://www.yamanobe-h.ed.jp/,,,
山形県,県立,寒河江高等学校,寒河江市,村山,https://www.sagae-h.ed.jp/,,,
山形県,県立,寒河江工業高等学校,寒河江市,村山,https://www.sagae-th.ed.jp/,,,
山形県,県立,谷地高等学校,西村山郡河北町,村山,https://www.yachi-h.ed.jp/,,,
山形県,県立,左沢高等学校,西村山郡大江町,村山,https://www.aterazawa-h.ed.jp/,,,
山形県,県立,村山産業高等学校,村山市,村山,https://www.murayama-ih.ed.jp/,,,
山形県,県立,東桜学館中学校・高等学校,東根市,村山,https://www.touohgakkan-jhh.ed.jp/,,,中高一貫
山形県,県立,北村山高等学校,村山市,村山,https://www.kitamurayama-h.ed.jp/,,,
山形県,県立,新庄志誠館高等学校,新庄市,最上,https://shiseikan.jp/,,,2026年4月開校（新庄北・新庄南統合）
山形県,県立,新庄志誠館高等学校最上校,最上郡最上町,最上,https://www.shiseikan-h-m.ed.jp/,,,旧新庄北高校最上校
山形県,県立,新庄神室産業高等学校,新庄市,最上,https://shinjokamuro.jp/,,,
山形県,県立,新庄神室産業高等学校真室川校,最上郡真室川町,最上,https://www.mamurogawa-h.ed.jp/,,,新庄神室産業高校の分校
山形県,県立,新庄神室産業高等学校金山校,最上郡金山町,最上,https://www.kaneyama-h.com/,,,旧新庄南高校金山校（2026年4月改称）
山形県,県立,米沢興譲館高等学校,米沢市,置賜,https://www.yonezawakojokan-h.ed.jp/,,,
山形県,県立,米沢東高等学校,米沢市,置賜,https://www.yonezawahigashi-h.ed.jp/,,,
山形県,県立,米沢鶴城高等学校,米沢市,置賜,https://yonezawa-kakujo.ed.jp/,,,2025年4月開校（米沢工業・米沢商業統合）
山形県,県立,置賜農業高等学校,東置賜郡川西町,置賜,https://www.okitama-ah.ed.jp/,,,
山形県,県立,南陽高等学校,南陽市,置賜,https://www.ygt-nanyo-h.ed.jp/,,,
山形県,県立,高畠高等学校,東置賜郡高畠町,置賜,https://www.takahata-h.ed.jp/,,,
山形県,県立,長井高等学校,長井市,置賜,https://www.nagai-h.ed.jp/,,,
山形県,県立,長井工業高等学校,長井市,置賜,https://nagai-th.ed.jp/,,,
山形県,県立,鶴岡中央高等学校,鶴岡市,庄内,https://www.tsuruokachuo-h.ed.jp/,,,
山形県,県立,鶴岡工業高等学校,鶴岡市,庄内,https://www.tsuruoka-th.ed.jp/,,,
