都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
山口県,県立,山口県立下関西高等学校,下関市,下関,http://www.shimonishi-h.ysn21.jp/,,,附属中学校設置（2026年4月～）
山口県,県立,山口県立下関工科高等学校,下関市,下関,https://www.shimonosekikoka-h.ysn21.jp/,,, 2016年開校（旧下関工業・旧下関中央工業を統合）
山口県,県立,山口県立下関双葉高等学校,下関市,下関,https://www.futaba.ysn21.jp/,,,2019年開校・定時制
山口県,県立,山口県立下関南高等学校,下関市,下関,https://www.minami-h.ysn21.jp/,,,
山口県,県立,山口県立長府高等学校,下関市,下関,https://www.chofu-h.ysn21.jp/,,,
山口県,県立,山口県立豊浦高等学校,下関市,下関,https://www.toyora-h.ysn21.jp/,,,
山口県,県立,山口県立下関北高等学校,下関市,下関,https://www.shimonosekikita-h.ysn21.jp/,,,2018年開校（旧響高・旧豊北高を統合）
山口県,県立,山口県立田部高等学校,下関市,下関,https://www.tabe-h.ysn21.jp/,,,
山口県,県立,山口県立下関中等教育学校,下関市,下関,https://www.s-chuto.ysn21.jp/,,,中等教育学校（旧下関第一高校）
山口県,市立,下関市立下関商業高等学校,下関市,下関,https://shimosho.ed.jp/,info@shimosho.ed.jp,,
山口県,県立,山口県立宇部高等学校,宇部市,宇部,https://www.ube-h.ysn21.jp/,,,
山口県,県立,山口県立宇部工業高等学校,宇部市,宇部,https://www.ube-t.ysn21.jp/,,,
山口県,県立,山口県立宇部商業高等学校,宇部市,宇部,https://ubesho.jp/,,,
山口県,県立,山口県立宇部中央高等学校,宇部市,宇部,https://www.ubechuo-h.ysn21.jp/,,,
山口県,県立,山口県立小野田高等学校,山陽小野田市,宇部,https://www.onoda-h.ysn21.jp/,,,
山口県,県立,山口県立小野田工業高等学校,山陽小野田市,宇部,https://www.onoda-t.ysn21.jp/,,,
山口県,県立,山口県立厚狭高等学校,山陽小野田市,宇部,https://www.asa-nh.ysn21.jp/,,,
山口県,県立,山口県立美祢青嶺高等学校,美祢市,美祢,https://www.mineseiryo-h.ysn21.jp/,,,
山口県,県立,山口県立山口高等学校,山口市,山口,https://www.yamaguchi-h.ysn21.jp/,,,
山口県,県立,山口県立山口中央高等学校,山口市,山口,https://www.yamaguchichuo-h.ysn21.jp/,sch250@m.ysn21.jp,,
山口県,県立,山口県立山口農業高等学校,山口市,山口,https://www.yamaguchi-a.ysn21.jp/,,,
山口県,県立,山口県立山口農業高等学校西市分校,下関市,下関,https://www.yamaguchi-na.ysn21.jp/,,,山口農業高等学校の分校
山口県,県立,山口県立山口松風館高等学校,山口市,山口,https://www.shofukan-h.ysn21.jp/,,,定時制・通信制
山口県,県立,山口県立西京高等学校,山口市,山口,http://www.saikyo-h.ysn21.jp/,,,
山口県,県立,山口県立防府高等学校,防府市,防府,https://www.hofu-h.ysn21.jp/,,,
山口県,県立,山口県立防府西高等学校,防府市,防府,https://www.hofunishi-h.ysn21.jp/,,,
山口県,県立,山口県立防府商工高等学校,防府市,防府,https://www.hofu-ct.ysn21.jp/,,,
山口県,県立,山口県立岩国高等学校,岩国市,岩国,https://www.iwakuni-h.ysn21.jp/,,,附属中学校設置（2026年4月～）
山口県,県立,山口県立岩国高等学校広瀬分校,岩国市,岩国,https://www.iwakuni-hh.ysn21.jp/,,,2027年3月閉校予定
山口県,県立,山口県立岩国工業高等学校,岩国市,岩国,https://www.iwakuni-t.ysn21.jp/,,,
山口県,県立,山口県立岩国商業高等学校,岩国市,岩国,https://www.iwakuni-c.ysn21.jp/,,,
山口県,県立,山口県立岩国総合高等学校,岩国市,岩国,,,,総合学科（2000年改称）
