都道府県,設置区分,学校名,所在市町村,地域ブロック,公式サイトURL,メールアドレス,お問い合わせフォームURL,備考
山梨県,県立,山梨県立甲府第一高等学校,甲府市,甲府,https://www.first.kai.ed.jp/,kohudic-k@kai.ed.jp,,〒400-0007 甲府市美咲二丁目13番44号
山梨県,県立,山梨県立甲府西高等学校,甲府市,甲府,https://www.nishi.kai.ed.jp/,,http://www.nishi.kai.ed.jp/contact/,〒400-0064 甲府市下飯田4丁目1-1
山梨県,県立,山梨県立甲府南高等学校,甲府市,甲府,https://www.kofuminami-h.ed.jp/,nanko@kofuminami-h.ed.jp,,〒400-0854 甲府市中小河原町222番地
山梨県,県立,山梨県立甲府東高等学校,甲府市,甲府,https://www.higasih.kai.ed.jp/,info@higasih.kai.ed.jp,https://www.higasih.kai.ed.jp/contact/,〒400-0805 甲府市酒折一丁目17-1
山梨県,県立,山梨県立甲府工業高等学校,甲府市,甲府,https://www.kofu-th.ed.jp/,,https://www.kofu-th.ed.jp/contact/,〒400-0026 甲府市塩部2-7-1
山梨県,県立,山梨県立甲府城西高等学校,甲府市,甲府,https://www.josaih.kai.ed.jp/,,,〒400-0064 甲府市下飯田一丁目9番1号
山梨県,県立,山梨県立甲府昭和高等学校,中巨摩郡昭和町,甲府,https://www.syowah.kai.ed.jp/,,https://www.syowah.kai.ed.jp/contact/,〒409-3866 中巨摩郡昭和町西条3000番地
山梨県,県立,山梨県立農林高等学校,甲斐市,峡北,http://www.norinh.kai.ed.jp/,,,〒400-0108 甲斐市西八幡
山梨県,県立,山梨県立中央高等学校（定時制・通信制）,甲府市,甲府,https://www.chuouh.kai.ed.jp/,,,〒400-0035 甲府市飯田5丁目6-23
山梨県,県立,山梨県立甲府工業高等学校定時制,甲府市,甲府,https://www.kofutei.kai.ed.jp/,teijisei@kofu-th.ed.jp,,〒400-0026 甲府市塩部2-7-1
山梨県,県立,山梨県立韮崎高等学校,韮崎市,峡北,https://www.niratakah.kai.ed.jp/,,http://www.niratakah.kai.ed.jp/contact/,〒407-0015 韮崎市若宮三丁目2-1
山梨県,県立,山梨県立韮崎工業高等学校,韮崎市,峡北,https://www.nirasakith.kai.ed.jp/,,,〒407-0031 韮崎市竜岡町若尾新田50-1
山梨県,県立,山梨県立韮崎高等学校定時制,韮崎市,峡北,http://www.niratei.kai.ed.jp/,,,〒407-0015 韮崎市若宮三丁目2-1（韮崎高校内）
山梨県,県立,山梨県立北杜高等学校,北杜市,峡北,https://www.hokutoh.kai.ed.jp/,,,〒408-0023 北杜市長坂町渋沢1007-19
山梨県,県立,山梨県立巨摩高等学校,南アルプス市,峡北,https://www.ko.kai.ed.jp/,info@ko.kai.ed.jp,,〒400-0306 南アルプス市小笠原1500-2
山梨県,県立,山梨県立白根高等学校,南アルプス市,峡北,https://www.shirane-hs.kai.ed.jp/,,,〒400-0211 南アルプス市上今諏訪1180
山梨県,県立,山梨県立青洲高等学校,西八代郡市川三郷町,峡南,https://www.seishu.kai.ed.jp/,,https://www.seishu.kai.ed.jp/contact/,〒409-3601 西八代郡市川三郷町市川大門1733-2
山梨県,県立,山梨県立身延高等学校,南巨摩郡身延町,峡南,https://www.minobu.kai.ed.jp/,,,〒409-2531 南巨摩郡身延町梅平1201-2
山梨県,県立,山梨県立笛吹高等学校,笛吹市,峡東,https://www.fuefukih.kai.ed.jp/,,,〒406-0031 笛吹市石和町市部3番地
山梨県,県立,山梨県立日川高等学校,山梨市,峡東,https://www.hikawa.kai.ed.jp/,,https://www.hikawa.kai.ed.jp/contact/,〒405-0025 山梨市一町田中1062
山梨県,県立,山梨県立山梨高等学校,山梨市,峡東,http://www.yamah.kai.ed.jp/,,https://www.yamah.kai.ed.jp/contact/,〒405-0018 山梨市上神内川194番地
山梨県,県立,山梨県立山梨高等学校定時制,山梨市,峡東,https://www.yamatei.kai.ed.jp/,,https://www.yamatei.kai.ed.jp/contact/,〒405-0018 山梨市上神内川194番地（山梨高校内）
山梨県,県立,山梨県立塩山高等学校,甲州市,峡東,https://www.enzanh.kai.ed.jp/,,,〒404-0047 甲州市塩山三日市場440-1
山梨県,県立,山梨県立吉田高等学校,富士吉田市,富士,https://www.yoshidah.kai.ed.jp/,yosida-k@kai.ed.jp,http://www.yoshidah.kai.ed.jp/contact/,〒403-0004 富士吉田市下吉田6-17-1
山梨県,県立,山梨県立富士北稜高等学校,富士吉田市,富士,https://www.hokuryoh.kai.ed.jp/,,,〒403-0017 富士吉田市新西原一丁目23番地1号
山梨県,県立,山梨県立富士河口湖高等学校,南都留郡富士河口湖町,富士,https://www.kawaguch.kai.ed.jp/,,https://www.kawaguch.kai.ed.jp/contact/,〒401-0301 南都留郡富士河口湖町船津6663-1
山梨県,県立,山梨県立都留高等学校,大月市,東部,https://www.tsuru-h.ed.jp/,turu-k@kai.ed.jp,https://www.tsuru-h.ed.jp/contact/,〒401-0013 大月市大月2丁目11-20
山梨県,県立,山梨県立都留高等学校定時制,大月市,東部,http://www.tsurutei.kai.ed.jp/,,,〒401-0013 大月市大月2丁目11-20（都留高校内）
山梨県,県立,山梨県立都留興譲館高等学校,都留市,東部,https://www.tsurukojokan.kai.ed.jp/,,,〒402-0053 都留市上谷5-7-1
山梨県,県立,山梨県立上野原高等学校,上野原市,東部,https://www.ueko.kai.ed.jp/,,,〒409-0133 上野原市八ツ沢555番地
山梨県,市立,甲府市立甲府商業高等学校,甲府市,甲府,https://www.kchs.city.kofu.yamanashi.jp/,,https://www.kchs.city.kofu.yamanashi.jp/contact/,〒400-0845 甲府市上今井町300番地
山梨県,私立,山梨英和高等学校,甲府市,甲府,https://www.yamanashi-eiwa.ac.jp/jsh/,js-info@yamanashi-eiwa.ac.jp,https://www.yamanashi-eiwa.ac.jp/jsh/contact/contact_nyushi,〒400-8507 甲府市愛宕町112番地
山梨県,私立,甲斐清和高等学校,甲府市,甲府,https://seika.ito-gakuen.ed.jp/,,https://seika.ito-gakuen.ed.jp/contact/,〒400-0867 甲府市青沼3丁目10-1
山梨県,私立,駿台甲府高等学校,甲府市,甲府,https://www.sundai-kofu.ed.jp/,,https://www.sundai-kofu.ed.jp/high_ask/,〒400-0026 甲府市塩部2-8-1
山梨県,私立,山梨学院高等学校,甲府市,甲府,https://www.yghs.ed.jp/,,https://www.yghs.ed.jp/form/inquiry/,〒400-0805 甲府市酒折3-3-1
